#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(1) சுவாசிக்க; (2) to tell (lies); (3) வாந்தி எடுக்க; சிதைக்க
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) உள்ளடக்கியது; கணக்கில் கொள்ள; உருவாக்க (இன்); (2) நடத்து; ஆக்கிரமிக்க
(1) to cut well; to be sharp; (2) to break (off)	(1) நன்றாக வெட்ட; கூர்மையாக இருக்க வேண்டும்; (2) உடைக்க (முடக்க)
(1) to date (someone) (2) to keep company	(1) இன்றுவரை (யாரோ) (2) உடன் வைத்துக் கொள்ள
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(1) இழிவுபடுத்துதல்; அவமதிப்பு; (2) மாசுபடுத்து; மாசுபடுத்துவதற்கு; மண்ணுக்கு; அழுக்கு செய்ய; கறை படிவதற்கு
(1) to draw (water); to dip; to scoop; to pump	(1) வரைய (தண்ணீர்); தோய்க்க; ஸ்கூப் செய்ய; பம்ப் செய்ய
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(1) ஓட்டுவதற்கு; கடந்து செல்ல; (2) தவிர்க்க; மறைக்க; (3) டைவ் (நீருக்குள் அல்லது கீழ்); நிலத்தடிக்கு செல்ல
(1) to govern; to manage; (2) to subdue	(1) ஆட்சி செய்ய; நிர்வகிக்க; (2) அடிபணிய
(1) to grow; to spring up; (2) to cut (teeth)	(1) வளர; வசந்தமாக; (2) வெட்டுவது (பற்கள்)
(1) to invite; to ask; (2) to tempt; to lure; to induce	(1) invite; கேட்க; (2) tempt; கவரும்; தூண்டுவதற்கு
(1) to open; to become empty; (2) to be less crowded	(1) திறக்க; காலி ஆக வேண்டும்; (2) கூட்டம் குறைவாக இருக்க வேண்டும்
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(1) இழுக்க; வரைவதற்கு; நீட்டிக்க; இழுக்க; (2) பந்தை இழுக்க (பேஸ்பால்)
(1) to retreat; to recede; to withdraw	(1) பின்வாங்க; பின்வாங்க; திரும்பப் பெற
(1) to see off; to farewell; (2) to escort; (3) to let pass	(1) ஆஃப் பார்க்க; விடைபெறுவதற்கு; (2) துணைக்கு; (3) கடந்து செல்ல அனுமதிக்க
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) சேவை செய்ய (உணவு; முதலியன); (2) நிரப்புதல்; (3) பரிந்துரைக்க
(1) to serve; to fill a post; to serve under; to work (for)	(1) சேவை செய்ய; ஒரு பதவியை நிரப்ப; கீழ் பணியாற்ற; வேலை செய்ய (அதற்கு)
(1) to thrust; to strike; (2) to poke	(1) தள்ளுதல்; வேலைநிறுத்தம் செய்ய; (2) குத்துவது
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(1) அலை; குலுக்கல்; ஆடுவதற்கு; (2) தெளிக்க; (3) நடிக்க (நடிகர்); ஒதுக்க (வேலை)
(1) token; label; (2) ticket; (3) charm	(1) டோக்கன்; முத்திரை; (2) டிக்கெட்; (3) வசீகரம்
(1) town; (2) street; road	(1) நகரம்; (2) தெரு; சாலை
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) தடம்; தடங்கள்; குறி; அடையாளம்; (2) எஞ்சியிருக்கிறது; இடிபாடுகள்; (3) வடு
(1) used; second-hand; old	(1) பயன்படுத்தப்பட்டது; இரண்டாவது கை; பழைய
(1) water level; (2) level; standard	(1) நீர் நிலை; (2) நிலை; நிலையான
(1) weight; (2) heavyweight boxer	(1) எடை; (2) ஹெவிவெயிட் குத்துச்சண்டை வீரர்
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(1) முழுமையாக; முற்றிலும்; முற்றிலும்; (2) இல்லவே இல்லை (neg. வினைச்சொல்லுடன்)
(I am) the tallest in the family.	(நான்) குடும்பத்தில் மிக உயரமானவன்.
(I) drink coffee every morning.	(நான்) தினமும் காலையில் காபி குடிக்கிறேன்.
(I) eat at a restaurant.	(I) ஒரு உணவகத்தில் சாப்பிடுங்கள்.
(I) eat bread.	(I) ரொட்டி சாப்பிடு.
(I) go to Japan.	(I) ஜப்பான் போ.
(I) watch a movie with a friend.	(நான்) நண்பருடன் திரைப்படம் பார்க்கிறேன்.
(It) is not Mike.	(இது) மைக் அல்ல.
(a person) is in ...; stays at ...	(ஒரு நபர்) உள்ளார் ...; தங்குகிறது...
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(அ) மகிழ்ச்சி; (அ) ​​மகிழ்ச்சி; பேரானந்தம்; இன்பம்; மனநிறைவு; மகிழ்ச்சி; வாழ்த்துக்கள்; பாராட்டுக்கள்
(abbr) Friday	(abbr) வெள்ளிக்கிழமை
(abbr) Tuesday	(abbr) செவ்வாய்
(abbr) alarm-clock	(abbr) அலாரம்-கடிகாரம்
(at) any time; always; at all times; never (neg); whenever	(at) எந்த நேரத்திலும்; எப்போதும்; எல்லா நேரங்களிலும்; ஒருபோதும் (neg); எப்போது வேண்டுமானாலும்
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(ateji) (adv int) (uk) ஒரு நிமிடம்; ஒரு குறுகிய நேரம்; சிறிது நேரம்; கொஞ்சம்; ஓரளவு; எளிதாக; உடனடியாக; ராத்
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (uk) வாழ்த்துக்கள்!; ஒரு நல்ல சந்தர்ப்பம்!
(audio) recording	(ஆடியோ) பதிவு
(bank) savings	(வங்கி) சேமிப்பு
(by) chance; unexpectedly; suddenly	(மூலம்) வாய்ப்பு; எதிர்பாராத விதமாக; திடீரென்று
(car) wheel	(கார்) சக்கரம்
(col) round trip; coming and going; return ticket	(col) சுற்று பயணம்; வருவதும் போவதும்; திரும்ப டிக்கெட்
(col) urine; piss	(col) சிறுநீர்; சிறுநீர்ப்பை
(consumer) prices	(நுகர்வோர்) விலைகள்
(do something) early; fast	(ஏதாவது செய்) சீக்கிரம்; வேகமாக
(do something) late	(ஏதாவது செய்யுங்கள்) தாமதமாக
(do something) oneself	(ஏதாவது செய்யுங்கள்) தானே
(enrolled) in school	(சேர்க்கப்பட்டது) பள்ளியில்
(fine) art; the arts	(நன்றாக) கலை; கலைகள்
(flash of) lightning	மின்னல்
(flower) petal	(மலர்) இதழ்
(food is) terrible	(உணவு) பயங்கரமானது
(foot) race	(கால்) இனம்
(giving) birth	(கொடுக்கும்) பிறப்பு
(going) side by side; concurrent; abreast; at the same time	(செல்லும்) அருகருகே; ஒரே நேரத்தில்; அருகில்; அதே நேரத்தில்
(gram) subject	(கிராம்) பொருள்
(hand) towel	(கை) துண்டு
(hon) aunt	(ஹான்) அத்தை
(hon) good; OK; all right; fine; very well; will do; may; can	(ஹான்) நல்லது; சரி; சரி; நன்றாக; நன்றாக; செய்வேன்; கூடும்; முடியும்
(hon) look; inspection; try	(ஹான்) பார்; ஆய்வு; முயற்சி
(hon) to give; to confer	(ஹான்) கொடுக்க; வழங்க
(hon) to visit; to ask; to inquire	(ஹான்) வருகை; கேட்க; விசாரிக்க
(honorable) father	(கௌரவமான) தந்தை
(honorable) mother	(கௌரவமான) தாய்
(honorable) older brother	(கௌரவமான) மூத்த சகோதரர்
(honorable) older sister	(கௌரவமான) மூத்த சகோதரி
(honorable) wife	(கௌரவமான) மனைவி
(honorable) your husband	(கௌரவமான) உங்கள் கணவர்
(hum) (pol) seeing; look at	(ஹம்) (போல்) பார்த்தல்; பார்
(hum) to hear; to be told; to know	(ஹம்) கேட்க; சொல்ல வேண்டும்; தெரிந்து கொள்ள
(hum) to know	(ஹம்) அறிய
(human) life	(மனித) வாழ்க்கை
(human) life (i.e. conception to death)	(மனித) வாழ்க்கை (அதாவது கருத்தரித்தல் முதல் இறப்பு வரை)
(humble) I; myself	(தாழ்மையான) நான்; நானே
(humble) daughter	(அடக்கமான) மகள்
(humble) older brother	(அடமையான) மூத்த சகோதரர்
(humble) older sister	(அடக்கமான) மூத்த சகோதரி
(humble) siblings	(தாழ்மையான) உடன்பிறப்புகள்
(humble) son	(தாழ்மையான) மகன்
(humble) to be called; to say	(தாழ்மையுடன்) அழைக்கப்பட வேண்டும்; சொல்ல
(humble) to do	(தாழ்மையாக) செய்ய வேண்டும்
(humble) to go; to come	(தாழ்மையாக) செல்ல; வர
(humble) to look at	(தாழ்மையான) பார்க்க
(humble) to say; to tell	(தாழ்மையாக) சொல்ல; சொல்ல
(humble) wife	(தாழ்மையான) மனைவி
(humble) younger sister	(அடக்கமான) தங்கை
(in) charge	(உள்) பொறுப்பு
(in) the evening sun; setting sun	(in) மாலை சூரியன்; மறையும் சூரியன்
(informal) You (used by men towards women)	(முறைசாரா) நீங்கள் (பெண்களை நோக்கி ஆண்களால் பயன்படுத்தப்படுகிறது)
(it's a pity to waste) the effort	(விரயம் செய்வது பரிதாபம்) முயற்சி
(logical) true; regular	(தர்க்கரீதியான) உண்மை; வழக்கமான
(male) (vulg) to eat	(ஆண்) (vulg) சாப்பிட
(measuring) ruler	(அளக்கும்) ஆட்சியாளர்
(member of) political party	(உறுப்பினர்) அரசியல் கட்சி
(my) father	(என்) தந்தை
(my) mother	(என்) அம்மா
(my) older brother	(என்) மூத்த சகோதரர்
(my) older sister	(என்) மூத்த சகோதரி
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(n) (அ) மகிழ்ச்சி; (அ) ​​மகிழ்ச்சி; பேரானந்தம்; இன்பம்; மனநிறைவு; மகிழ்ச்சி; வாழ்த்துக்கள்; பாராட்டுக்கள்
(n) alias; pseudonym; pen name	(n) மாற்றுப்பெயர்; புனைப்பெயர்; பேனா பெயர்
(n) broom	(n) விளக்குமாறு
(n) transfer (trains; buses; etc.)	(n) பரிமாற்றம் (ரயில்கள், பேருந்துகள், முதலியன)
(not so) much; (not) very	(அவ்வளவு இல்லை) அதிகம்; (இல்லை) மிகவும்
(not) always; (not) necessarily; (not) all; (not) entirely	(இல்லை) எப்போதும்; (இல்லை) அவசியம்; (இல்லை) அனைத்தும்; (இல்லை) முற்றிலும்
(not) at all	(இல்லை) இல்லை
(not) by any means	(இல்லை) எந்த வகையிலும்
(not) particularly; nothing	(இல்லை) குறிப்பாக; ஒன்றுமில்லை
(outward) looks; features; face; countenance; expression	(வெளிப்புறம்) தோற்றம்; அம்சங்கள்; முகம்; முகபாவனை; வெளிப்பாடு
(personal) bankruptcy	(தனிப்பட்ட) திவால்
(phrase) sure; no mistaking it; for certain	(சொற்றொடர்) உறுதி; தவறில்லை; நிச்சயமாக
(plant) bulb	(ஆலை) குமிழ்
(please) be sure to	(தயவுசெய்து) உறுதியாக இருங்கள்
(please) look; (please) try to do	(தயவுசெய்து) பார்; (தயவுசெய்து) செய்ய முயற்சிக்கவும்
(polite) to eat	(கண்ணியமாக) சாப்பிட வேண்டும்
(polite) to give	(கண்ணியமாக) கொடுக்க
(polite) your house	(கண்ணியமான) உங்கள் வீடு
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(pt:) (n) (uk) புகையிலை (pt: tabaco); சிகரெட்டுகள்
(pt:) (n) playing cards (pt: carta)	(pt:) (n) விளையாடும் சீட்டுகள் (pt: carta)
(religious) faith; belief; creed	(மத) நம்பிக்கை; நம்பிக்கை; நம்பிக்கை
(rice) gruel	(அரிசி) கூழ்
(river) basin	(நதி) படுகை
(school) subject; curriculum; course	(பள்ளி) பொருள்; பாடத்திட்டம்; நிச்சயமாக
(sl) meals; food	(sl) சாப்பாடு; உணவு
(sl) to embrace; to hug; to harbour; to entertain	(sl) தழுவுதல்; கட்டிப்பிடிக்க; துறைமுகத்திற்கு; மகிழ்விக்க
(social) group; crowd; throng; mob; multitude	(சமூக) குழு; கூட்டம்; கூட்டம்; கும்பல்; கூட்டம்
(social) position; status	(சமூக) நிலை; நிலை
(someone honorable) is present/home	(மரியாதைக்குரிய ஒருவர்) தற்போது/வீட்டில் இருக்கிறார்
(someone's) daughter (polite)	(ஒருவரின்) மகள் (கண்ணியமான)
(someone) is gone; to disappear	(யாரோ) போய்விட்டார்; காணாமல் போக
(something) begins	(ஏதோ) தொடங்குகிறது
(something) breaks	(ஏதோ) உடைகிறது
(something) closes	(ஏதோ) மூடுகிறது
(something) drops	(ஏதோ) துளிகள்
(something) ends	(ஏதோ) முடிவடைகிறது
(something) goes off	(ஏதோ) செயலிழக்கிறது
(something) opens	(ஏதோ) திறக்கிறது
(something) turns on	(ஏதாவது) இயக்கப்படும்
(something/someone) comes back	(ஏதோ/யாரோ) திரும்பி வருகிறது
(something/someone) separates; parts from	(ஏதோ/யாரோ) பிரிகிறது; இருந்து பாகங்கள்
(sudden) change; reversal; turn-around; coming from behind (baseball)	(திடீர்) மாற்றம்; தலைகீழ்; திருப்பு-சுற்று; பின்னால் இருந்து வருகிறது (பேஸ்பால்)
(sudden) evening shower (rain)	(திடீர்) மாலை மழை (மழை)
(taking) notes; copying	(எடுத்து) குறிப்புகள்; நகலெடுக்கிறது
(telephone) receiver	(தொலைபேசி) பெறுநர்
(term) paper	(கால) தாள்
(the) date	(தி) தேதி
(the) ground	(தி) மைதானம்
(the) market (as a concept)	சந்தை (ஒரு கருத்தாக)
(the) whole; universal; wholly; general	(தி) முழு; உலகளாவிய; முற்றிலும்; பொது
(tire) goes flat	(டயர்) தட்டையாக செல்கிறது
(train) conductor	(ரயில்) நடத்துனர்
(tree) trunk	(மரம்) தண்டு
(v5r) to behead; to murder	(v5r) தலை துண்டிக்க; கொலை செய்ய
(v5r; vi) to take the place of; to relieve; to be substituted for	(v5r; vi) இடத்தைப் பிடிக்க; நிவாரணம் பெற; பதிலாக வேண்டும்
(v5s) to tear off; to peel off; to rip off	(v5s) கிழிக்க; உரிக்க வேண்டும்; கிழிக்க
(v5u) to face; to go towards	(v5u) எதிர்கொள்ள; நோக்கி செல்ல
(wasted) effort	(வீண்) முயற்சி
(what) on earth	(என்ன) பூமியில்
(your) backing; assistance	(உங்கள்) ஆதரவு; உதவி
(your) busy schedule	(உங்கள்) பிஸியான அட்டவணை
(your/her) husband	(உங்கள்) கணவர்
(your/his) wife	(உங்கள்/அவரது) மனைவி
(your/his) wife (polite)	(உங்கள்/அவரது) மனைவி (கண்ணியமான)
(your/their) child (polite)	(உங்கள்/அவர்களின்) குழந்தை (கண்ணியமான)
-floor (counter); stories	-தளம் (கவுண்டர்); கதைகள்
-like; -looking; -looked	- போன்ற; - பார்க்கிறது; - பார்த்தார்
..., please.	..., தயவுசெய்து.
...for example	...உதாரணமாக
...th floor	... வது தளம்
...year student	...ஆண்டு மாணவர்
...years old	... வயது
...yen	...யென்
1.  (iron) hammer; 2.  punishment	1. (இரும்பு) சுத்தி; 2. தண்டனை
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (uk) உணவு சிற்றுண்டிக்கு இடையில்; பிற்பகல் புத்துணர்ச்சி; பிற்பகல் தேநீர்; 2. மத்திய நாள் சிற்றுண்டி
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. ஒரு தள்ளுபடி; ஒரு பரிசு; 2. ஏதாவது கூடுதல்; போனஸ்; ஒரு கூடுதல்; 3. ஒரு மிகைப்படுத்தல்
1.  angle; 2.  bishop (shogi)	1. கோணம்; 2. பிஷப் (ஷோகி)
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. விவரங்கள்; முழு கதை; நிகழ்வுகளின் வரிசை; விவரங்கள்; அது எப்படி தொடங்கியது; விஷயங்கள் இந்த வழியில் எப்படி வந்தது; 2. சி
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. ஒரு நகல் எ.கா. ஒரு ஆவணத்தின்; 2. a part; ஓரளவு; சில
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. பல; பல்வேறு; மாறுபட்ட; முரண்பட்ட; வேறுபட்ட; பலதரப்பட்ட; 2. அற்பமான
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. விசித்திரமான; விசித்திரமான; ஸ்டைலான; புதுப்பாணியான; காரமான; விசித்திரமான; நகைச்சுவையான; சுவையான; காதல்; 2. தரவரிசையில் 2வது; இரண்டாவது அடையாளம்
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. (ஏதாவது) தொங்கவிட; (ஆடைகளை) தூக்கி எறிய; 2. to hook; பிடிக்க; சிக்க வைக்க; ensnar செய்ய
10; ten	10; பத்து
10th	10வது
10th (of the month)	10வது (மாதத்தில்)
10th day / ten days	10வது நாள் / பத்து நாட்கள்
11th	11வது
12th	12வது
13th	13வது
14th	14வது
14th of the month	மாதம் 14ம் தேதி
15th	15வது
16th	16வது
17th	17வது
18th	18வது
19th	19வது
1st	1வது
1st day of the month	மாதத்தின் 1வது நாள்
1st of the month	மாதத்தின் 1 ஆம் தேதி
20 years old; 20th year	20 வயது; 20 ஆம் ஆண்டு
20th	20வது
20th day of the month	மாதத்தின் 20வது நாள்
20th of the month	மாதம் 20 ஆம் தேதி
21st	21 ஆம் தேதி
22nd	22வது
23rd	23வது
24th	24வது
24th of the month	மாதம் 24ம் தேதி
25th	25 ஆம் தேதி
26th	26 ஆம் தேதி
27th	27வது
28th	28வது
29th	29 ஆம் தேதி
2nd	2வது
2nd day / two days	2வது நாள் / இரண்டு நாட்கள்
2nd of the month	மாதம் 2ம் தேதி
3 p.m.	மாலை 3 மணி
30th	30வது
30th of the month	மாதம் 30 ஆம் தேதி
31st	31வது
3rd	3வது
3rd day / three days	3வது நாள் / மூன்று நாட்கள்
3rd of the month	மாதம் 3ம் தேதி
4th	4வது
4th day / four days	4 வது நாள் / நான்கு நாட்கள்
4th of the month	மாதம் 4ம் தேதி
5th	5வது
5th day / five days	5 வது நாள் / ஐந்து நாட்கள்
5th of the month	மாதம் 5ம் தேதி
60th birthday	60வது பிறந்தநாள்
6th	6வது
6th day / six days	6வது நாள் / ஆறு நாட்கள்
6th of the month	மாதம் 6ம் தேதி
7th	7வது
7th (of the month)	7வது (மாதத்தில்)
7th day / seven days	7 வது நாள் / ஏழு நாட்கள்
8th	8வது
8th day / eight days	8 வது நாள் / எட்டு நாட்கள்
8th of the month	மாதம் 8 ஆம் தேதி
9 a.m.	காலை 9 மணி
9th	9வது
9th day / nine days	9 வது நாள் / ஒன்பது நாட்கள்
9th of the month	மாதம் 9 ஆம் தேதி
A car is faster than a bicycle.	மிதிவண்டியை விட கார் வேகமானது.
A car is parked in front of the house.	வீட்டின் முன் ஒரு கார் நிற்கிறது.
A cat is bigger than a rabbit.	பூனை முயலை விட பெரியது.
A massage helps my back.	ஒரு மசாஜ் என் முதுகில் உதவுகிறது.
A storm is coming.	ஒரு புயல் வருகிறது.
A train is stopped at the station.	ஒரு ரயில் நிலையத்தில் நிறுத்தப்பட்டுள்ளது.
A.M.	ஏ.எம்.
AIDS	எய்ட்ஸ்
AM (also means morning)	AM (காலை என்றும் பொருள்)
Act (law: the X Act)	சட்டம் (சட்டம்: X சட்டம்)
After I eat, I'll go out.	நான் சாப்பிட்ட பிறகு, நான் வெளியே செல்வேன்.
After listening to music, I study.	இசையைக் கேட்டுவிட்டுப் படிப்பேன்.
After she had left, I felt sad.	அவள் போன பிறகு எனக்கு வருத்தமாக இருந்தது.
After the bank, go past the park. The museum is on your right.	வங்கிக்குப் பிறகு, பூங்காவைக் கடந்து செல்லுங்கள். அருங்காட்சியகம் உங்கள் வலதுபுறத்தில் உள்ளது.
After washing my hands, I ate.	கை கழுவிய பின் சாப்பிட்டேன்.
Am I late for the meeting?	நான் கூட்டத்திற்கு தாமதமாக வந்தேனா?
America	அமெரிக்கா
American person	அமெரிக்க நபர்
An apple a day keeps the doctor away.	தினமும் ஒரு ஆப்பிள் சாப்பிட்டால் மருத்துவரைத் தள்ளி வைக்கிறது.
An apple is good for health.	ஆப்பிள் ஆரோக்கியத்திற்கு நல்லது.
Any plans next month?	அடுத்த மாதம் ஏதேனும் திட்டம் உள்ளதா?
Any student can answer this.	எந்த மாணவரும் இதற்கு பதிலளிக்கலாம்.
Anyone can learn to cook.	யார் வேண்டுமானாலும் சமைக்கக் கற்றுக்கொள்ளலாம்.
Anyone, regardless of gender, can participate.	பாலின வேறுபாடின்றி அனைவரும் பங்கேற்கலாம்.
Anything to eat with that?	அதனுடன் சாப்பிட ஏதாவது உண்டா?
Apple	ஆப்பிள்
April	ஏப்ரல்
Are they coming today?	அவர்கள் இன்று வருகிறார்களா?
Are we going to be late?	நாம் தாமதமாகப் போகிறோமா?
Are we meeting at five?	ஐந்து மணிக்கு சந்திப்போமா?
Are we on time?	நாம் சரியான நேரத்தில் இருக்கிறோமா?
Are you a teacher?	நீங்கள் ஒரு ஆசிரியரா?
Are you checking any bags today?	இன்று ஏதேனும் பைகளை சரிபார்க்கிறீர்களா?
Are you coming with us?	எங்களுடன் வருகிறாயா?
Are you free tomorrow?	நாளை நீங்கள் சுதந்திரமா?
Are you from Japan?	நீங்கள் ஜப்பானைச் சேர்ந்தவரா?
Are you going to come to the meeting?	கூட்டத்திற்கு வரப் போகிறீர்களா?
Are you going to tell her the truth?	அவளிடம் உண்மையைச் சொல்லப் போகிறாயா?
Are you okay?	நலமா?
Are you ready to go?	நீங்கள் செல்ல தயாரா?
Are you ready to order?	நீங்கள் ஆர்டர் செய்ய தயாரா?
As for cats, I like them.	பூனைகளைப் பொறுத்தவரை, நான் அவற்றை விரும்புகிறேன்.
As for next week, I will rest.	அடுத்த வாரம், நான் ஓய்வெடுப்பேன்.
As for next year, I will go to Japan.	அடுத்த வருடத்தைப் பொறுத்தவரை, நான் ஜப்பானுக்குச் செல்கிறேன்.
As for today, it's sunny.	இன்றைக்கு வெயில் அதிகம்.
As for yesterday, I went shopping.	நேற்று, நான் ஷாப்பிங் சென்றேன்.
As time passes, I end up forgetting.	காலப்போக்கில், நான் மறந்துவிடுகிறேன்.
As your senior, let me say one word.	உன்னுடைய மூத்தவன் என்ற முறையில் ஒரு வார்த்தை சொல்கிறேன்.
Asian studies	ஆசிய ஆய்வுகள்
At 8 PM I will be watching the match.	இரவு 8 மணிக்கு நான் போட்டியைப் பார்ப்பேன்.
At no point did he admit his mistake.	எந்த நேரத்திலும் தன் தவறை ஒப்புக்கொள்ளவில்லை.
August	ஆகஸ்ட்
Australia	ஆஸ்திரேலியா
