#NAME?	＃名前？
(1) (Japanese) maple	(1) (モミジ)
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(1) 恥をかかせること。不名誉なこと。 (2) 汚染する。汚染する。土に。汚すこと。汚す
(1) to draw (water); to dip; to scoop; to pump	(1) (水を) 引くこと。浸す;すくう。汲み上げる
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(1) 運転すること。通過する。 (2) 回避すること。隠すこと。 (3) (水中または水中に) 飛び込むこと。地下に行く
(1) to govern; to manage; (2) to subdue	(1) 統治すること。管理する。 (2) 鎮圧する
(1) to grow; to spring up; (2) to cut (teeth)	(1) 成長すること。湧き上がる。 (2) (歯を) 切る
(1) to invite; to ask; (2) to tempt; to lure; to induce	(1) 招待する。尋ねる; (2) 誘惑する。誘惑する。誘導する
(1) to open; to become empty; (2) to be less crowded	(1) 開くこと。空になること。 (2) 混雑が少ないこと
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(1) 引っ張る。描くこと。ストレッチする。ドラッグする。 (2) ボールを引っ張る（野球）
(1) to retreat; to recede; to withdraw	(1) 撤退すること。後退する。撤退する
(1) to see off; to farewell; (2) to escort; (3) to let pass	(1)見送ること。別れへ。 (2) 護衛すること。 (3) 通過させる
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) (食べ物など) を提供する。 (2) 満たすこと。 (3)処方する
(1) to serve; to fill a post; to serve under; to work (for)	(1) 奉仕すること。ポストに記入する。下に仕えること。働く（ために）
(1) to thrust; to strike; (2) to poke	(1)突きつけること。攻撃する。 (2)突く
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(1) 手を振ること。振ること。スイングする。 (2)振りかける。 (3) キャスト（俳優）する。 （仕事を）割り当てる
(1) token; label; (2) ticket; (3) charm	(1) トークン。ラベル; (2) チケット。 (3)魅力
(1) town; (2) street; road	(1) 町。 (2) 通り。道路
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) トレース。トラック。マーク;サイン; (2) 残ります。遺跡。 (3) 傷跡
(1) used; second-hand; old	(1) 使用済み。中古;古い
(1) water level; (2) level; standard	(1) 水位。 (2) レベル。標準
(1) weight; (2) heavyweight boxer	(1) 重量。 (2) ヘビー級ボクサー
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(1) 完全に。全体的に;完全に; (2) まったくありません (否定動詞付き)
(I am) the tallest in the family.	（私は）家族の中で一番背が高いです。
(I) drink coffee every morning.	(私は) 毎朝コーヒーを飲みます。
(I) eat at a restaurant.	(私は) レストランで食事をします。
(I) eat bread.	(私は) パンを食べます。
(I) go to Japan.	(私は) 日本に行きます。
(I) watch a movie with a friend.	(私は) 友達と映画を見ます。
(It) is not Mike.	（それは）マイクではありません。
(a person) is in ...; stays at ...	（人が）～の中にいる。 ...に滞在します
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(a) 喜び。 (a) 喜び。携挙;喜び;満足;喜び;おめでとう;祝賀
(abbr) Friday	(略)金曜日
(abbr) Tuesday	(略)火曜日
(abbr) alarm-clock	(略語) 目覚まし時計
(at) any time; always; at all times; never (neg); whenever	（いつでも）いつでも。いつも;いつでも;決して（否定）;いつでも
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(アテジ) (adv int) (イギリス) ちょっと待ってください。短い時間。しばらく;少しだけ。幾分;簡単に;すぐに;ラス
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (uk) おめでとうございます!;縁起の良い機会です！
(audio) recording	（音声）録音
(bank) savings	（銀行）貯蓄
(by) chance; unexpectedly; suddenly	（たまたま）思いがけず。突然
(car) wheel	(車の) ホイール
(col) round trip; coming and going; return ticket	(col) 往復。行ったり来たり。帰りの切符
(col) urine; piss	（列）尿。小便
(consumer) prices	（消費者）価格
(do something) early; fast	（何かを）早くする。速い
(do something) late	（何かをして）遅くなる
(do something) oneself	（何かをして）自分自身
(enrolled) in school	学校に（入学した）
(fine) art; the arts	（美術）芸術。芸術
(flash of) lightning	稲妻（の閃光）
(flower) petal	(花) 花びら
(food is) terrible	（食べ物は）ひどいです
(foot) race	(徒歩) レース
(giving) birth	（出産）
(going) side by side; concurrent; abreast; at the same time	（行って）並んで。同時;並んで;同時に
(gram) subject	(グラム) 件名
(hand) towel	（手）タオル
(hon) aunt	（ホン）叔母さん
(hon) good; OK; all right; fine; very well; will do; may; can	（ホン）いいですね。わかりました;よし;大丈夫;非常によく;します; 5月;できる
(hon) look; inspection; try	（ホン）見てください。検査;試してみる
(hon) to give; to confer	（本）与えること。授与する
(hon) to visit; to ask; to inquire	（本）訪問する。尋ねる;問い合わせる
(honorable) father	（尊敬する）お父さん
(honorable) mother	（尊敬する）お母さん
(honorable) older brother	（立派な）お兄さん
(honorable) older sister	（立派な）お姉さん
(honorable) wife	（名誉ある）妻
(honorable) your husband	（尊敬します）あなたの夫
(hum) (pol) seeing; look at	(ハム) (ポール) 見てください。見てください
(hum) to hear; to be told; to know	（ハム）聞くこと。言われること。知ること
(hum) to know	（ハム）知ること
(human) life	（人間の）命
(human) life (i.e. conception to death)	（人間の）人生（つまり、受胎から死亡まで）
(humble) I; myself	（謙虚に）私。私自身
(humble) daughter	（謙虚な）娘
(humble) older brother	（謙虚な）お兄さん
(humble) older sister	（謙虚な）お姉さん
(humble) siblings	（謙虚な）兄弟
(humble) son	（謙虚な）息子
(humble) to be called; to say	（謙虚に）呼ばれること。言うこと
(humble) to do	（謙虚に）すること
(humble) to go; to come	（謙虚に）行きます。来る
(humble) to look at	（謙虚に）見ること
(humble) to say; to tell	（謙虚に）言うこと。伝える
(humble) wife	（謙虚な）妻
(humble) younger sister	（謙虚な）妹
(in) charge	(担当中)
(in) the evening sun; setting sun	（中で）夕日。夕日
(informal) You (used by men towards women)	（非公式）あなた（男性が女性に対して使用）
(it's a pity to waste) the effort	(無駄にするのは残念) その努力
(logical) true; regular	(論理的) true;定期的な
(male) (vulg) to eat	(男性) (外陰部) 食べる
(measuring) ruler	（測る）定規
(member of) political party	政党（のメンバー）
(my) father	（私の）父
(my) mother	（私の）母
(my) older brother	（私の）兄
(my) older sister	（私の）姉
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(n) (a) 喜び。 (a) 喜び。携挙;喜び;満足;喜び;おめでとう;祝賀
(n) alias; pseudonym; pen name	(n) 別名。仮名;ペンネーム
(n) broom	(n) ほうき
(n) transfer (trains; buses; etc.)	(n) 乗り換え（電車、バスなど）
(not so) much; (not) very	（それほどではありませんが）たくさん。とても（そうではない）
(not) always; (not) necessarily; (not) all; (not) entirely	(そうではない) 常に; (必ずしも) 必ずしも; (ではない) すべて。完全に（ではない）
(not) at all	(違います) 全く
(not) by any means	(そうではない)決して
(not) particularly; nothing	特に（そうではない）。何もない
(outward) looks; features; face; countenance; expression	（外見上の）見た目。特徴;顔;表情;表現
(personal) bankruptcy	（個人）破産
(phrase) sure; no mistaking it; for certain	（フレーズ）確かに;それは間違いありません。確かに
(plant) bulb	(植物) 球根
(please) be sure to	(お願いします)必ず
(please) look; (please) try to do	（どうぞ）見てください。 （お願いします）やってみてください
(polite) to eat	（丁寧に）食べる
(polite) to give	（丁寧に）与える
(polite) your house	（丁寧に）あなたの家
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(pt:) (n) (uk) タバコ (pt: タバコ);タバコ
(pt:) (n) playing cards (pt: carta)	(pt:) (n) トランプ (pt: カルタ)
(religious) faith; belief; creed	（宗教的）信仰。信念;信条
(rice) gruel	（米）粥
(river) basin	（川）流域
(school) subject; curriculum; course	（学校）科目。カリキュラム;もちろん
(sl) meals; food	(sl) 食事。食べ物
(sl) to embrace; to hug; to harbour; to entertain	(sl) 抱きしめる。抱きしめる。港へ。楽しませる
(social) group; crowd; throng; mob; multitude	（社会的）グループ。群衆;群衆;暴徒;大勢の
(social) position; status	（社会的）立場。ステータス
(someone honorable) is present/home	（名誉ある人）がいます/家にいます
(someone's) daughter (polite)	（誰かの）娘（礼儀正しい）
(someone) is gone; to disappear	（誰かが）いなくなってしまった。消える
(something) begins	(何かが)始まる
(something) breaks	（何かが）壊れる
(something) closes	（何かが）閉まる
(something) drops	（何かが）落ちます
(something) ends	（何かが）終わる
(something) goes off	（何かが）消える
(something) opens	（何かが）開きます
(something) turns on	（何かが）オンになる
(something/someone) comes back	（何か/誰かが）戻ってくる
(something/someone) separates; parts from	（何か/誰かが）分離します。からの部品
(sudden) change; reversal; turn-around; coming from behind (baseball)	（突然の）変化。逆転。振り向く;後ろから来る（野球）
(sudden) evening shower (rain)	(突然) 夕方のにわか雨 (雨)
(taking) notes; copying	メモを取る（取る）。コピーする
(telephone) receiver	（電話の）受話器
(term) paper	（期）論文
(the) date	（その）日付
(the) ground	（その）地面
(the) market (as a concept)	（概念としての）市場
(the) whole; universal; wholly; general	（その）全体。普遍的な;完全に;一般的な
(tire) goes flat	（タイヤが）パンクする
(train) conductor	(電車) 車掌
(tree) trunk	（木の）幹
(v5r) to behead; to murder	(v5r) 斬首する。殺人する
(v5r; vi) to take the place of; to relieve; to be substituted for	(v5r; vi) の代わりに。和らげる;代わりになる
(v5s) to tear off; to peel off; to rip off	(v5s) 引き剥がす。剥がす。盗む
(v5u) to face; to go towards	(v5u) 直面すること。向かって行く
(wasted) effort	（無駄な）努力
(what) on earth	いったい（何を）
(your) backing; assistance	（あなたの）支持。援助
(your) busy schedule	（あなたの）忙しいスケジュール
(your/her) husband	（あなた/彼女の）夫
(your/his) wife	（あなた/彼の）妻
(your/his) wife (polite)	（あなた/彼の）妻（礼儀正しい）
(your/their) child (polite)	（あなた/彼らの）子供（礼儀正しく）
-floor (counter); stories	-フロア（カウンター）;物語
-like; -looking; -looked	-のような; -探している; -見た
..., please.	...、お願いします。
...for example	...たとえば
...th floor	...2階
...year student	...1年生
...years old	...歳
...yen	...円
1.  (iron) hammer; 2.  punishment	1.（鉄の）ハンマー。 2.罰
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (イギリス) 食事の間の軽食。午後の軽食。アフタヌーンティー。 2. 昼のおやつ
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. 割引。賞品。 2. 追加の何か。ボーナス;おまけ。 3.誇張
1.  angle; 2.  bishop (shogi)	1.角度。 2.ビショップ（将棋）
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. 詳細。全体の話。一連の出来事。詳細。それがどのように始まったか。物事がどうやってこうなったのか。 2.c
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. コピー 1 部、例:文書の; 2. 一部。部分的に;いくつかの
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. いくつか;様々な;発散する;矛盾している。違う;多様な; 2. つまらない
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. 奇妙な。趣のある;スタイリッシュ;シック;辛い;奇妙な;機知に富んだ;美味しい;ロマンチック; 2. ランク2位。の第二の兆候
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. （何か）を（何か）に掛ける。 （服を）着る。 2.引っ掛ける。捕まえる。罠にかける。罠にかける
10; ten	10; 10
10th	10位
10th (of the month)	10日（毎月）
10th day / ten days	10日目 / 10日間
11th	11日
12th	12日
13th	13日
14th	14日
14th of the month	毎月14日
15th	15日
16th	16日
17th	17日
18th	18日
19th	19日
1st	1位
1st day of the month	毎月1日
1st of the month	月の 1 日
20 years old; 20th year	20歳。 20年目
20th	20日
20th day of the month	毎月20日
20th of the month	毎月20日
21st	21日
22nd	22日
23rd	23日
24th	24日
24th of the month	毎月24日
25th	25日
26th	26日
27th	27日
28th	28日
29th	29日
2nd	2番目
2nd day / two days	2日目 / 2日間
2nd of the month	月の 2 日
3 p.m.	午後3時
30th	30日
30th of the month	毎月30日
31st	31日
3rd	3位
3rd day / three days	3日目 / 3日間
3rd of the month	月の 3 日
4th	4位
4th day / four days	4日目 / 4日間
4th of the month	毎月4日
5th	5位
5th day / five days	5日目 / 5日間
5th of the month	毎月5日
60th birthday	60歳の誕生日
6th	6位
6th day / six days	6日目 / 6日間
6th of the month	毎月6日
7th	7位
7th (of the month)	7日（毎月）
7th day / seven days	7日目 / 7日間
8th	8位
8th day / eight days	8日目 / 8日目
8th of the month	毎月8日
9 a.m.	午前9時
9th	9位
9th day / nine days	9日目 / 9日目
9th of the month	毎月9日
A car is faster than a bicycle.	車は自転車より速いです。
A car is parked in front of the house.	車が家の前に駐車されています。
A cat is bigger than a rabbit.	猫はウサギより大きいです。
A massage helps my back.	マッサージをすると背中が楽になります。
A storm is coming.	嵐が来ています。
A train is stopped at the station.	駅に電車が止まっています。
A.M.	午前。
AIDS	エイズ
AM (also means morning)	AM（朝という意味もあります）
Act (law: the X Act)	法律（法律：X法）
After I eat, I'll go out.	食べたら出かけます。
After listening to music, I study.	音楽を聴いてから勉強します。
After she had left, I felt sad.	彼女が去った後、私は悲しくなりました。
After the bank, go past the park. The museum is on your right.	銀行を過ぎた後、公園を通り過ぎます。博物館は右側にあります。
After washing my hands, I ate.	手を洗ってから食べました。
Am I late for the meeting?	会議に遅れますか?
America	アメリカ
American person	アメリカ人
An apple a day keeps the doctor away.	一日一個のリンゴは医者いらず。
An apple is good for health.	リンゴは健康に良いです。
Any plans next month?	来月の予定はありますか？
Any student can answer this.	これにはどんな学生でも答えることができます。
Anyone can learn to cook.	誰でも料理を学ぶことができます。
Anyone, regardless of gender, can participate.	男女問わずどなたでもご参加いただけます。
Anything to eat with that?	それと一緒に何か食べるものはありますか？
Apple	アップル
April	4月
Are they coming today?	彼らは今日来ますか？
Are we going to be late?	遅れてしまうでしょうか？
Are we meeting at five?	5時に集合ですか？
Are we on time?	時間通りですか？
Are you a teacher?	あなたは先生ですか？
Are you checking any bags today?	今日は荷物をチェックしますか？
Are you coming with us?	一緒に来ますか？
Are you free tomorrow?	明日は空いていますか？
Are you from Japan?	あなたは日本から来たのですか？
Are you going to come to the meeting?	会議に来ますか？
Are you going to tell her the truth?	彼女に真実を話すつもりですか?
Are you okay?	大丈夫ですか？
Are you ready to go?	準備はできていますか?
Are you ready to order?	ご注文はお決まりですか？
As for cats, I like them.	猫に関しては、私は猫が好きです。
As for next week, I will rest.	来週に関しては、お休みさせていただきます。
As for next year, I will go to Japan.	来年に関しては、日本に行きます。
As for today, it's sunny.	今日はというと、晴れています。
As for yesterday, I went shopping.	昨日のことですが、買い物に行きました。
As time passes, I end up forgetting.	時間が経てば忘れてしまいます。
As your senior, let me say one word.	先輩として一言言わせてください。
Asian studies	アジア研究
At 8 PM I will be watching the match.	午後8時から試合を観戦します。
At no point did he admit his mistake.	彼は決して自分の間違いを認めなかった。
August	8月
Australia	オーストラリア
Autumn is cool.	秋は涼しいですね。
Ball	ボール
Be careful!	気をつけてください！
Before he arrived, we had finished eating.	彼が到着する前に、私たちは食事を終えていました。
Bon dance (Japanese traditional dance)	盆踊り（日本舞踊）
Breakfast is served from 7 to 9 in the first-floor restaurant.	朝食は 7 時から 9 時まで 1 階のレストランで提供しています。
Britain	イギリス
Buddha; merciful person; Buddhist image; the dead	仏陀。仏;仏像;死者
Buddhist karma; actions committed in a former life	仏教のカルマ。前世で犯した行為
Buddhist priest; monk	僧侶。僧侶
Buddhist temple	仏教寺院
By 2028 I will have graduated.	2028年までに卒業する予定です。
By 2030, I will have graduated.	2030年までに私は卒業するでしょう。
By 9 PM we will have watched the whole series.	午後9時までにシリーズ全体を見終わるでしょう。
By card, please.	カードでお願いします。
By next month we will have saved enough.	来月までには十分な貯蓄ができるでしょう。
By the end of the year, we will have visited five countries.	年末までに私たちは5か国を訪問することになります。
By the rules it's not allowed, but in practice you can.	規則では許可されていませんが、実際には許可されています。
By the time I woke up, everyone had left.	私が目が覚めた時には、みんな帰っていました。
By the time you arrive, we will have eaten.	あなたが到着するまでに、私たちは食べ終わっているでしょう。
By then, I will have forgotten his name.	その頃には、私は彼の名前を忘れているだろう。
By then, he will be driving home.	それまでに彼は車で家に帰るでしょう。
By this time next year, I will have changed my job.	来年の今頃、私は転職しているでしょう。
CD	CD
California	カリフォルニア
Call an ambulance!	救急車を呼んでください！
Call me when you're free.	暇なときに電話してください。
Call the police!	警察を呼んで下さい！
Can I ask a favor?	お願いしてもいいですか？
Can I borrow some money?	お金を借りてもいいですか？
Can I change rooms?	部屋を変更できますか?
Can I come in?	入ってもいいですか？
Can I exchange it?	交換できますか？
Can I get a map?	地図をもらえますか?
Can I get a receipt?	領収書はもらえますか？
Can I get this to go?	これを持って行ってもいいですか？
Can I have some water?	お水をいただけますか？
Can I leave my bags here?	ここに荷物を置いてもいいですか？
Can I leave my luggage?	荷物を預けてもいいですか？
Can I park here?	ここは駐車できますか？
Can I pay by card on the bus?	バス内でカードで支払うことはできますか?
Can I pay by card?	カードで支払うことはできますか?
Can I return it?	返品できますか?
Can I return this?	これを返してもいいですか？
Can I take a message?	メッセージを受け取ってもいいですか？
Can I take it to go?	持ち帰ってもいいですか？
Can I take photos here?	ここで写真を撮ってもいいですか？
Can I try this on?	これを試着してもいいですか？
Can I use a credit card?	クレジットカードは使用できますか?
Can I use this ticket?	このチケットは使えますか？
Can I use your phone?	電話を使ってもいいですか？
Can she cook?	彼女は料理ができますか？
Can we pay by card?	カードで支払うことはできますか?
Can we play here?	ここで遊んでもいいですか？
Can we see the menu?	メニューを見てもらえますか？
Can you call a taxi?	タクシーを呼んでもらえますか？
Can you come to my birthday?	私の誕生日に来てもらえますか？
Can you come tomorrow?	明日来てもらえますか？
Can you eat spicy food?	辛いものは食べられますか？
Can you explain it simply?	簡単に説明してもらえますか？
Can you fix it, please?	直してもらえませんか？
Can you fix it?	直してもらえますか？
Can you hear that noise?	その騒音が聞こえますか？
Can you help me with this box?	この箱を手伝ってもらえますか？
Can you help me, please?	助けてもらえませんか？
Can you recommend a pharmacy?	お勧めの薬局を教えてください。
Can you see it?	見えますか？
Can you show me on the map?	地図上で教えていただけますか？
Can you speak Japanese?	日本語を話せますか？
Can you speak in English?	英語で話せますか？
Can you speak more slowly?	もっとゆっくり話してもらえますか？
Can you swim?	泳げますか？
Can you wait a moment?	ちょっと待ってもらえますか？
Can you watch my bag?	私のカバンを見てもらえますか？
Canada	カナダ
Cat	猫
Cats like milk.	猫は牛乳が好きです。
Certainly.	確かに。
Cheers!	乾杯！
Cheers! (a toast)	乾杯！ （乾杯）
Chicago	シカゴ
Children's Day	こどもの日
China	中国
Chinese Character-Japanese (e.g. dictionary)	漢字-日本語 (辞書など)
Chinese character	漢字
Chinese word; Sino-Japanese word	中国語の単語。日中単語
Choose any color.	任意の色をお選びください。
Christian Era; anno domini (A.D.)	西暦;アンノ・ドミニ (西暦)
Christmas	クリスマス
Coffee and cake, please.	コーヒーとケーキをお願いします。
Coffee is grown in Brazil.	コーヒーはブラジルで栽培されています。
Coffee, please.	コーヒーをください。
Come here, please.	ここに来てください。
Come into the kitchen.	キッチンに入ってください。
Congratulations on graduating!	卒業おめでとうございます！
Congratulations on your wedding!	ご結婚おめでとうございます！
Congratulations!	おめでとう！
Congratulations.	おめでとう。
Constitution Day	憲法記念日
Could I borrow your pen?	あなたのペンを借りてもいいですか？
Could I change my room?	部屋を変えてもいいですか？
Could I get a coffee, please?	コーヒーをいただけますか？
Could I have a receipt?	領収書を頂けますか？
Could we have the bill, please?	請求書をいただけますか？
Could you call a cab for me?	タクシーを呼んでもらえますか？
Could you open the window, please?	窓を開けていただけますか？
Could you pass the salt?	塩を渡してもらえますか？
Could you say that again?	もう一度言っていただけますか？
Could you show me the way?	道を教えてもらえますか？
Could you speak a little slower?	もう少しゆっくり話してもらえますか？
Could you speak up, please?	発言していただけますか？
Could you wrap it, please?	包んでもらえますか？
Could you write it down?	書いていただけますか？
Count me in!	私も参加してください！
Cover your mouth when you cough.	咳をするときは口を覆いましょう。
Culture Day	文化の日
DVD	DVD
December	12月
Dial the emergency number.	緊急電話番号にダイヤルします。
Did she finish her work?	彼女は仕事を終えましたか?
Did she pass the exam?	彼女は試験に合格しましたか?
Did they come yesterday?	彼らは昨日来ましたか？
Did we miss the bus?	私たちはバスに乗り遅れましたか？
Did you call me?	私に電話しましたか？
Did you enjoy the movie?	映画は楽しめましたか？
Did you enjoy the trip?	旅行は楽しかったですか？
Did you get my message?	私のメッセージは届きましたか？
Did you have a good weekend?	良い週末を過ごされましたか？
Did you have breakfast?	朝食は食べましたか？
Did you see that movie?	その映画を見ましたか？
Diet building	国会議事堂
Diet; congress; parliament	ダイエット;会議;議会
Do they live here?	彼らはここに住んでいますか？
Do we have class today?	今日は授業がありますか？
Do we have enough money?	お金は十分にありますか？
Do we have to sign here?	ここに署名しなければなりませんか?
Do we need more chairs?	もっと椅子が必要ですか?
Do you deliver?	配達しますか？
Do you have a bigger size?	もっと大きなサイズはありますか？
Do you have a city map?	市内地図はありますか？
Do you have a lighter?	ライターはありますか？
Do you have a pen?	ペンはありますか？
Do you have a pet?	ペットを飼っていますか？
Do you have a phone charger?	携帯電話の充電器はありますか？
Do you have any brothers?	兄弟はいますか？
Do you have any idea?	何かアイデアはありますか？
Do you have any news?	何かニュースはありますか？
Do you have any opinions regarding this plan?	この計画に関して何かご意見はございますか。
Do you have any pets?	ペットを飼っていますか?
Do you have any questions?	何か質問はありますか？
Do you have change for a twenty?	20歳分の小銭はありますか？
Do you have change?	小銭はありますか？
Do you have dessert?	デザートはありますか？
Do you have money?	お金はありますか？
Do you have my size?	私のサイズはありますか？
Do you have this dictionary?	この辞書を持っていますか？
Do you have time?	時間はありますか？
Do you have to wear a uniform?	制服を着なければなりませんか？
Do you like playing games?	ゲームをするのは好きですか?
Do you like ramen?	ラーメンは好きですか？
Do you like tea?	お茶は好きですか？
Do you mind waiting a moment?	少しお待ちいただいてもよろしいでしょうか？
Do you read the newspaper?	新聞を読みますか？
Do you smoke?	タバコは吸​​いますか？
Do you speak English?	あなたは英語を話しますか？
Do you take credit cards?	クレジットカードは使えますか？
Do you understand English?	英語が分かりますか？
Do you want any tea?	お茶は飲みますか？
Do you want to go shopping?	買い物に行きたいですか？
Does anyone speak English here?	ここで英語を話せる人はいますか?
Does he have my number?	彼は私の番号を知っていますか?
Does he speak Hindi?	彼はヒンディー語を話しますか?
Does he work here?	彼はここで働いていますか？
Does she have a sister?	彼女には妹がいますか？
Does she like pizza?	彼女はピザが好きですか?
Does she speak French?	彼女はフランス語を話しますか?
Does the bus go to the station?	バスは駅まで行きますか？
Does this bus go to Shinjuku?	このバスは新宿行きですか？
Does this bus go to downtown?	このバスはダウンタウンまで行きますか?
Does your father drive?	あなたのお父さんは運転しますか？
Dog	犬
Dogs are cute.	犬はかわいいです。
Don't be late.	遅刻しないでください。
Don't call at ten — I will be sleeping.	10時に電話しないでください。私は寝ます。
Don't forget to lock the door.	ドアに鍵をかけるのを忘れないでください。
Don't panic.	慌てないで。
Don't worry about it.	ご心配なく。
Don't worry, everything will be fine.	心配しないでください、すべてうまくいきます。
Drink lots of water and get some rest.	水をたくさん飲んで休んでください。
Drink plenty of water.	水をたくさん飲みましょう。
East and West; whole country	東と西。全国
Eat healthy food.	健康的な食べ物を食べましょう。
Egg	卵
Emperor of Japan	日本の天皇
English	英語
English (language)	英語（言語）
English class is interesting.	英語の授業は面白いです。
English conversation	英会話
