வணக்கம் நண்பரே	Hello friend
உடல் நலத்தை கவனித்துக்கொள்	Take care of health
கையில் பூஜ்யம் இருக்கிறது	There is zero in hand
கணக்கில் பூஜ்யம் உள்ளது	There is zero in the account
எனக்கு ஒன்று வேண்டும்	I want one
அங்கே ஒன்று இருக்கிறது	One is there
என்னிடம் இரண்டு புத்தகங்கள் உள்ளன	I have two books
அங்கே இரண்டு பேர் உள்ளனர்	Two people are there
எனக்கு ஐந்து ஆப்பிள்கள் வேண்டும்	I want five apples
அங்கே ஐந்து பேர் உள்ளனர்	Five people are there
எனக்கு ஏழு நாட்கள் வேண்டும்	I need seven days
ஒரு வாரத்தில் ஏழு நாட்கள்	Seven days in a week
அங்கே ஒன்பது பேர் உள்ளனர்	Nine people are there
எனக்கு ஒன்பது பேனாக்கள் வேண்டும்	I want nine pens
பத்து பேர் வந்தனர்	Ten people came
எனக்கு பத்து ரூபாய் வேண்டும்	I want ten rupees
அங்கே பதினொரு பேர் உள்ளனர்	Eleven people are there
எனக்கு பதினொரு புத்தகங்கள் வேண்டும்	I want eleven books
அங்கே பன்னிரண்டு பேர் உள்ளனர்	Twelve people are there
எனக்கு பன்னிரண்டு ஆப்பிள்கள் வேண்டும்	I want twelve apples
அங்கே பதின்மூன்று பேர் உள்ளனர்	Thirteen people are there
எனக்கு பதின்மூன்று பேனாக்கள் வேண்டும்	I want thirteen pens
அங்கே பதினான்கு பேர் உள்ளனர்	Fourteen people are there
எனக்கு பதினான்கு புத்தகங்கள் வேண்டும்	I want fourteen books
அங்கே பதினைந்து பேர் உள்ளனர்	Fifteen people are there
எனக்கு பதினைந்து ஆப்பிள்கள் வேண்டும்	I want fifteen apples
அங்கே பதினாறு பேர் உள்ளனர்	Sixteen people are there
எனக்கு பதினாறு பேனாக்கள் வேண்டும்	I want sixteen pens
அங்கே பதினேழு பேர் உள்ளனர்	Seventeen people are there
எனக்கு பதினேழு புத்தகங்கள் வேண்டும்	I want seventeen books
அங்கே பதினெட்டு பேர் உள்ளனர்	Eighteen people are there
எனக்கு பதினெட்டு ஆப்பிள்கள் வேண்டும்	I want eighteen apples
அங்கே பத்தொன்பது பேர் உள்ளனர்	Nineteen people are there
எனக்கு பத்தொன்பது பேனாக்கள் வேண்டும்	I want nineteen pens
அங்கே இருபது பேர் உள்ளனர்	Twenty people are there
எனக்கு இருபது புத்தகங்கள் வேண்டும்	I want twenty books
அங்கே இருபத்தி ஒன்று பேர் உள்ளனர்	Twenty-one people are there
எனக்கு இருபத்தி ஒன்று ஆப்பிள்கள் வேண்டும்	I want twenty-one apples
அங்கே முப்பது பேர் உள்ளனர்	Thirty people are there
எனக்கு முப்பது பேனாக்கள் வேண்டும்	I want thirty pens
அங்கே நாற்பது பேர் உள்ளனர்	Forty people are there
எனக்கு நாற்பது புத்தகங்கள் வேண்டும்	I want forty books
அங்கே ஐம்பது பேர் உள்ளனர்	Fifty people are there
எனக்கு ஐம்பது ஆப்பிள்கள் வேண்டும்	I want fifty apples
அங்கே அறுபது பேர் உள்ளனர்	Sixty people are there
எனக்கு அறுபது பேனாக்கள் வேண்டும்	I want sixty pens
அங்கே எழுபது பேர் உள்ளனர்	Seventy people are there
எனக்கு எழுபது புத்தகங்கள் வேண்டும்	I want seventy books
அங்கே எண்பது பேர் உள்ளனர்	Eighty people are there
எனக்கு எண்பது ஆப்பிள்கள் வேண்டும்	I want eighty apples
அங்கே தொண்ணூறு பேர் உள்ளனர்	Ninety people are there
எனக்கு தொண்ணூறு பேனாக்கள் வேண்டும்	I want ninety pens
அங்கே நூறு பேர் உள்ளனர்	One hundred people are there
எனக்கு நூறு புத்தகங்கள் வேண்டும்	I want one hundred books
அங்கே ஆயிரம் பேர் உள்ளனர்	One thousand people are there
எனக்கு ஆயிரம் ஆப்பிள்கள் வேண்டும்	I want one thousand apples
அவன் முதலில் வந்தான்	He came first
முதலில் இதை செய்	Do this first
அவர் இரண்டாவது இடத்தில் உள்ளார்	He is in second place
இரண்டாவது புத்தகம் இங்கே உள்ளது	The second book is here
அவள் மூன்றாவது இடத்தில் உள்ளாள்	She is in third place
மூன்றாவது பக்கம் படி	Read the third page
அவர் நான்காவது இடத்தில் உள்ளார்	He is in fourth place
நான்காவது கதையை சொல்	Tell the fourth story
அவள் ஐந்தாவது இடத்தில் உள்ளாள்	She is in fifth place
ஐந்தாவது ஆப்பிள் இனிது	The fifth apple is sweet
அவர் ஆறாவது இடத்தில் உள்ளார்	He is in sixth place
ஆறாவது வரிக்கு செல்	Go to the sixth line
அவள் ஏழாவது இடத்தில் உள்ளாள்	She is in seventh place
ஏழாவது வீடு சிவப்பு	The seventh house is red
அவர் எட்டாவது இடத்தில் உள்ளார்	He is in eighth place
எட்டாவது பக்கம் பார்	Look at the eighth page
அவள் ஒன்பதாவது இடத்தில் உள்ளாள்	She is in ninth place
ஒன்பதாவது மாணவர் வந்தார்	The ninth student came
அவர் பத்தாவது இடத்தில் உள்ளார்	He is in tenth place
பத்தாவது வரிக்கு செல்	Go to the tenth line
எனக்கு பாதி வேண்டும்	I want half
இது பாதி ஆப்பிள்	This is half
இந்த எண்ணிக்கை சரி இல்லை	This count is not correct
மொத்த எண்ணிக்கை எவ்வளவு?	What is the total count?
இன்று மழை வரும்	It will rain today
இன்று விடுமுறை	Today is a holiday
நாளை சந்திப்போம்	Let's meet tomorrow
நாளை வேலை இருக்கிறது	There is work tomorrow
நேற்று அவன் வந்தான்	He came yesterday
நேற்று மழை பெய்தது	It rained yesterday
இப்போது வா	Come now
இப்போது நேரம் இல்லை	There is no time now
பின்னர் பேசுவோம்	Let's talk later
பின்னர் அவன் வந்தான்	He came later
அவன் தாமதமாக வந்தான்	He came late
தாமதமாக வேண்டாம்	Don't be late
காலை உணவு தயார்	Breakfast is ready
காலை நேரம் அழகு	Morning time is beautiful
பிற்பகல் வெப்பம் அதிகம்	Afternoon heat is high
பிற்பகல் உறங்கினேன்	I slept in the afternoon
மாலை நடைப்பயிற்சி செய்	Walk in the evening
மாலை நேரம் அமைதி	Evening time is peaceful
இரவு உறக்கம் அவசியம்	Night sleep is essential
இரவு வானம் கருப்பு	The night sky is black
மதியம் உணவு நேரம்	Noon is meal time
மதியம் வெயில் அதிகம்	Noon sun is strong
ஒரு நிமிடம் காத்திரு	Wait for a minute
ஒரு நிமிடம் பொறு	Wait a minute
இரண்டாவது வரிசையில் இரு	Be in the second row
இரண்டாவது வாய்ப்பு கிடைக்குது	The second chance is available
கடிகாரம் ஓடுகிறது	The clock is running
சுவரில் ஒரு கடிகாரம்	A clock on the wall
இன்றைய தேதி என்ன	What is today's date
தேதி சரியாக எழுது	Write the date correctly
இந்த வாரம் மகிழ்ச்சி	This week is happy
அடுத்த வாரம் வா	Come next week
வார இறுதி மகிழ்ச்சி	Weekend is happiness
வார இறுதி விடுமுறை	Weekend is a holiday
இந்த மாதம் மழை	This month is rain
அடுத்த மாதம் வா	Come next month
புதிய ஆண்டு வாழ்த்துகள்	Happy new year
இந்த ஆண்டு நல்லது	This year is good
பருவம் மாறுகிறது	The season is changing
இந்த பருவம் அழகு	This season is beautiful
வசந்தம் மலர்ந்தது	Spring has blossomed
வசந்தம் ஒரு காலம்	Spring is a season
கோடை வெப்பம் அதிகம்	Summer heat is high
கோடை விடுமுறை வந்தது	Summer vacation came
இலையுதிர் காலம் வந்தது	Autumn season came
இலையுதிர் காலம் அழகு	Autumn season is beautiful
குளிர்காலம் குளிராக இருக்கும்	Winter will be cold
குளிர்காலம் தொடங்கியது	Winter has started
திங்கட்கிழமை வேலை நாள்	Monday is a work day
திங்கட்கிழமை பள்ளிக்கு செல்	Go to school on Monday
செவ்வாய் ஒரு நாள்	Tuesday is a day
செவ்வாய் காலை நேரம்	Tuesday morning time
புதன் அன்று சந்திப்போம்	Let's meet on Wednesday
புதன் ஒரு கிழமை	Wednesday is a weekday
வியாழன் அன்று வா	Come on Thursday
வியாழன் காலை நேரம்	Thursday morning time
வெள்ளிக்கிழமை விடுமுறை	Friday is a holiday
வெள்ளிக்கிழமை சந்தைக்கு செல்	Go to the market on Friday
சனிக்கிழமை சினிமா செல்	Go to the cinema on Saturday
சனிக்கிழமை ஓய்வு நேரம்	Saturday is rest time
ஞாயிறு விடுமுறை நாள்	Sunday is a holiday
ஞாயிறு காலை நடைப்பயிற்சி	Sunday morning walk
இன்றிரவு மழை வரும்	It will rain tonight
இன்றிரவு உறக்கம் அவசியம்	Sleep is necessary tonight
சூரிய உதயம் அழகு	Sunrise is beautiful
சூரிய உதயம் கிழக்கு	Sunrise is east
சூரிய அஸ்தமனம் மேற்கு	Sunset is west
சூரிய அஸ்தமனம் பார்த்தேன்	I saw the sunset
என் பெற்றோர்கள் அன்பானவர்கள்	My parents are kind
பெற்றோர்கள் வீட்டிற்கு வந்தனர்	Parents came to the house
எனக்கு ஒரு சகோதரி உண்டு	I have a sister
சகோதரி பள்ளிக்கு சென்றாள்	Sister went to school
அண்ணன் எனக்கு உதவி செய்தார்	Brother helped me
என் அண்ணன் மருத்துவர்	My brother is a doctor
பாட்டி கதை சொன்னார்	Grandmother told a story
பாட்டி இனிப்பு கொடுத்தார்	Grandmother gave sweets
தாத்தா நடைப்பயிற்சி செய்தார்	Grandfather went for a walk
தாத்தா செய்தித்தாள் படித்தார்	Grandfather read the newspaper
தாத்தா பாட்டி கிராமத்தில் உள்ளனர்	Grandparents are in the village
தாத்தா பாட்டி அன்பானவர்கள்	Grandparents are kind
மகள் நன்றாக படித்தாள்	Daughter studied well
அவள் என் அன்பு மகள்	She is my dear daughter
குழந்தைகள் விளையாடுகிறார்கள்	Children are playing
குழந்தைகள் சத்தமாக இருக்கிறார்கள்	Children are being noisy
அந்த குழந்தை தூங்குகிறது	That child is sleeping
குழந்தை சிரித்தது	The child smiled
இந்த குழந்தை அழுகிறது	This baby is crying
குழந்தை பால் குடித்தது	The baby drank milk
அவள் நல்ல மனைவி	She is a good wife
மனைவி அலுவலகம் சென்றாள்	Wife went to office
கணவன் வேலைக்கு சென்றார்	Husband went to work
அவர் சிறந்த கணவன்	He is a great husband
மாமா பரிசு கொடுத்தார்	Uncle gave a gift
மாமா சென்னைக்கு சென்றார்	Uncle went to Chennai
அத்தை உணவு சமைத்தார்	Aunt cooked food
அத்தை அழகாக இருக்கிறார்	Aunt looks beautiful
உறவினர் வீட்டிற்கு வந்தனர்	The cousin came home
எனக்கு ஒரு உறவினர் உள்ளார்	I have a cousin
மருமகன் உதவி செய்தான்	The nephew helped
மருமகன் இங்கே வந்தான்	The nephew came here
மருமகள் ஓவியம் வரைந்தாள்	The niece drew a painting
மருமகள் பாட்டு பாடினாள்	The niece sang a song
பேரன் விளையாடுகிறான்	The grandson is playing
பேரன் பள்ளிக்கு சென்றான்	The grandson went to school
பேத்தி அழகாக இருக்கிறாள்	The granddaughter is beautiful
பேத்தி பாட்டு பாடினாள்	The granddaughter sang a song
அவர் எனது சிறந்த நண்பர்	He is my best friend
சிறந்த நண்பர் உதவி செய்தார்	The best friend helped
எங்கள் குடும்பம் பெரியது	Our family is big
குடும்பம் மகிழ்ச்சியாக உள்ளது	The family is happy
பக்கத்து வீட்டுக்காரர் வந்தார்	The neighbour came
பக்கத்து வீட்டுக்காரர் அன்பானவர்	The neighbour is kind
உறவினர் ஊரிலிருந்து வந்தனர்	Relatives came from the town
உறவினர் அனைவருக்கும் வணக்கம்	Greetings to all relatives
வகுப்புத் தோழன் உதவினான்	The classmate helped
எனக்கு ஒரு வகுப்புத் தோழன் உண்டு	I have a classmate
சக ஊழியர் வேலை செய்கிறார்	The colleague is working
சக ஊழியர் அலுவலகத்தில் உள்ளார்	The colleague is in the office
பங்குதாரர் ஒப்பந்தம் செய்தார்	The partner made an agreement
அவர் எனது பங்குதாரர்	He is my partner
காதலன் பூ கொடுத்தான்	The boyfriend gave flowers
காதலன் கவிதை எழுதினான்	The boyfriend wrote a poem
காதலி அழகாக இருக்கிறாள்	The girlfriend is beautiful
காதலி புத்தகம் வாசித்தாள்	The girlfriend read a book
எனக்கு மூன்று உடன்பிறந்தவர்கள் உள்ளனர்	I have three siblings
உடன்பிறந்தவர்கள் ஒற்றுமையாக இருந்தனர்	Siblings were united
வயது வந்தோர் மட்டும் நுழையலாம்	Only adults can enter
அவர் வயது வந்தோர்	He is an adult
இரட்டை குழந்தைகள் பிறந்தனர்	Twin children were born
அவர்கள் இரட்டை சகோதரர்கள்	They are twin brothers
தண்ணீர் கொடுங்கள்	Give water
தண்ணீர் இங்கே இருக்கிறது	Water is here
ரொட்டி மென்மையானது	Bread is soft
எனக்கு ரொட்டி வேண்டும்	I want bread
தேநீர் சூடாக இருக்கிறது	Tea is hot
தேநீர் குடிங்க	Drink tea
காபி கசப்பாக உள்ளது	Coffee is bitter
எனக்கு காபி பிடிக்கும்	I like coffee
சாறு இனிப்பாக இருக்கிறது	Juice is sweet
பழ சாறு கொடு	Give fruit juice
சூப் சுவையாக உள்ளது	Soup is tasty
சூப் குடிங்க	Drink soup
அரிசி வெள்ளை நிறம்	Rice is white color
அரிசி இங்கே உள்ளது	Rice is here
வாழைப்பழம் இனிது	Banana is sweet
வாழைப்பழம் எடு	Take the banana
ஆரஞ்சு பழம் புளிது	Orange fruit is sour
ஆரஞ்சு இங்கே இருக்கிறது	Orange is here
மாம்பழம் இனிது	Mango is sweet
மாம்பழம் எடுங்க	Take the mango
திராட்சை சிவப்பு நிறம்	Grape is red color
திராட்சை சாப்பிடு	Eat grape
ஸ்ட்ராபெர்ரி சிவப்பாக உள்ளது	Strawberry is red
ஸ்ட்ராபெர்ரி சுவை	Strawberry taste
எலுமிச்சை புளிப்பு	Lemon is sour
எலுமிச்சை இங்கே உள்ளது	Lemon is here
காய்கறி ஆரோக்கியமானது	Vegetable is healthy
காய்கறி எடு	Take the vegetable
உருளைக்கிழங்கு வேக வைத்தது	Potato is boiled
உருளைக்கிழங்கு வேண்டும்	I want potato
தக்காளி சிவப்பு நிறம்	Tomato is red color
தக்காளி எடு	Take the tomato
வெங்காயம் காரமானது	Onion is pungent
வெங்காயம் வெட்டு	Cut the onion
பூண்டு மருத்துவ குணம் கொண்டது	Garlic has medicinal properties
பூண்டு இங்கே உள்ளது	Garlic is here
கேரட்橙 நிறம்	Carrot is orange color
கேரட் எடு	Take the carrot
இறைச்சி சுவையாக உள்ளது	Meat is tasty
இறைச்சி வேண்டும்	I want meat
மீன் கடலில் உள்ளது	Fish is in the sea
மீன் சாப்பிடு	Eat fish
கோழி பறக்கிறது	Chicken is flying
கோழி இங்கே உள்ளது	Chicken is here
உப்பு கொஞ்சம் போடு	Put a little salt
உப்பு காரம்	Salt is salty
சர்க்கரை இனிது	Sugar is sweet
சர்க்கரை இங்கே உள்ளது	Sugar is here
எண்ணெய் சூடாக உள்ளது	Oil is hot
எண்ணெய் கொடு	Give oil
வெண்ணெய் மென்மையானது	Butter is soft
வெண்ணெய் வேண்டும்	I want butter
பாலாடைக்கட்டி சுவை	Cheese taste
பாலாடைக்கட்டி இங்கே உள்ளது	Cheese is here
தயிர் புளிப்பாக உள்ளது	Yogurt is sour
தயிர் கொடு	Give yogurt
சாக்லேட் இனிது	Chocolate is sweet
சாக்லேட் வேண்டும்	I want chocolate
காலை உணவு முடிந்தது	Breakfast is finished
காலை உணவு சாப்பிடு	Eat breakfast
மதிய உணவு நேரம்	Lunch time
மதிய உணவு சுவை	Lunch taste
இரவு உணவு எளிது	Dinner is simple
இரவு உணவு சாப்பிடு	Eat dinner
சிற்றுண்டி வேண்டும்	I want a snack
சிற்றுண்டி சுவை	Snack taste
கோப்பை இங்கே உள்ளது	Cup is here
கோப்பை எடு	Take the cup
அவள் முகம் அழகு	Her face is beautiful
இந்த முகம் எனக்கு தெரியும்	I know this face
என் காது வலிக்கும்	My ear hurts
காது பெரியது	The ear is big
மூக்கு சிவப்பாக இருக்கிறது	The nose is red
உன் மூக்கு சிறியது	Your nose is small
வாய் திற	Open the mouth
அவன் வாய் பெரியது	His mouth is big
உதடு சிவந்தது	The lip is red
இந்த உதடு மென்மையானது	This lip is soft
பல் வெள்ளை	The tooth is white
எனக்கு பல் வலி	I have a toothache
நாக்கு நீட்டு	Stick out the tongue
நாக்கு சிவப்பாக உள்ளது	The tongue is red
கன்னம் சிவந்தது	The cheek is red
அவள் கன்னம் மென்மையானது	Her cheek is soft
கழுத்து நீளம்	The neck is long
என் கழுத்து வலிக்கும்	My neck hurts
தோள்பட்டை வலி	Shoulder pain
வலது தோள்பட்டை பெரியது	The right shoulder is big
விரல் சிறியது	The finger is small
உன் விரல் நீளம்	Your finger is long
கட்டைவிரல் மேலே உள்ளது	The thumb is on top
பெரிய கட்டைவிரல்	Big thumb
மணிக்கட்டு வலி	Wrist pain
எனது மணிக்கட்டு சிறியது	My wrist is small
முழங்கை வலிக்கிறது	The elbow hurts
முழங்கை கடினமானது	The elbow is hard
முழங்கால் மடி	The knee bends
என் முழங்கால் வலி	My knee pain
கால்விரல் சிறியது	The toe is small
உன் கால்விரல் சிவந்தது	Your toe is red
கணுக்கால் வலி	Ankle pain
கணுக்கால் பெரியது	The ankle is big
மீண்டும் வா	Come again
மீண்டும் முயற்சி செய்	Try again
மார்பு அகலமானது	The chest is broad
மார்பு வலி	Chest pain
வயிறு பெரியது	The stomach is big
எனக்கு வயிறு வலி	I have a stomachache
தோல் மென்மையானது	The skin is soft
இந்த தோல் கறுப்பு	This skin is black
எலும்பு வலுவானது	The bone is strong
எலும்பு உடைந்தது	The bone broke
இரத்தம் சிவந்தது	Blood is red
இரத்தம் வெளியே வருகிறது	Blood is coming out
இதயம் துடிக்கிறது	The heart beats
பெரிய இதயம்	Big heart
மூளை வேலை செய்கிறது	The brain is working
மூளை வலிமை பெற்றது	The brain is strong
நுரையீரல் சுவாசிக்கிறது	The lung breathes
நுரையீரல் பெரியது	The lung is big
இடுப்பு வலி	Hip pain
அவள் இடுப்பு சிறியது	Her hip is small
தாடி நீளம்	The beard is long
அவனுக்கு தாடி உள்ளது	He has a beard
மீசை அழகானது	The moustache is beautiful
அவன் மீசை சிறியது	His moustache is small
கன்னத்தில் முத்தமிடு	Kiss on the cheek
கன்னத்தில் தழும்பு	Scar on the cheek
நெற்றி அகலமானது	The forehead is broad
நெற்றி சிவந்தது	The forehead is red
வாழ்க்கை அறை பெரியது	The living room is big
வாழ்க்கை அறை சுத்தமானது	The living room is clean
படுக்கையறை இங்கே உள்ளது	The bedroom is here
படுக்கையறை அமைதியாக இருக்கிறது	The bedroom is quiet
சமையலறை சிறியது	The kitchen is small
சமையலறை வேலை செய்கிறது	The kitchen is working
குளியலறை தூய்மையானது	The bathroom is clean
குளியலறை மேலே உள்ளது	The bathroom is upstairs
கதவு திறந்திருக்கிறது	The door is open
கதவு மூடியிருக்கிறது	The door is closed
ஜன்னல் உடைந்தது	The window broke
ஜன்னல் வழியாகப் பார்	Look through the window
சுவர் வெள்ளை நிறம்	The wall is white color
சுவர் பழையது	The wall is old
தரை குளிர்ச்சியானது	The floor is cold
தரை ஈரமானது	The floor is wet
கூரை உயரமாக உள்ளது	The ceiling is high
கூரை உடைந்தது	The ceiling broke
கூரை வலுவானது	The roof is strong
கூரை சிவப்பு நிறம்	The roof is red color
படிக்கட்டுகள் நீண்டவை	The stairs are long
படிக்கட்டுகள் மரத்தால் ஆனது	The stairs are made of wood
பால்கனி அழகானது	The balcony is beautiful
பால்கனி காற்று வீசுகிறது	The balcony is breezy
தோட்டம் பசுமையாக உள்ளது	The garden is green
தோட்டம் பெரியது	The garden is big
முற்றம் அகலமானது	The yard is wide
முற்றம் சுத்தமானது	The yard is clean
படுக்கை மென்மையானது	The bed is soft
படுக்கை இங்கே உள்ளது	The bed is here
தலையணை பெரியது	The pillow is big
தலையணை வெள்ளை நிறம்	The pillow is white color
போர்வை வெப்பமானது	The blanket is warm
போர்வை மென்மையானது	The blanket is soft
அட்டவணை மரத்தால் ஆனது	The table is made of wood
அட்டவணை சிறியது	The table is small
நாற்காலி உடைந்தது	The chair broke
நாற்காலி இங்கே உள்ளது	The chair is here
சோபா வசதியானது	The sofa is comfortable
சோபா கருப்பு நிறம்	The sofa is black color
அலமாரி நிறைந்தது	The shelf is full
அலமாரி பழையது	The shelf is old
அலமாரி மூடியிருக்கிறது	The cupboard is closed
அலமாரி பெரியது	The cupboard is big
அலமாரி காலியாக உள்ளது	The wardrobe is empty
அலமாரி இங்கே உள்ளது	The wardrobe is here
விளக்கு எரிகிறது	The lamp is burning
விளக்கு பிரகாசமாக உள்ளது	The lamp is bright
ஒளி குறைவாக உள்ளது	The light is low
ஒளி வருகிறது	The light is coming
கடிகாரம் பழையது	The clock is old
கண்ணாடி உடைந்தது	The mirror broke
கண்ணாடி பெரியது	The mirror is big
கம்பளம் மென்மையானது	The carpet is soft
கம்பளம் சிவப்பு நிறம்	The carpet is red color
திரைச்சீலை நீல நிறம்	The curtain is blue color
திரைச்சீலை அழகானது	The curtain is beautiful
சோப்பு வாசனையாக உள்ளது	The soap is fragrant
சோப்பு சிறியது	The soap is small
முக்கிய சாவி தொலைந்தது	The key is lost
முக்கிய சாவி இங்கே உள்ளது	The key is here
குளிர்சாதன பெட்டி புதியது	The fridge is new
குளிர்சாதன பெட்டி பெரியது	The fridge is big
அடுப்பு சூடாக உள்ளது	The oven is hot
அடுப்பு வேலை செய்கிறது	The oven is working
அடுப்பு பழையது	The stove is old
அடுப்பு இங்கே உள்ளது	The stove is here
மூழ்கும் நிரம்பி உள்ளது	The sink is full
மூழ்கும் உடைந்தது	The sink broke
பூனை பால் குடிக்கும்	The cat drinks milk
பூனை இங்கே இருக்கிறது	The cat is here
பறவை வானில் பறக்கும்	The bird flies in the sky
சிறிய பறவை பாடுது	The small bird is singing
மீன் நீரில் நீந்தும்	The fish swims in water
எனக்கு மீன் பிடிக்கும்	I like fish
குதிரை வேகமாக ஓடும்	The horse runs fast
வெள்ளை குதிரை அழகு	The white horse is beautiful
மாடு பால் தரும்	The cow gives milk
மாடு புல் உண்ணும்	The cow eats grass
எருமை பெரிய விலங்கு	The buffalo is a big animal
எருமை ஆற்றில் உள்ளது	The buffalo is in the river
ஆடு புல் மேயும்	The goat grazes grass
ஆடு இங்கே ஓடுது	The goat runs here
ஆடுகள் মাঠে உள்ளன	The sheep are in the field
ஆடுகள் கூட்டமாக உள்ளன	The sheep are in a herd
பன்றி சேற்றில் கிடக்கும்	The pig lies in the mud
பன்றி வேகமாக ஓடும்	The pig runs fast
முயல் கேரட் உண்ணும்	The rabbit eats carrot
வெள்ளை முயல் குதிக்கும்	The white rabbit jumps
எலி தானியம் உண்ணும்	The rat eats grain
எலி ஓடிப் போனது	The rat ran away
சுட்டி மிக சிறியது	The mouse is very small
சுட்டி இங்கே ஒளிந்தது	The mouse hid here
வாத்து நீரில் நீந்தும்	The duck swims in water
வாத்து சத்தமாக கத்தும்	The duck screams loudly
கோழி முட்டை இடும்	The chicken lays eggs
கோழி தானியம் உண்ணும்	The chicken eats grain
கோழி இங்கே இருக்கிறது	The hen is here
பெரிய கோழி வந்தது	The big hen came
சேவல் காலை எழுப்பும்	The rooster wakes up the morning
சேவல் உரக்க கத்தும்	The rooster crows loudly
வான்கோழி பெரிய பறவை	The turkey is a big bird
வான்கோழி இங்கே உள்ளது	The turkey is here
சிங்கம் காட்டின் ராஜா	The lion is the king of the forest
சிங்கம் உரக்க கர்ஜிக்கும்	The lion roars loudly
புலி காட்டில் வாழும்	The tiger lives in the forest
புலி வேகமாக ஓடும்	The tiger runs fast
தாங்க தேன் உண்ணும்	The bear eats honey
தாங்க பெரிய விலங்கு	The bear is a big animal
ஓநாய் காட்டில் இருக்கும்	The wolf is in the forest
ஓநாய் உரக்க கத்தும்	The wolf howls loudly
நரி மிகவும் தந்திரமானது	The fox is very cunning
நரி காட்டில் ஓடும்	The fox runs in the forest
மான் அழகாக இருக்கும்	The deer is beautiful
மான் காட்டில் வாழும்	The deer lives in the forest
யானை மிகவும் பெரியது	The elephant is very big
யானை நீர் குடிக்கும்	The elephant drinks water
குரங்கு மரத்தில் ஏறும்	The monkey climbs the tree
குரங்கு பழம் உண்ணும்	The monkey eats fruit
ஒட்டகச்சிவிங்கி உயரமானது	The giraffe is tall
