Geh.	Go.
Hallo, Tom!	Hi, Tom.
Umarme Tom!	Hug Tom.
Umarmt Tom!	Hug Tom.
Drückt Tom!	Hug Tom.
Ich schwur.	I swore.
Ich winkte.	I waved.
Behalt ihn!	Keep it.
Behalt sie!	Keep it.
Küsst mich.	Kiss me.
Zeig's mir!	Show me.
Bis später!	So long.
Nimm's dir!	Take it.
Sag es mir.	Tell me.
Tom rannte.	Tom ran.
Wartet mal!	Wait up.
Wasch dich.	Wash up.
Willkommen!	Welcome.
Wer rannte?	Who ran?
Sie laufen.	You run.
Sei mutig!	Be brave.
Sei leise.	Be quiet.
Sei ruhig.	Be still.
Fang mich!	Catch me.
Kopf hoch!	Cheer up!
Geh nicht.	Don't go.
Finde Tom.	Find Tom.
Viel Spaß!	Have fun.
Er sprach.	He spoke.
Helft Tom!	Help Tom.
Wie schön!	How nice!
Ich hab's.	I got it.
Ich blieb.	I stayed.
Das hilft.	It helps.
Es klappt.	It works.
Küsse Tom!	Kiss Tom.
Küsst Tom!	Kiss Tom.
Gehen wir!	Let's go!
Rette Tom!	Save Tom.
Sie rennt.	She runs.
Setz dich!	Sit down!
Steht auf!	Stand up!
Stehe auf!	Stand up!
Sagenhaft!	Terrific!
Wunderbar!	Terrific!
Tom starb.	Tom died.
Warne Tom.	Warn Tom.
Was jetzt?	What now?
Fang Tom!	Catch Tom.
Fang ihn.	Catch him.
Komm her!	Come here.
Fühl mal.	Feel this.
Geh rein!	Go inside.
Nimm das.	Grab that.
Halt das!	Hold this.
Ich lüge.	I'm lying.
Behalt’s!	Keep that.
Töte sie!	Kill them.
Fass ihn!	Seize him!
Sie geht.	She walks.
Lass das!	Stop that!
Tom fuhr.	Tom drove.
Wer fuhr?	Who drove?
Wer geht?	Who'll go?
Herrlich!	Wonderful!
Du Idiot!	You idiot!
Boxt du?	Do you box?
Er lügt.	He's lying.
Es lebt!	It's alive.
Nochmal.	Once again.
Gib Gas!	Step on it!
Schade.	It's a pity.
Wer da?	Who's there?
Bitte.	Here you are.
Versteckt euch!	Hide.
Entspann dich.	Relax.
Ich fiel hin.	I fell.
Ich schwimme.	I swim.
Ich bin wach.	I'm up.
Fantastisch!	Awesome!
Verschwinde!	Beat it.
Vergrabe es!	Bury it.
Ruf mich an.	Call me.
Komm herein.	Come in.
Macht schon!	Come on!
Füttere uns!	Feed us.
Füttert uns!	Feed us.
Schlage Tom!	Hit Tom.
Schlagt Tom!	Hit Tom.
Ich bin neu.	I'm new.
Ich bin alt.	I'm old.
Behaltet es!	Keep it.
Niederlegen!	Lie low.
Drück drauf.	Push it.
Halt’s Maul!	Shut up!
Sei tapfer!	Be brave.
Seid leise.	Be quiet.
Ruf Tom an!	Call Tom.
Fangt mich!	Catch me.
Findet Tom.	Find Tom.
Feuert Tom!	Fire Tom.
Behebe das.	Fix this.
In Deckung!	Get down!
Geh da hin!	Go there.
Er ist Tom.	He's Tom.
Beeil dich.	Hurry up.
Ich spiele.	I gamble.
Ich ächzte.	I moaned.
Ich nickte.	I nodded.
Ich betete.	I prayed.
Ich gähnte.	I yawned.
Ich bin DJ.	I'm a DJ.
Es tut weh.	It hurts.
Es ist Tom.	It's Tom.
Es ist neu.	It's new.
Auf geht's!	Let's go!
Rettet Tom!	Save Tom.
Sag es Tom.	Tell Tom.
Tom weinte.	Tom wept.
Fass es an.	Touch it.
Wer ist er?	Who's he?
Nach euch.	After you.
Amen, Tom.	Amen, Tom.
Fange Tom!	Catch Tom.
Fangt Tom!	Catch Tom.
Kommt her!	Come here.
Komm heim!	Come home.
Komm bald.	Come soon.
Ganz toll!	Fantastic!
Folge mir.	Follow me.
Folge uns!	Follow us.
Hol's dir!	Go get it.
Komm rein.	Go inside.
Hände weg!	Hands off.
Er ist DJ.	He's a DJ.
Ich helfe.	I'll help.
Bleib weg.	Keep away.
Tötet sie!	Kill them.
Schau weg.	Look away.
Schau her.	Look here.
Natürlich!	Of course!
Bitte geh.	Please go.
Sag Hallo.	Say hello.
Fasst ihn!	Seize him!
Ernsthaft?	Seriously?
Harre aus!	Sit tight.
Stopp sie.	Stop them.
Das war's.	That's it.
Tom kocht.	Tom cooks.
Tom döste.	Tom dozed.
Wer stand?	Who stood?
Du fährst.	You drive.
Gib Acht!	Be careful.
Gib acht!	Be careful.
Trag das.	Carry this.
Boxt ihr?	Do you box?
Wie klug!	How clever!
Wie nett!	How lovely!
Ich esse.	I'm eating.
Sing mit!	Sing along.
Bleib da!	Stay there.
Tom half.	Tom helped.
Tom malt.	Tom paints.
Tom lief.	Tom walked.
Guck mal.	Watch this.
Geöffnet.	We're open.
Leg los.	Get started.
Es eilt.	It's urgent.
Handele!	Take action.
Handelt!	Take action.
Dreh um.	Turn around.
Entschuldigung?	Sorry?
Stehenbleiben!	Freeze!
Einverstanden?	Got it?
Ich flüchtete.	I fled.
Verzieh dich!	Beat it.
Verbrenne es!	Burn it.
Verbrennt es!	Burn it.
Verpiss dich!	Go away.
Bleib stehen!	Hold it.
Ich bin fett.	I'm fat.
Ich bin dick.	I'm fat.
Mir ist heiß.	I'm hot.
Ich bin nass.	I'm wet.
Behaltet ihn!	Keep it.
Behaltet sie!	Keep it.
Leg dich hin!	Lie low.
Erzähl's mir.	Tell me.
Seid tapfer!	Be brave.
Rufe Tom an!	Call Tom.
Ruft Tom an!	Call Tom.
Reg dich ab!	Cool off!
Fahr weiter.	Drive on.
Komm runter.	Get down.
Mach weiter!	Go ahead.
Feier schön!	Have fun.
Ich fluchte.	I cursed.
Ich stöhnte.	I moaned.
Ich rastete.	I rested.
Ich spränge.	I'd jump.
Es schmerzt.	It hurts.
Es ist heiß.	It's hot.
Er ist heiß.	It's hot.
Das ist rot.	It's red.
Das ist Tee.	It's tea.
Töte Thomas!	Kill Tom.
Sagt es Tom.	Tell Tom.
Tom schwamm.	Tom swam.
Tom ist auf.	Tom's up.
Probier mal.	Try some.
Probier mal!	Try this.
Besuche uns.	Visit us.
Wer bin ich?	Who am I?
Wer schwamm?	Who swam?
Schreib mir!	Write me.
Spinne ich?	Am I nuts?
Gesundheit.	Bless you.
Kommt heim!	Come home.
Frag nicht.	Don't ask.
Lüge nicht!	Don't lie.
Lüge nicht.	Don't lie.
Lauf nicht.	Don't run.
Verzeihung.	Excuse me.
Verzeihung?	Excuse me?
Vergiss es!	Forget it!
Vergiss es.	Forget it.
Gute Nacht.	Goodnight.
Er ist alt.	He is old.
Er ist gut.	He's good.
Haltet das!	Hold this.
Ich entkam.	I escaped.
Ich lachte.	I laughed.
Ich schrie.	I shouted.
Ich nieste.	I sneezed.
Ist Tom da?	Is Tom in?
Ist er Tom?	Is he Tom?
Ist es neu?	Is it new?
Ist es rot?	Is it red?
Es brannte.	It burned.
Es ist weg.	It's gone.
Er hat auf.	It's open.
Bleibt weg.	Keep away.
Geht jetzt!	Leave now.
Lass sehen.	Let's see.
Schau hier.	Look here.
Mach Platz!	Make room!
Bitte geht.	Please go.
Zieh es an.	Put it on.
Echt jetzt?	Seriously?
Sie weinte.	She cried.
Sitz still.	Sit still.
Bleib cool.	Stay cool.
Bleib dünn.	Stay thin.
Halte hier.	Stop here.
Mach's gut.	Take care.
Nimm meins.	Take mine.
Nimm meine.	Take mine.
Sie fielen.	They fell.
Tom kniete.	Tom knelt.
Tom sprach.	Tom spoke.
Tom redete.	Tom spoke.
Tom wählte.	Tom voted.
Tom winkte.	Tom waved.
Wer ist da?	Who is it?
Wer sprach?	Who spoke?
Sie fahren.	You drive.
Du stinkst.	You smell.
Ihr stinkt.	You stink.
Hol Hilfe.	Bring help.
Komm rein!	Come on in!
Definitiv!	Definitely!
Boxen Sie?	Do you box?
Trink das!	Drink this.
Folge Tom.	Follow Tom.
Folgt Tom.	Follow Tom.
Folge ihm!	Follow him.
Er lachte.	He laughed.
Ich pfiff.	I whistled.
Ich komme.	I'm coming.
Es glänzt.	It's shiny.
Es ist da.	It's there.
Sieh dort!	Look there.
Kein Witz?	No kidding?
Iss bitte!	Please eat.
Riech mal.	Smell this.
Zur Seite.	Step aside.
Lern mehr.	Study more.
Tom tanzt.	Tom dances.
Tom fährt.	Tom drives.
Tom blieb.	Tom stayed.
Wer blieb?	Who stayed?
Wer war’s?	Who was it?
Atme aus.	Breathe out.
Fangt an.	Get started.
Legt los.	Get started.
Da, fang!	Here, catch!
Ich bete.	I'm praying.
Tom rief.	Tom shouted.
Tom geht.	Tom will go.
Tom lebt.	Tom's alive.
Hör auf!	Cut that out!
Nur Mut.	Have courage.
Er isst.	He is eating.
Würfel!	Roll the dice.
Würfle!	Roll the dice.
Besser.	That's better.
Was?	What do you mean?
Ich versuche es.	I try.
Ich probiere es.	I try.
Keine Bewegung!	Freeze!
Mir geht's gut.	I'm OK.
Ausgeschlossen!	No way!
Entspann dich!	Be cool.
Fallen lassen!	Drop it!
Gehen Sie weg!	Go away!
Gehen Sie weg.	Go away.
Nicht bewegen!	Hold it!
Bleibt stehen!	Hold it.
Ich schnarche.	I snore.
Ich bin krank!	I'm ill.
Ich bin sauer.	I'm mad.
Legt euch hin!	Lie low.
Schließ es ab.	Lock it.
Öffnen Sie es!	Open it.
Wir sehen uns.	See you.
Nehmen Sie es.	Take it.
Wir schwammen.	We swam.
Bin ich dick?	Am I fat?
Sei ein Mann!	Be a man.
Wie niedlich!	How cute!
Ich hatte es.	I had it.
Ich hielt an.	I paused.
Ich lächelte.	I smiled.
Ich bin cool.	I'm cool.
Ich bin taub.	I'm deaf.
Ich bin frei.	I'm free.
Ich bin satt.	I'm full.
Ich bin hier.	I'm here.
Ich bin groß.	I'm tall.
Ich bin dünn.	I'm thin.
Das ist mies.	It's bad.
Das ist übel.	It's bad.
Sie ist groß.	It's big.
Es ist seins.	It's his.
Sie ist heiß.	It's hot.
Kein Zutritt.	Keep out.
Tötet Thomas!	Kill Tom.
Heirate mich.	Marry me.
Hervorragend!	Terrific!
Vertraue mir!	Trust me!
Vertraue mir.	Trust me.
Vertraut mir!	Trust me.
Schau mir zu.	Watch me.
Schau uns zu.	Watch us.
Schreibt mir!	Write me.
Bin ich tot?	Am I dead?
Komm wieder!	Come back.
Weine nicht!	Don't cry.
Weint nicht.	Don't cry.
Weint nicht!	Don't cry.
Stirb nicht!	Don't die.
Er lächelte.	He smiled.
Er ist sexy.	He's sexy.
Schrecklich!	How awful!
Wie seltsam!	How weird!
Ich hustete.	I coughed.
Ich gab auf.	I gave up.
Ich habe es.	I have it.
Ich stoppte.	I stopped.
Ich nahm es.	I took it.
Ich will es.	I want it.
Ich war neu.	I was new.
Ich bin zäh.	I'm tough.
Ist das Tom?	Is he Tom?
Ist es heiß?	Is it hot?
Ist sie rot?	Is it red?
Es ist kalt.	It's cold.
Es ist kühl.	It's cool.
Es ist frei.	It's free.
Es ist voll.	It's full.
Es ist hier.	It's here.
Es ist spät.	It's late.
Es ist Sand.	It's sand.
Es ist wahr.	It's true.
Bleib ruhig.	Keep calm.
Bleib unten.	Keep down.
Behalte sie.	Keep them.
Behalte das!	Keep this.
Guck runter.	Look down.
Dreh es auf.	Loosen it.
Setz es auf.	Put it on.
Tu es drauf.	Put it on.
Zieh sie an.	Put it on.
Zieh ihn an.	Put it on.
Siehe unten.	See below.
Bleibt cool.	Stay cool.
Bleib unten!	Stay down!
Hör mal auf!	Stop that!
Nimm meinen.	Take mine.
Nehmt meins.	Take mine.
Nehmt meine.	Take mine.
Übernimm du.	Take over.
Danke schön!	Thank you.
Das tat weh.	That hurt.
Das ist o.k.	That's OK.
Das bin ich!	That's me.
Tom tauchte.	Tom dived.
Tom strickt.	Tom knits.
Tom weiß es.	Tom knows.
Tom schlief.	Tom slept.
Tom fluchte.	Tom swore.
Entsperr es.	Unlock it.
Sieh Tom zu!	Watch Tom.
Seht Tom zu!	Watch Tom.
Wir hinkten.	We limped.
Wir beteten.	We prayed.
Wir gähnten.	We yawned.
Gut gemacht.	Well done.
Was ist los?	What's on?
Wer ist sie?	Who's she?
Sie stinken.	You stink.
Ziel höher!	Aim higher.
Sterbe ich?	Am I dying?
Bist du 18?	Are you 18?
Frag herum.	Ask around.
Gib Obacht!	Be careful.
Bring Wein.	Bring wine.
Komm nicht.	Don't come.
Sing nicht.	Don't sing.
Sag nichts!	Don't talk!
Volltanken.	Fill it up.
Vergib uns.	Forgive us.
Beweg dich.	Get moving.
Gib es auf!	Give it up.
Geh zu Tom.	Go see Tom.
Gute Nacht!	Good night.
Er gab auf.	He gave in.
Er ist arm.	He is poor.
Hallo, Tom.	Hello, Tom.
Los geht's.	Here we go.
Halt still!	Hold still.
Wie absurd!	How absurd!
Wie schlau!	How clever!
Wie war es?	How was it?
Ich gewann.	I have won.
Ist es gut?	Is it good?
Ist es das?	Is that it?
Ist das so?	Is that so?
Es war Tom.	It was Tom.
Es ist nah.	It's close.
Warten wir.	Let's wait.
Esst bitte!	Please eat.
Ersetze es.	Replace it.
Ersetzt es.	Replace it.
Rutsch mal.	Scoot over.
Bleib wach.	Stay awake.
Sie mogeln.	They cheat.
Das ist es.	This is it.
Tom mogelt.	Tom cheats.
Tom kochte.	Tom cooked.
Tom tanzte.	Tom danced.
Tom trinkt.	Tom drinks.
Tom vergaß.	Tom forgot.
Tom japste.	Tom gasped.
Tom hat es.	Tom has it.
Tom hinkte.	Tom limped.
Tom ächzte.	Tom moaned.
Tom nickte.	Tom nodded.
Tom betete.	Tom prayed.
Tom sah es.	Tom saw it.
Tom raucht.	Tom smokes.
Tom gähnte.	Tom yawned.
Tom schrie.	Tom yelled.
Mach es an!	Turn it on.
Moment mal!	Wait a sec.
Wo bin ich?	Where am I?
Wer hat es?	Who has it?
Wer schrie?	Who yelled?
Wer rudert?	Who'll row?
Hol Hilfe!	Go for help.
Da, fangt!	Here, catch!
Ich döste.	I dozed off.
Ich tanze.	I'm dancing.
Ich faste.	I'm fasting.
Ich summe.	I'm humming.
Ist es da?	Is it there?
Ist er da?	Is it there?
Wär's das?	Is that you?
Tun wir's!	Let's do it!
Gehen wir?	Shall we go?
Geh baden!	Take a bath.
Baden Sie!	Take a bath.
Schau mal.	Take a look.
Tee bitte.	Tea, please.
Da ist er.	There it is.
Da ist es.	There it is.
Tom malte.	Tom painted.
Tom kommt.	Tom'll come.
Wecke Tom!	Wake Tom up.
Wir gehen.	We're going.
Wo ist er?	Where is he?
Wo ist es?	Where is it?
Wer kommt?	Who'll come?
Wer kocht?	Who'll cook?
Komm mit!	Come with me.
Lügt Tom?	Is Tom lying?
Rate mal!	Make a guess.
Bis dann!	See you then.
Du lügst!	You're lying!
Du lügst.	You're lying.
Du irrst.	You're wrong.
Iss was.	Eat something.
Ich las.	I was reading.
Würfele!	Roll the dice.
Sie log.	She was lying.
Und ich?	What about me?
Ich hab gewonnen!	I won!
Fragen Sie mich!	Ask me.
Es geht mir gut.	I'm OK.
Fragen Sie Tom!	Ask Tom.
Seien Sie nett!	Be nice.
Mach dich fort!	Beat it.
Mach die Sause!	Beat it.
Scher dich weg!	Beat it.
Geh nach Hause.	Go home.
Helfen Sie uns!	Help us.
Stehen bleiben!	Hold it.
Schließ ihn ab.	Lock it.
Man sieht sich!	See you!
Warten Sie mal!	Wait up.
Wachen Sie auf!	Wake up!
Repariere das.	Fix this.
Schleich dich!	Get lost.
Greif ihn dir!	Grab him.
Wie unhöflich!	How rude!
Ich pausierte.	I paused.
Ich blinzelte.	I winked.
Ich zwinkerte.	I winked.
Ich bin dabei.	I'm game.
Ich mache mit.	I'm game.
Ich bin reich.	I'm rich.
Sprich lauter!	Speak up!
Halte Tom auf!	Stop Tom.
Erzähl es Tom.	Tell Tom.
Tom wusste es.	Tom knew.
Nimm das hier!	Use this.
Beobachte uns.	Watch us.
Schaut uns zu.	Watch us.
Komm hierher.	Come here.
Hunde bellen.	Dogs bark.
Vergiss mich!	Forget me.
Geh schlafen.	Go to bed.
Geh schlafen!	Go to bed.
Geh ins Bett!	Go to bed.
Er ist krank.	He is ill.
Er ist träge.	He's lazy.
Er ist reich.	He's rich.
Hier bin ich.	Here I am.
Halt das mal.	Hold this.
Ich kicherte.	I giggled.
Ich gebe auf.	I give in.
Ich hasse es.	I hate it.
Ich hoffe es.	I hope so.
Ich liebe es!	I love it!
Ich liebe es.	I love it.
Ich traf Tom.	I met Tom.
Es fehlt mir.	I miss it.
Ich sehe Tom.	I see Tom.
Ich stottere.	I stutter.
Ich bin blau.	I'm drunk.
Ich bin froh.	I'm happy.
Ich bin müde!	I'm tired.
Ich bin müde.	I'm tired.
Ist Tom okay?	Is Tom OK?
Ist das weit?	Is it far?
Es schüttete.	It poured.
Das ist hart.	It's hard.
Es ist meins.	It's mine.
Behaltet sie.	Keep them.
Bring sie um!	Kill them.
Verlasse Tom.	Leave Tom.
Lass es sein.	Let it be.
Guter Schuss!	Nice shot!
Setz ihn auf.	Put it on.
Setz sie auf.	Put it on.
Bleibt ruhig.	Stay cool.
Tritt zurück!	Step back.
Hör hier auf.	Stop here.
Nehmt meinen.	Take mine.
Sie stürzten.	They fell.
Sie verloren.	They lost.
Tom ist hier.	Tom is in.
Tom schwimmt.	Tom swims.
Tom arbeitet.	Tom works.
Tom ist dick.	Tom's fat.
Vertraue Tom!	Trust Tom.
Vertraut Tom!	Trust Tom.
Wir sahen es.	We saw it.
Wir warteten.	We waited.
Uns ist heiß.	We're hot.
Wir sind alt.	We're old.
Schreibe Tom!	Write Tom.
Schreibt Tom!	Write Tom.
Du fängst an.	You start.
Du bist okay.	You're OK.
Zielt höher!	Aim higher.
Bist du auf?	Are you up?
Fragt herum.	Ask around.
Komm wieder.	Come again.
Komm allein.	Come alone.
Komm tanzen!	Come dance.
Komm zu mir.	Come to me.
Komm zu uns.	Come to us.
Kommt nicht!	Don't come.
Nicht reden!	Don't talk!
Warte nicht!	Don't wait.
Iss langsam!	Eat slowly.
Vergiss Tom.	Forget Tom.
Er ist hier!	He is here!
Er ist fies.	He is mean.
Er ist groß.	He is tall.
Er ist klug.	He's smart.
Hier ist es.	Here it is.
Ich mag das.	I enjoy it.
Ich mag Tom.	I like Tom.
Ich mag ihn.	I like him.
Ich mag Tee.	I like tea.
Ich war weg.	I was away.
Ich war gut.	I was good.
Ich war arm.	I was poor.
Ich bezahle.	I'm buying.
Ist er groß?	Is he tall?
Ist es nett?	Is it nice?
Ist es Zeit?	Is it time?
Es passiert.	It happens.
Es war groß.	It was big.
Es war heiß.	It was hot.
Es ist klar.	It's clear.
Es ist früh.	It's early.
Es ist Mehl.	It's flour.
Es ist weiß.	It's white.
Bleib ruhig!	Keep quiet!
Mama weinte.	Mama cried.
Noch einmal.	Once again.
Hebe es auf.	Pick it up.
Beeile dich!	Run for it!
Sag „bitte“.	Say please.
Sie ist alt.	She is old.
Schmeck das.	Taste this.
Guter Junge!	That a boy!
Das tut weh.	That hurts.
Das ist Tom.	That's Tom.
Sie standen.	They stood.
Das bin ich.	This is me.
Tom bremste.	Tom braked.
Tom rülpste.	Tom burped.
Tom betrügt.	Tom cheats.
Tom kämpfte.	Tom fought.
Tom ist neu.	Tom is new.
Tom ist alt.	Tom is old.
Tom schaute.	Tom looked.
Tom stöhnte.	Tom moaned.
Tom sah uns.	Tom saw us.
Tom seufzte.	Tom sighed.
Tom rauchte.	Tom smoked.
Tom wartete.	Tom waited.
Tom ist weg.	Tom's gone.
Pech gehabt!	Tough luck!
Macht es an!	Turn it on.
Wir lachten.	We laughed.
Wir sind da.	We're here.
Was gibt es?	What is it?
Wer tat das?	Who did it?
Wer hat ihn?	Who has it?
Wer hat sie?	Who has it?
Wer ist das?	Who's that?
Holz brennt.	Wood burns.
Du bist alt.	You're old.
War es das?	Are we done?
Spinnst du?	Are you mad?
Sei gnädig!	Be merciful.
Komm näher.	Come closer.
Tröste Tom.	Comfort Tom.
Kegelst du?	Do you bowl?
Kegeln Sie?	Do you bowl?
Kegelt ihr?	Do you bowl?
Lach nicht!	Don't laugh.
Lach nicht.	Don't smile.
Vergib Tom!	Forgive Tom.
Holt Hilfe.	Go get help.
Er schläft.	He's asleep.
Ich friere.	I feel cold.
Ich war da.	I was there.
Ich bleibe.	I'm staying.
Ich bleib’.	I'm staying.
Schmeckt's?	Is it tasty?
Ist sie da?	Is it there?
Es war gut.	It was good.
Sie ist zu.	It's closed.
Danke sehr!	Many thanks.
Komm bitte.	Please come.
Sing bitte.	Please sing.
Leg es hin!	Put it down.
Sag nichts.	Say nothing.
Das stimmt.	That's true.
Da ist sie.	There it is.
Tom betrog.	Tom cheated.
Tom entkam.	Tom escaped.
Tom ist DJ.	Tom is a DJ.
Tom friert.	Tom is cold.
Tom ist da.	Tom is here.
Tom lachte.	Tom laughed.
Tom nieste.	Tom sneezed.
Wählt mich!	Vote for me!
Wähle mich!	Vote for me!
War es gut?	Was it good?
Wie schade!	What a pity!
Wo ist sie?	Where is it?
Wo ist Tom?	Where's Tom?
Wer betrog?	Who cheated?
Wer entkam?	Who escaped?
Wer stirbt?	Who's dying?
Ganz genau!	You said it!
Tritt vor.	Come forward.
Lehrst du?	Do you teach?
Tut’s weh?	Does it hurt?
Klappt es?	Does it work?
Raus, Tom!	Get out, Tom.
Koste mal!	Have a taste.
Er speist.	He is eating.
Ich blute.	I'm bleeding.
Ich stehe.	I'm standing.
Es stimmt.	It's correct.
Es hagelt.	It's hailing.
Es regnet.	It's raining.
Geh voran!	Lead the way.
Ratet mal!	Make a guess.
Riech mal!	Take a whiff.
So ist es.	That's right.
Tom pfiff.	Tom whistled.
Tom weint.	Tom's crying.
Tom heult.	Tom's crying.
Wo war es?	Where was it?
Wer fehlt?	Who's absent?
Wer kauft?	Who's buying?
Du zuerst.	You go first.
Sie lügen!	You're lying!
Sie lügen.	You're lying.
Gehst du?	Are you going?
Geht ihr?	Are you going?
Lügst du?	Are you lying?
Mach fix!	Do it quickly.
Trink es!	Drink it down.
Komm her.	Get over here.
Er fällt.	He is falling.
Er liest.	He is reading.
Ich höre.	I'm listening.
Hilft es?	Is it helping?
Stimmt’s?	Is that right?
Es eilte.	It was urgent.
Wie wahr!	It's all true.
Es nervt.	It's annoying.
Abführen!	Take him away.
Tom döst.	Tom is dozing.
Ich habe gewonnen!	I won!
Ich habe gewonnen.	I won.
Ich bin gestürzt.	I fell.
Ich habe gelogen.	I lied.
Ich habe bezahlt.	I paid.
Ich habe geweint.	I wept.
Wir versuchen es.	We try.
Verkrümele dich!	Beat it.
Mach ’ne Fliege!	Beat it.
Scher dich fort!	Beat it.
Lasst es fallen!	Drop it!
Auf Wiedersehen!	Goodbye!
Auf Wiedersehen.	Goodbye.
Er ist gegangen.	He left.
Warten Sie kurz!	Hold on.
Umarmen Sie Tom!	Hug Tom.
Drücken Sie Tom!	Hug Tom.
Ich bin traurig.	I'm sad.
Behalten Sie es!	Keep it.
Küssen Sie mich.	Kiss me.
Leg dich nieder!	Lie low.
Schließe sie ab.	Lock it.
Tom ist gerannt.	Tom ran.
Wer ist gerannt?	Who ran?
Alle aufstehen!	All rise.
Fass dich kurz.	Be brief.
Kann ich gehen?	Can I go?
Finden Sie Tom.	Find Tom.
Viel Vergnügen!	Have fun.
Er versucht es.	He tries.
Helfen Sie Tom!	Help Tom.
Ich kann gehen.	I can go.
Ich komme klar.	I get by.
Ich benutze es.	I use it.
Ich bin gemein.	I'm mean.
Ich bin sicher.	I'm safe.
Es ist trocken.	It's dry.
Es ist traurig.	It's sad.
Küssen Sie Tom!	Kiss Tom.
Lass uns gehen!	Let's go!
Darf ich gehen?	May I go?
Retten Sie Tom!	Save Tom.
Stehen Sie auf!	Stand up!
Haltet Tom auf!	Stop Tom.
Probier es mal.	Taste it.
Thomas spuckte.	Tom spit.
Warnen Sie Tom.	Warn Tom.
