سلام۔	Hi.
وہ باورچی خانے میں ہے۔	It is in the kitchen.
ٹام نے اچھا وقت گزارا۔	Tom had a great time.
. میں پہاڑوں پر تھا.	I was in the mountains.
تم اچھے نہیں لگ رہے۔	You don't look so good.
میں دوبارہ کب آئو؟	When should I come again?
بس یہ اسی طرح ہے۔	That's just the way it is.
وہ زیادہ ذہین ہے۔	They are more intelligent.
بس تھوڑی دور ہے۔	It's just a little further.
تم کیا کھائو گے؟	What would you like to eat?
یہ دوپہر کے کھانے کا وقت ہے۔	It's lunch time.
میں جلد ہی واپس آ جائو گا۔	I'll be back soon.
آپ کے پاس تین بلیاں ہیں۔	You have three cats.
تم کافی بیمار لگ رہے ہو۔	You look quite sick.
مجھے مچھلی سے الرجی ہے۔	I'm allergic to fish.
ممکن ہے کہ وہ آجائے گی۔	She'll probably come.
تم سارے کہاں رہتے ہوں؟	Where do you all live?
مجھے آج رات کال کرنا۔	Give me a call tonight.
آپ کیا کھائیں گے؟	What would you like to eat?
اس کا مطلب کیا ہو سکتا ہے؟	What could he mean?
میرا دماغ خراب ہو گیا ہے۔	I must have lost it.
تمہارے پاس تین بلیاں ہیں۔	You have three cats.
مجھے دل کا دورہ پڑا تھا۔	I had a heart attack.
یہ میری کتابیں نہیں ہیں۔	They aren't my books.
ٹام نے اسے نیچے گرا دیا۔	Tom knocked him down.
ہم اس کے مخالف نہیں ہیں۔	We're not against it.
میں کالج میں پڑھتا ہوں۔	I'm a college student.
میں کالج میں پڑھتی ہوں۔	I'm a college student.
اپنی آنکھیں کھلی رکھنا۔	Keep your eyes peeled!
اسے ایک عجیب خواب آیا۔	He had a strange dream.
یہ ایک حالیہ تصویر ہے؟	Is it a recent picture?
تم وہاں کس سے ملے تھے؟	Who did you meet there?
میں فوراً لوٹ آؤنگا ۔	I'll return immediately.
یہ بلکل صحیح جواب ہے۔	That's the right answer.
میں اس کو ثابت کر سکتا ہوں۔	I can confirm this.
میں ٹام کو گھر لے جاتا ہوں۔	I'll take Tom home.
مجھے صرف ایک دفعہ جانے دے۔	Let me go just once.
میں تمھیں سچ بتا رہا ہوں۔	I tell you the truth.
میں جامعہ میں پڑھتا ہوں۔	I'm a college student.
میں جامعہ میں پڑھتی ہوں۔	I'm a college student.
اس نے جو کیا وہ غلط تھا۔	What he did was wrong.
ہم کھڑکی کھول سکتے ہیں۔	We can open the window.
موسم تھوڑا گرم ہو گیا۔	The weather became warm.
لنکلن الیکشن جیت گیا۔	Lincoln won the election.
یہ گلی آگے سے بند ہے۔	This is a dead-end alley.
پیو کم اور سو زیادہ۔	Drink less and sleep more.
یہ اخبار روزنامہ ہے۔	This is a daily newspaper.
تمھیں جشن کیسا لگا؟	How did you like the party?
ٹام ٹھیک ہو رہا ہے۔	Tom is going to get better.
تمہارے سونے کا وقت ہو گیا ہے۔	It's your bedtime.
میرے لئیے بھی ایک ٹکٹ لینا۔	Get a ticket for me.
میں اس کے پلین سے متفک ہوں۔	I agree to his plan.
وہ کھیلوں میں کافی بڑی ہے۔	She is bad at sports.
ٹام تمھیں جانے نہیں دے گا۔	Tom won't let you go.
بہت محنت والا کام تھا یہ۔	It was real hard work.
مجھے ایک اور گھڑی دکھائو۔	Show me another watch.
مجھے ایک اور گھڑی دکھائے۔	Show me another watch.
میری ترجیح سیاہ والا ہے۔	I prefer the black one.
میری پتلون بہت چھوٹی ہے۔	My pants are too short.
میرا پین چوری ہو گیا ہے۔	My pen has been stolen.
ٹام نے ابھی ابتدا کی ہے۔	Tom is only a beginner.
تم کس کے ساتھ جا رہے ہو؟	Who are you going with?
تم کس کے ساتھ جا رہی ہو؟	Who are you going with?
آپ کس کے ساتھ جا رہے ہے؟	Who are you going with?
آپ کس کے ساتھ جا رہی ہے؟	Who are you going with?
میں آٹھویں منزل پر ہوں۔	I'm on the eighth floor.
مجھے حیرانی نہیں ہو گی۔	It wouldn't surprise me.
اس گھر میں کون رہتا ہے؟	Who lives in this house?
مجھے دعوت نامہ ملا ہے۔	I received an invitation.
یہ گھر کافی بڑا ہے۔	This house is very spacious.
قیامت آ چکی ہے۔	The day of judgment has arrived.
مجھے تمہارا سکارف پسند آیا ہے۔	I like your scarf.
مجھے تمہارا سکارف اچھا لگا ہے۔	I like your scarf.
تمھیں ملے ہوئے عرصہ ہو گیا ہے۔	Long time, no see.
برائے مہربانی، یہاں دستخط کرے۔	Sign here, please.
اس نے ایک لمبی زندگی گزاری۔	He lived a long life.
کھانے کی خوشبو بہت اچھی ہے۔	The dish smells good.
جانوروں کو کھانا نہ ڈالے۔	Don't feed the animals.
ٹام ہیٹر ٹھیک کر سکتا ہے۔	Tom can fix the heater.
تمھیں زیادہ پڑھنا چاہئیے۔	You need to study more.
میں انہیں آج مل رہا ہوں۔	I'm seeing them tonight.
وہ زیادہ دور نہیں رہتا۔	He doesn't live far away.
وہ بینچ پہ لیٹا ہوا ہے۔	He is lying on the bench.
میں کل چھٹی کر ریا ہوں۔	I am taking tomorrow off.
ٹام رات کو گھر آیا تھا۔	Tom came over last night.
ٹام بہت گالیاں دیتا ہے۔	Tom swears like a sailor.
وہ سیدھا میرے پاس آیا۔	He came straight up to me.
تم میرا دجسٹر لے جانا۔	I'll lend you my notebook.
یہ کبھی ختم نہ ہوگی ۔	This is never going to end.
وہ اس کی بیوی ہو گی۔	That woman must be his wife.
میں کہ رہا ہوں رکو،	I told you to stop, didn't I?
کل موسم کیسا تھا؟	What was the weather yesterday?
میں اُس ( لڑکی ) کو نہیں جانتا ۔	I don't know her.
اس کا ذائقہ بھی بہت اچھا ہے۔	It tastes great, too.
گلابوں کی خوشبو بہت اچھی ہے۔	The roses smell good.
اس نے ایک عجیب خواب دیکھا۔	He had a strange dream.
مجھے لگ رہا ہے کہ بخار ہے۔	I seem to have a fever.
ٹام کو شطرنج پسند نہیں ہے۔	Tom doesn't like chess.
تم شاید جیتو شاید نہ جیتو۔	You may or may not win.
کیا وہ کالا بیگ آپ کا ہے؟	Is that black bag yours?
ٹام نے اپنا منہ بند رکھا۔	Tom kept his mouth shut.
میں نے اسے تیرنا سکھایا۔	I taught him how to swim.
اس میں تھوڑا وقت لگے گا۔	This will take some time.
ٹام صحت یاب ہو رہا ہے،	Tom is going to get better.
ابھی بھی بہت ٹھنڈ ہے۔	It is still as cold as ever.
ٹام کو کچھ ہو گیا ہے۔	Something's happened to Tom.
یہ صحیح جواب نہیں ہے۔	That's not the right answer.
وہ سٹیشن کی طرف دوڑے۔	They hurried to the station.
اس نے میرے منہ پہ ہی جھوٹ بولا۔	He lied to my face.
میں کافی زیادہ گوشت کھاتا ہوں۔	I eat a lot of meat.
کیا میں جلدی ٹھیک ہو جائو گا؟	Will I get well soon?
کیا میں جلدی ٹھیک ہو جائو گی؟	Will I get well soon?
کتنی دیر آپ نے قیام کیا تھا؟	How long did you stay?
مجھے بہت بڑی درد ہو رہی ہے۔	I have a terrible pain.
میرا دل تیزی سے دھڑکنے لگا۔	My heart began to race.
ہمیں جلدی سے کچھ کرنا ہوگا۔	We have to act quickly.
وہ مطمئن نہیں ہوئے تھے کیا؟	Weren't they satisfied?
اس نے میری پیشکش ٹھکرا دی۔	He turned down my offer.
مجھے پتا ہے کہ تم امیر ہو۔	I know that you're rich.
مجھے پتا ہے کہ آپ امیر ہے۔	I know that you're rich.
کیا وہ کالا بیگ تمہارا ہے؟	Is that black bag yours?
میں نے اسے تیراکی سکھائی۔	I taught him how to swim.
صفحہ نمبر دس سے رجوع کرے۔	Please refer to page ten.
تم کسی وقت بھی آ سکتے ہو۔	You can come at any time.
آپ کسی وقت بھی آ سکتے ہے۔	You can come at any time.
میرا خیال ہے یہ ممکن ہے۔	I suppose that's possible.
اس معاملے میں تم غلط ہو۔	You're wrong in this case.
اس معاملے میں آپ غلط ہے۔	You're wrong in this case.
تحفہ دینے کا بہت شکریہ۔	Thank you for your present.
گھر کی مرغی دال برابر۔	Familiarity breeds contempt.
وہ افواہ سچی نکلی۔	The rumor turned out to be true.
میں نے ایک ہفتے کی چھٹی لے لی ہے۔	I took a week off.
مجھے کسی بھی چیز سے ڈر نہیں لگتا۔	Nothing scares me.
میں نے خریدنے کے لئیے حامی بھری۔	I agreed to buy it.
میں ٹام کو گھر لے کے جا رہا ہوں۔	I'll take Tom home.
ٹام ہیٹر کی مرمت کر سکتا ہے۔	Tom can fix the heater.
میرے پاس زیادہ وقت نہیں ہے۔	I do not have much time.
اس میں تھوڑا وقت درکار ہے۔	This will take some time.
بینک کتنی دیر تک کھلا ہے؟	How late is the bank open?
وہ لڑکی رونے شروع ہو گئی۔	The girl broke into tears.
تم نے پھول کہاں سے خریدے؟	Where did you buy flowers?
آپ نے پھول کہاں سے خریدے؟	Where did you buy flowers?
وہ سوچ میں ڈوبا ہوا تھا۔	He was absorbed in thought.
اس پھل کا ذائقہ خراب ہے۔	This fruit has a bad taste.
میں بعد میں آ جائو گا۔	I think I'll come back later.
کل کا موسم کیسا تھا؟	What was the weather yesterday?
امنے ہمسایوں سے بہترین سلوک کرو۔	Love your neighbors.
وہ بہت محنت کے ساتھ پڑھتا ہے۔	He always studies hard.
اس نے ایک نئی نوکرانی رکھ لی۔	He employed a new maid.
دروازہ کون کھلا چھوڑ گیا تھا؟	Who left the door open?
تمہیں یہاں نہیں کھانا چاہئیے۔	You shouldn't eat here.
میں جانتا ہوں کہ تم امیر ہو۔	I know that you're rich.
میں جانتا ہوں کہ آپ امیر ہے۔	I know that you're rich.
وہ ایک کسان بننا چاھتا تھا۔	He wanted to be a farmer.
اس کی گاڑی دو سال پرانی ہے۔	His car is two years old.
ان کی گاڑی دو سال پرانی ہے۔	His car is two years old.
میں اور زیادہ نہیں لڑ سکتا۔	I can't fight any longer.
مجھے نہیں پتا کیا کہنا ہے ۔	I don't know what to say.
پتہ نہیں وہ آئے گا کہ نہیں۔	I wonder if he will come.
میں اسے ابھی فون کرتا ہوں۔	I'll call her immediately.
تمہیں سب کچھ نہیں مل سکتا۔	You can't have everything.
بہت خوبصورت نام ہے تمہارا۔	You have a beautiful name.
کیا تم گرین ٹی پی رہے ہو؟	Are you drinking green tea?
کیا تم گرین ٹی پی رہی ہو؟	Are you drinking green tea?
کیا آپ گرین ٹی پی رہے ہے؟	Are you drinking green tea?
کیا آپ گرین ٹی پی رہی ہے؟	Are you drinking green tea?
تم کیا کھانا پسند کرو گے؟	What would you like to eat?
تمہیں کتنی پلیٹیں چاہیے؟	How many plates do you want?
آپ کو کتنی پلیٹیں چاہیے؟	How many plates do you want?
وہ جانور بھوک سے مر گیا۔	The animal died from hunger.
آخری ٹرین جا چکی ہے۔	The last train has already gone.
وہ ایک آرامدہ زندگی گزار رہا ہے۔	He lives comfortably.
اس نے ایک نئی کام والی رکھ لی۔	He employed a new maid.
میں سیاہ والے کو ترجیح دوں گا۔	I prefer the black one.
میں سیاہ والے کو ترجیح دوں گی۔	I prefer the black one.
انہوں نے میری پیشکش ٹھکرا دی۔	He turned down my offer.
اس نے میرے ہاتھ کو تھام لیا۔	He caught me by the hand.
میں نے پورے یورپ کا سفر کیا۔	I traveled around Europe.
پتہ نہیں وہ آئِں گے کہ نہیں۔	I wonder if he will come.
یہ ایک بالکل نیا پڑوڈکٹ ہے۔	It is a brand new product.
سانپ زندہ ہے یا مر گیا ہے؟	Is the snake alive or dead?
آپ کیا کھانا پسند کریں گے؟	What would you like to eat?
وہ آج صبح جلدی اٹھا تھا۔	He got up early this morning.
اسے گاڑی چلانا نہیں آتی۔	He isn't able to drive a car.
وہ زمین پہ کھڑا ہوا تھا۔	He was standing on the floor.
میں سونے کیلئے بستر پر لیٹ چکا ہوں	I have to go to bed.
میں تمہیں مس نہیں کرنا چاہتا۔	I don't want to miss you.
میں نے اس کے دس ڈالر دینے ہے۔	I owe ten dollars to her.
تم سب کچھ حاصل نہیں کر سکتے۔	You can't have everything.
وہ کوئی عام طافان نہیں تھا۔	That was no ordinary storm.
تمہیں یہ کتاب سمجھ آئی ہے؟	Do you understand this book?
تمھارا کوٹ بہت خوبصورت ہے۔	Your coat is very beautiful.
اسے وکیل ہونا چاہئیے تھا۔	He should have been a lawyer.
وہ ہماری پہلی ملاقات تھی۔	That was our first encounter.
تم اب پیچھے نہیں ہٹ سکتے۔	You can't back out on me now.
اس کا سائز انڈے جتنا ہے۔	It's about the size of an egg.
ٹام کی ایک بیٹی ہے مریم۔	Tom has a daughter named Mary.
انہوں نے گفتگو شروع کی۔	They entered into a discussion.
اس کے انگریزی میں ۹۰ فیصد آئے ہے۔	He got 90% in English.
میں اس کے خیال سے اتفاق کرتا ہوں۔	I agree with his idea.
میں ان کے خیال سے اتفاق کرتا ہوں۔	I agree with his idea.
میں ٹام کے ساتھ یہ نہیں کر سکتا۔	I can't do this to Tom.
میں ٹام کے ساتھ یہ نہیں کر سکتی۔	I can't do this to Tom.
وہ کبھی کبھار امید کھو دیتا ہے۔	He sometimes loses hope.
اس نے اپنی مرضی سے میری مدد کی۔	She helped me willingly.
وہ ( لڑکی ) میرے لئے اجنبی ہے ۔	She is a stranger to me.
وہ واقعی بہت خوبصورت لگ رہی ہے۔	She really looks pretty.
ٹام اور میں دونوں ہی مصروف ہیں۔	Tom and I are both busy.
ٹام کبھی تمہیں دکھ نہیں دے گا۔	Tom would never hurt you.
میں فٹ بال روزانہ کھیلتا ہوں۔	I play football every day.
میں فٹ بال روزانہ کھیلتی ہوں۔	I play football every day.
ٹام فٹبال ٹیم کو لیڈ کرتا ہے۔	Tom leads the soccer team.
ہم اپنے پرانے سکول ہو کے آئے۔	We visited our old school.
تم یہاں کافی مصروف لگ رہے ہو۔	You seem pretty busy here.
فرانسیسی میری مادری زبان ہے۔	French is my mother tongue.
اس کا سارا سامان گم ہو گیا۔	He lost all his possessions.
میں نے اگلے کمرے میں دیکھا۔	I looked into the next room.
میں ریڈہو بہت کم سنتا ہوں۔	I rarely listen to the radio.
میری گھڑی دس منٹ پیچھے ہے۔	My watch is ten minutes slow.
ہم عشائیہ باہر کر رہے ہیں۔	We're eating dinner outdoors.
آپ کے گھر والے کیسے ہے؟	How's it going with your family?
کیا تمہیں ٹام سے پیار ہو رہا ہے؟	Are you falling for Tom?
برائے مہربانی تھوڑا اونچا بولے۔	Please speak more loudly.
ٹام اور مریم کی منگنی ہوگئی ہے۔	Tom and Mary are engaged.
کیوبا کے سب لوگوں کو پسند ہیں۔	Everyone in Cuba likes it.
میں اپنی پوری کوشش کر رہا ہوں۔	I am trying my level best.
ٹام نے مریم کو ایک نوٹ پکرایا۔	Tom handed a note to Mary.
اس نے اپنی ایلبم مجھے دکھائی۔	She showed her album to me.
یہ ہی تو میں جاننا چاہتا ہوں۔	That's what I want to know.
