అద్భుతం!	Wonderful!
నువ్వు గట్టిగా మాట్లాడాలి	You must speak in a loud voice.
మనం అంత కష్టపడనక్కరలేదు.	We won't have to work very hard.
కొన్ని కుక్కలు బ్రతికే ఉన్నాయి	Some of the dogs are alive.
భయపడాల్సిన కారణం ఏమీ లేదు.	There's no reason to be afraid.
ఎక్కడ నొప్పి పుడుతుందో నాకు చూపించు	Show me where it hurts.
తనని ఒంటరిగా వదిలెయ్యడం మంచిది	We'd better leave her alone.
అతను ఆమెకి పుస్తకాల అర తయారు చేసాడు	He made her a bookshelf.
ఆవిడ పిల్లిని భయపెట్టి తరిమేసింది .	She scared the cat away.
నువ్వు ఎక్కడ ఉన్నవో అక్కడే ఉండు	You must stay where you are.
మా అక్కకి టెన్నిసంటే పిచ్చి	My sister is crazy about tennis.
సాదారణంగా అది చేసేది నేనే	I'm usually the one who does that.
మీకు ఎన్ని మామిడిపండ్లు కావాలి?	How many mangoes do you want?
అతడు స్త్రీలాగా వస్త్రాలను ధరించాడు.	He dressed up as a woman.
ఇది చెయ్యడానికి సిద్దంగా వున్నావా	Are you prepared to do this?
వాళ్ళు ఎక్కడ ఉన్నారో నాకు తెలియదు	I don't know where they are.
టామ్ చివరికి ఉద్యోగం సంపాదించాడు.	Tom has finally found a job.
తను స్కూలుకు వెళ్ళే దారిలో వుంది	She was on her way to school.
మేము నిన్న బాస్కెట్ బాల్ ఆడాము	We played basketball yesterday.
వాడు నేను చెప్పినట్లు చేశాడు.	He did it the way I told him to.
ఇది చాలా తెలివితక్కువ ప్రశ్న	This is a pretty stupid question.
నేను దానిగురించి చాలా ఆలోచిస్తుంటాను.	I think about that a lot.
ఏం చెయ్యాలన్నా మనకి డబ్బులు కావాలి	We need money to do anything.
నీ రోజువారీ జీవితం గురించి చెప్పు	Tell me about your daily life.
నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు	You have no need to be ashamed.
నీకు నచ్చితే ముందే వెళ్లిపోవచ్చు	You can leave early if you like.
ఈ పెన్సిళ్లు ఒకే రంగులో ఉన్నాయి	These pencils are the same color.
టామ్ నీకు ఆకలి వేస్తోందని అంటున్నాడు.	Tom says that you're hungry.
మీరిద్దరూ కలిసి ప్రయాణిస్తున్నారా?	Are you two traveling together?
అది చాలా ఆసక్తికరంగా ఉన్నట్లు ఉంది	That sounds really interesting.
నాకు నువ్వు ఒద్దని చెప్తావని తెలుసు.	I know you're going to say no.
మేరీ ఒంటరిగా లేదని టామ్ అనుకున్నాడు.	Tom thought Mary wasn't alone.
నీకు ఎప్పుడైనా గుండెపోటు వచ్చిందా	Have you ever had a heart attack?
ఈ రాత్రి బయటకి వెళ్లి తిందామా ?	How about going out to eat tonight?
నేను వచ్చే స్టాపు లో దిగుతాను	I'm getting off at the next bus stop.
నా పరువును ఎలా తిరిగి తెచ్చుకోగలను?	How can I restore my reputation?
ఆ పైన ఇంకేమైనా చెప్పేది వుందా ?	Do you have anything further to say?
నాకు ఇప్పుడు మాట్లాడేంత సమయం లేదు	I don't have time to talk right now.
నేనింక నీతో మాట్లాడదల్చుకోవట్లేదు	I don't want to talk to you anymore.
రోజంతా కూర్చోవడం నీకు మంచిది కాదు	Sitting down all day is bad for you.
టామ్‌కు ఆకలి వేస్తోందేమోనని అనుకున్నాను.	I thought Tom might be hungry.
అది ఇక్కడ చెయ్యడానికి నాకు అనుమతి లేదు	I'm not allowed to do that here.
నువ్వు ఈ చుట్టుపక్కల నివసిస్తున్నావా?	Do you live in this neighborhood?
నిన్న రాత్రికి నన్ను నిజంగా క్షమించు	I'm really sorry about last night.
నిన్ను ఇక్కడ ఇంకా ఎక్కువ సమయం వుంచలేను	I can't keep you here any longer.
నువ్వు భోజనం ఇక్కడ ఈ గదిలో తినొచ్చు	You can eat lunch here in this room.
నన్ను సహాయం అడగడానికి ఏం సందేహ పడొద్దు	Don't hesitate to ask me for help.
ఈ సాక్స్ ఉతికినప్పుడు సాగవు	These socks don't stretch when you wash them.
నువ్వు ఇంతకు ముందెప్పుడైనా ఇక్కడకు వచ్చావా?	Have you ever been here before?
అతడు తన చేతులకి అంటిన రక్తాన్ని కడిగేసాడు	He washed the blood off his hands.
ఆమె ముప్పై ఏళ్ళ పాటు సంగీతం నేర్పిస్తుంది	She taught music for thirty years.
వాళ్ళు నా గురించి మాట్లాడుతున్నారనుకుంట.	I think they were talking about me.
మనం నమ్మదగిన వాళ్ళనే పనిలోకి తీసుకోవాలి	We need to hire people we can trust.
ఆవిడ ఇంకా ఎక్కువ చెప్పడానికి ఒప్పుకోవట్లేదు	She refuses to say more about it.
ఆటను చెప్పేది ఏం అర్ధం పర్థం లేకుండా ఉంది	What he says makes no sense at all.
అతను పిల్లలకి స్పానిష్ నేర్పుతున్నాడు	He is teaching Spanish to the children.
నేను నువ్వైతే ఈరోజు అక్కడికి వెళ్ళను	I wouldn't go there today if I were you.
నా అంతట నేనే చేయగలిగి వుండాల్సింది	I should've been able to do that by myself.
ఒక పిల్లి డెస్క్ కింద నుండి బయటకు వచ్చింది.	A cat came out from under the desk.
వేరే దారి లేదని స్పష్టంగా తెలుస్తుంది	It was apparent that there was no way out.
ఏమైనా అవుతుందని ఇంకా భయపడుతున్నావా ?	Are you still afraid something might happen?
ఆటను ఒక గొప్ప కవే కాదు మంచి వైద్యుడు కూడా	He was a great poet as well as a doctor.
టామ్ నిన్న ఇక్కడకు మొదటి సారి వచ్చాడు.	Tom came here yesterday for the first time.
నేను ఎన్ని భాషలు మట్లాడుతానని తను అడిగింది	She asked me how many languages I spoke.
నేను ఇంటికి వెళ్లి పరీక్ష కోసం చదవాలి	I have to get back home and study for a test.
స్కూలుకి బయలుదేరే సమయం అయ్యింది, కాదా	It's high time you left for school, isn't it?
నువ్వు నాన్న అయినప్పుడు నీకు అర్ధం అవుతుంది	When you're a father, you'll understand.
నీకు ఏ రంగు అంటే ఇష్టం , నీలమా లేక పచ్ఛా ?	Which color do you prefer, blue or green?
తను ఎందుకు అంత కోపంగా ఉందొ నీకు తెలుసా ?	Do you know the reason why she is so angry?
టామ్ ఒక కర్రతో తన పేరును ఇసుకలో రాశాడు.	Tom wrote his name in the sand with a stick.
తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది	With her heart pounding, she opened the door.
నువ్వు మాములుగా ఏడు కు ముందే టిఫిన చెస్తావా?	Do you usually eat breakfast before seven?
నేనో పొరపాటు చేసాను, కావాలని కాకపోయినా.	I've made a mistake, though I didn't intend to.
మా నాన్న దురదర్శిని చూస్తూనే నిద్ర పోతాడు	My father often falls asleep while watching television.
