హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
నా ప్రియమైన స్నేహితుడికి.	To my dear friend.
తర్వాత కలుద్దాం, జాగ్రత్త.	See you later, take care.
మనం రేపు తర్వాత కలుద్దాం.	We will see you later tomorrow.
దయచేసి జాగ్రత్త వహించండి.	Please take care.
మీరు జాగ్రత్త వహించండి.	You take care.
మీకు మంచి రోజు కావాలి.	Have a nice day.
మీకు మంచి రోజు శుభాకాంక్షలు.	Wishes for a
బై, మళ్ళీ కలుద్దాం!	Bye, let's meet again!
అందరికీ బై చెప్పాను.	I said bye to everyone.
సున్నా ఒక సంఖ్య	Zero is a number
అక్కడ సున్నా ఉంది	Zero is there
నాకు ఒకటి కావాలి	I want one
ఇది ఒకటి మాత్రమే	This is only one
రెండు పుస్తకాలు ఉన్నాయి	There are two books
నాకు రెండు ఇవ్వు	Give me two
మూడు రోజులు పట్టింది	It took three days
అక్కడ మూడు మంది ఉన్నారు	Three people are there
నాలుగు గోడలు ఉన్నాయి	There are four walls
నాకు నాలుగు కావాలి	I want four
ఐదు వేళ్లు ఉన్నాయి	There are five fingers
అక్కడ ఐదు మంది ఉన్నారు	Five people are there
ఆరు గంటలు అయ్యింది	It is six o'clock
ఆరు రంగులు ఉన్నాయి	There are six colors
ఎనిమిది మంది వచ్చారు	Eight people came
నాకు ఎనిమిది కావాలి	I want eight
తొమ్మిది గంటలు అయ్యింది	It is nine o'clock
అక్కడ తొమ్మిది పుస్తకాలు ఉన్నాయి	There are nine books there
పది మంది ఉన్నారు	Ten people are there
నాకు పది రూపాయలు ఇవ్వు	Give me ten rupees
పదకొండు మంది వచ్చారు	Eleven people came
ఇది పదకొండు వారం	This is the eleventh week
పన్నెండు నెలలు ఉన్నాయి	There are twelve months
నాకు పన్నెండు కావాలి	I want twelve
పదమూడు మంది ఉన్నారు	Thirteen people are there
ఇక్కడ పదమూడు పుస్తకాలు ఉన్నాయి	There are thirteen books here
పద్నాలుగు మంది వచ్చారు	Fourteen people came
నాకు పద్నాలుగు కావాలి	I want fourteen
పదిహేను రోజులు పట్టింది	It took fifteen days
అక్కడ పదిహేను మంది ఉన్నారు	Fifteen people are there
పదహారు మంది ఉన్నారు	Sixteen people are there
నాకు పదహారు కావాలి	I want sixteen
పదిహేడు మంది వచ్చారు	Seventeen people came
ఇక్కడ పదిహేడు పుస్తకాలు ఉన్నాయి	There are seventeen books here
పద్దెనిమిది మంది ఉన్నారు	Eighteen people are there
నాకు పద్దెనిమిది కావాలి	I want eighteen
పంతొమ్మిది మంది వచ్చారు	Nineteen people came
అక్కడ పంతొమ్మిది పుస్తకాలు ఉన్నాయి	There are nineteen books there
ఇరవై మంది ఉన్నారు	Twenty people are there
నాకు ఇరవై కావాలి	I want twenty
ఇరవై ఒకటి మంది వచ్చారు	Twenty-one people came
అక్కడ ఇరవై ఒకటి పుస్తకాలు ఉన్నాయి	There are twenty-one books there
నలభై మంది ఉన్నారు	Forty people are there
నాకు నలభై కావాలి	I want forty
యాభై మంది వచ్చారు	Fifty people came
అక్కడ యాభై పుస్తకాలు ఉన్నాయి	There are fifty books there
అరవై మంది ఉన్నారు	Sixty people are there
నాకు అరవై కావాలి	I want sixty
డెబ్బై మంది వచ్చారు	Seventy people came
అక్కడ డెబ్బై పుస్తకాలు ఉన్నాయి	There are seventy books there
ఎనభై మంది ఉన్నారు	Eighty people are there
నాకు ఎనభై కావాలి	I want eighty
తొంభై మంది వచ్చారు	Ninety people came
అక్కడ తొంభై పుస్తకాలు ఉన్నాయి	There are ninety books there
వంద మంది ఉన్నారు	Hundred people are there
నాకు వంద కావాలి	I want hundred
వెయ్యి మంది వచ్చారు	Thousand people came
అక్కడ వెయ్యి పుస్తకాలు ఉన్నాయి	There are thousand books there
రెండవది ఎక్కడ ఉంది?	Where is the second one?
అది రెండవది పుస్తకం	That is the second book
మూడవది ఎవరు?	Who is the third one?
ఇది మూడవది గది	This is the third room
నాల్గవది ఎక్కడ ఉంది?	Where is the fourth one?
అది నాల్గవది పుస్తకం	That is the fourth book
ఐదవది ఎవరు?	Who is the fifth one?
ఇది ఐదవది గది	This is the fifth room
ఆరవది ఎక్కడ ఉంది?	Where is the sixth one?
అది ఆరవది పుస్తకం	That is the sixth book
ఏడవ రోజు ఆదివారం	The seventh day is Sunday
అది ఏడవ గది	That is the seventh room
ఎనిమిదవది ఎక్కడ ఉంది?	Where is the eighth one?
అది ఎనిమిదవది పుస్తకం	That is the eighth book
తొమ్మిదవ పుస్తకం ఇక్కడ ఉంది	The ninth book is here
అది తొమ్మిదవ గది	That is the ninth room
పదవ వ్యక్తి ఎవరు?	Who is the tenth person?
ఇది పదవ గది	This is the tenth room
సగం పాలు ఇక్కడ ఉన్నాయి	Half the milk is here
అతను సగం తిన్నాడు	He ate half
నాకు ఒక జత కావాలి	I want one pair
ఈ జత బాగుంది	This pair is good
అక్షరాలను లెక్కించండి	Count the letters
డబ్బులను లెక్కించండి	Count the money
నేడు సెలవు	Today is a holiday
నేడు వర్షం పడుతుంది	It is raining today
రేపు నేను వస్తాను	I will come tomorrow
రేపు సెలవు కాదు	Tomorrow is not a holiday
తరువాత మనం వెళ్దాం	We will go later
తరువాత ఏమి జరుగుతుంది?	What happens later?
పని ప్రారంభ క్రమంలో ఉంది	The work is in the beginning stage
ప్రారంభ దశ చాలా కష్టం	The beginning stage is very difficult
అతను ఆలస్యంగా వచ్చాడు	He came late
నేను ఆలస్యంగా లేచాను	I woke up late
ఉదయం కాఫీ తాగుతాను	I drink coffee in the morning
ఉదయం ఎండగా ఉంది	It is sunny in the morning
మధ్యాహ్నం భోజనం చేయండి	Eat lunch in the afternoon
మధ్యాహ్నం ఎండ ఎక్కువగా ఉంది	The afternoon sun is strong
సాయంత్రం నడకకు వెళ్తాను	I go for a walk in the evening
సాయంత్రం చాయ్ తాగుదాం	Let's drink tea in the evening
అర్ధరాత్రి వర్షం పడింది	It rained at midnight
అర్ధరాత్రి నిద్ర రాలేదు	Sleep didn't come at midnight
మధ్యాహ్నం భోజనం సిద్ధంగా ఉంది	Afternoon lunch is ready
మధ్యాహ్నం విశ్రాంతి తీసుకోండి	Take rest in the afternoon
ఒక నిమిషం ఆగండి	Wait for one minute
ఒక నిమిషం సమయం ఇవ్వండి	Give me one minute time
రెండవది పుస్తకం తీసుకోండి	Take the second book
రెండవది అవకాశం లేదు	There is no second chance
గోడపై గడియారం ఉంది	There is a clock on the wall
గడియారం సరిగ్గా లేదు	The clock is not correct
ఈరోజు తేదీ ఏమిటి?	What is the date today?
తేదీ గుర్తుంచుకోండి	Remember the date
వారంలో ఏడు రోజులు	Seven days in a week
వచ్చే వారం కలుద్దాం	Let's meet next week
వారాంతం బాగా గడిచింది	The weekend went well
వారాంతం సెలవు కావాలి	I want a weekend holiday
వచ్చే నెల వెళ్తాను	I will go next month
ఈ నెల చాలా చల్లగా ఉంది	This month is very cold
ఈ సంవత్సరం బాగుంది	This year is good
వచ్చే సంవత్సరం కలుద్దాం	Let's meet next year
ఈ సీజన్ చాలా బాగుంది	This season is very good
సీజన్ మారింది	The season changed
వసంత కాలం అందంగా ఉంటుంది	Spring season is beautiful
వసంత రాకతో పూలు పూశాయి	Flowers bloomed with the arrival of spring
వేసవి సెలవులు వచ్చాయి	Summer holidays have arrived
వేసవిలో మామిడి పండ్లు తింటాము	We eat mangoes in summer
శరదృతువులో ప్రకృతి బాగుంటుంది	Nature is beautiful in autumn
శరదృతువులో చల్లగా ఉంటుంది	It is cool in autumn
చలికాలంలో దుస్తులు వేసుకోండి	Wear clothes in winter
చలికాలం వస్తోంది	Winter is coming
సోమవారం పని ప్రారంభమవుతుంది	Work starts on Monday
సోమవారం సెలవు లేదు	There is no holiday on Monday
మంగళవారం సెలవు ఉందా?	Is there a holiday on Tuesday?
మంగళవారం నేను వస్తాను	I will come on Tuesday
బుధవారం సమావేశం ఉంది	There is a meeting on Wednesday
బుధవారం మార్కెట్ సెలవు	Wednesday is a market holiday
గురువారం సినిమాకు వెళ్దాం	Let's go to a movie on Thursday
గురువారం పని పూర్తవుతుంది	Work will be finished on Thursday
శుక్రవారం చివరి రోజు	Friday is the last day
శుక్రవారం సాయంత్రం కలుద్దాం	Let's meet Friday evening
శనివారం ఆటలు ఆడుదాం	Let's play games on Saturday
శనివారం రాత్రి సినిమా	Saturday night movie
ఆదివారం ఇంటికి వెళ్తాను	I will go home on Sunday
ఆదివారం సెలవు రోజు	Sunday is a holiday
పుట్టినరోజు శుభాకాంక్షలు	Happy birthday
నీ పుట్టినరోజు ఎప్పుడు?	When is your birthday?
సూర్యోదయం చూడటం బాగుంటుంది	Watching the sunrise is good
సూర్యోదయం ముందుగా జరిగింది	The sunrise happened early
సూర్యాస్తమయం చాలా అందంగా ఉంది	The sunset is very beautiful.
సూర్యాస్తమయం తర్వాత చీకటి అవుతుంది	It becomes dark after sunset.
తల్లి ప్రేమ గొప్పది	Mother's love is great
నా తల్లి ఇక్కడ ఉంది	My mother is here
తండ్రి ఇంటికి వచ్చారు	Father came home
నా తండ్రి మంచివారు	My father is a good person
తల్లిదండ్రులు దేవుతో సమానం	Parents are equal to God
తల్లిదండ్రులను గౌరవించు	Respect your parents
నాకు ఒక సోదరి ఉంది	I have a sister
సోదరి పాట పాడుతోంది	Sister is singing a song
అతడు నా సోదరుడు	He is my brother
నా సోదరుడు చదువుకుంటున్నాడు	My brother is studying
అమ్మమ్మ కథలు చెబుతుంది	Grandmother tells stories
అమ్మమ్మ వంట బాగుంటుంది	Grandmother's cooking is good
తాతయ్య పార్కులో ఉన్నారు	Grandfather is in the park
తాతయ్య నాకు పుస్తకం ఇచ్చారు	Grandfather gave me a book
తాతలు ఊరి నుండి వచ్చారు	Grandparents came from the village
మా తాతలు చాలా మంచివారు	Our grandparents are very good
కొడుకు స్కూల్‌కు వెళ్ళాడు	The son went to school
అతను మంచి కొడుకు	He is a good son
కూతురు బొమ్మలు వేస్తోంది	The daughter is drawing pictures
ఆమె నా కూతురు	She is my daughter
పిల్లలు ఆడుకుంటున్నారు	Children are playing
పిల్లలు పాఠశాలలో ఉన్నారు	Children are in school
ఆ బిడ్డ నిద్రపోతోంది	That child is sleeping
చిన్న బిడ్డ నవ్వింది	The little child smiled
శిశువు పాలు తాగుతోంది	The baby is drinking milk
శిశువు చాలా ముద్దుగా ఉంది	The baby is very cute
భార్య వంట చేస్తోంది	Wife is cooking
ఆమె నా భార్య	She is my wife
నా భర్త ఆఫీసులో ఉన్నారు	My husband is in the office
అతడు మంచి భర్త	He is a good husband
అత్త ఇంటికి వచ్చింది	Aunt came home
అత్త నాకు పండ్లు ఇచ్చింది	Aunt gave me fruits
నాకు ఒక బంధువు వచ్చారు	A relative of mine came
ఆ బంధువు ఎక్కడ ఉన్నారు?	Where is that relative?
మేనల్లుడు ఆటలాడుతున్నాడు	The nephew is playing a game
మేనల్లుడు ఇక్కడే ఉన్నాడు	The nephew is right here
మేనకోడలు పాట పాడుతోంది	The niece is singing a song
ఆమె నా మేనకోడలు	She is my niece
మనవడు చాలా చురుకైనవాడు	The grandson is very active
మనవడు పుస్తకం చదువుతున్నాడు	The grandson is reading a book
మనవరాలు బొమ్మలు వేస్తోంది	The granddaughter is drawing pictures
నా మనవరాలు చాలా తెలివైనది	My granddaughter is very clever
నాకు ఒక స్నేహితుడు ఉన్నాడు	I have a friend
స్నేహితుడు సహాయం చేశాడు	The friend helped
అతడు నా మంచి స్నేహితుడు	He is my best friend
మంచి స్నేహితుడు ఎప్పుడూ తోడుంటాడు	A best friend is always there
మా కుటుంబం చాలా పెద్దది	Our family is very big
కుటుంబం అంటే సంతోషం	Family means happiness
పొరుగు మనిషి వచ్చారు	The neighbour came
పొరుగు ఇంటిలో కుక్క ఉంది	There is a dog in the neighbour's house
బంధువు ఊరికి వచ్చారు	The relative came to the village
నాకు బంధువులెక్కువ	I have many relatives
క్లాస్ మేట్ తో మాట్లాడు	Talk to the classmate
ఆమె నా క్లాస్ మేట్	She is my classmate
సహోద్యోగి నాకు సహాయం చేశాడు	The colleague helped me
నా సహోద్యోగి మంచివారు	My colleague is a good person
భాగస్వామి ఒప్పందం చేసుకున్నారు	The partner made an agreement
వ్యాపార భాగస్వామి వచ్చారు	The business partner came
ప్రియుడు ఉత్తరం రాశాడు	The boyfriend wrote a letter
అతడు నా ప్రియుడు	He is my boyfriend
ప్రియురాలు పాట పాడుతోంది	The girlfriend is singing a song
ఆమె నా ప్రియురాలు	She is my girlfriend
తోబుట్టువులు కలిసి ఉండాలి	Siblings should stay together
నాకు ముగ్గురు తోబుట్టువులు	I have three siblings
పెద్దలు మాట వినాలి	Listen to the adults
పెద్దలు ఇక్కడ కూర్చున్నారు	Adults are sitting here
ఆ జంట అందంగా ఉంది	That twin pair is beautiful
ఆమెకు జంట సోదరుడు ఉన్నాడు	She has a twin brother
నీరు ఇక్కడ ఉంది	Water is here
నీరు తాగుము	Drink water
రొట్టె బాగుంది	The bread is good
నేను రొట్టె తిన్నాను	I ate bread
పాలు తెచ్చాను	I brought milk
పాలు వేడిగా ఉన్నాయి	The milk is hot
టీ కావాలా	Do you want tea?
టీ చాలా వేడిగా ఉంది	The tea is very hot
రసం తీపిగా ఉంది	The juice is sweet
పండ్ల రసం ఇవ్వు	Give fruit juice
చారు వేడిగా ఉంది	The soup is hot
నేను చారు తాగాను	I drank the soup
బియ్యం తెచ్చాను	I brought the rice
బియ్యం పైన ఉంది	The rice is on top
గుడ్డు ఆరోగ్యకరం	Egg is healthy
ఒక గుడ్డు ఇవ్వు	Give one egg
ఆపిల్ ఎర్రగా ఉంది	The apple is red
నాకు ఆపిల్ ఇష్టం	I like apple
అరటిపండు తీయగా ఉంది	The banana is sweet
అరటిపండు ఇక్కడ ఉంది	The banana is here
నారింజ పుల్లగా ఉంది	The orange is sour
నారింజ పండు తీసుకో	Take the orange fruit
ద్రాక్ష పండ్లు తీయగా ఉన్నాయి	The grapes are sweet
ద్రాక్ష ఇక్కడ ఉంది	The grape is here
స్ట్రాబెర్రీ ఎర్రగా ఉంది	The strawberry is red
నాకు స్ట్రాబెర్రీ ఇష్టం	I like strawberry
నిమ్మకాయ పుల్లగా ఉంటుంది	Lemon is sour
నిమ్మకాయ ఇక్కడ ఉంది	The lemon is here
కూరగాయల మార్కెట్ పెద్దది	The vegetable market is big
కూరగాయల బుట్ట ఉంది	There is a vegetable basket
బంగాళదుంప వేయించండి	Fry the potato
బంగాళదుంప ఇక్కడ ఉంది	The potato is here
టమోటా ఎర్రగా ఉంది	The tomato is red
టమోటా కోయండి	Cut the tomato
ఉల్లిపాయ ఘాటుగా ఉంది	The onion is pungent
ఉల్లిపాయ కోయండి	Cut the onion
వెల్లుల్లి ఆరోగ్యకరం	Garlic is healthy
వెల్లుల్లి ఇక్కడ ఉంది	The garlic is here
క్యారెట్ ఎర్రగా ఉంది	The carrot is red
క్యారెట్ తినండి	Eat the carrot
మాంసం వండింది	The meat is cooked
మాంసం బాగుంది	The meat is good
చేప వేయించండి	Fry the fish
చేప నీటిలో ఉంది	The fish is in the water
చికెన్ వండు	Cook chicken
చికెన్ బాగుంది	The chicken is good
ఉప్పు తక్కువగా ఉంది	The salt is less
ఉప్పు వేయండి	Add salt
చక్కెర తీయగా ఉంటుంది	Sugar is sweet
చక్కెర ఇక్కడ ఉంది	The sugar is here
నూనె వేడిగా ఉంది	The oil is hot
నూనె కొంచెం వేయండి	Add a little oil
వెన్న తెల్లగా ఉంది	The butter is white
వెన్న ఇక్కడ ఉంది	The butter is here
జున్ను రుచిగా ఉంది	The cheese is tasty
జున్ను ఇవ్వు	Give cheese
పెరుగు పుల్లగా ఉంది	The yogurt is sour
పెరుగు ఇక్కడ ఉంది	The yogurt is here
కేక్ బాగుంది	The cake is good
కేక్ కోయండి	Cut the cake
చాక్లెట్ తీయగా ఉంది	The chocolate is sweet
చాక్లెట్ ఇవ్వు	Give chocolate
అల్పాహారం సిద్ధంగా ఉంది	Breakfast is ready
అల్పాహారం తిన్నాను	I ate breakfast
మధ్యాహ్న భోజనం బాగుంది	Lunch is good
మధ్యాహ్న భోజనం తిన్నావా	Did you eat lunch?
విందు బాగుంది	The dinner is good
విందు సిద్ధంగా ఉంది	Dinner is ready
చిరుతిండి తినండి	Eat the snack
చిరుతిండి ఇక్కడ ఉంది	The snack is here
ప్లేట్ ఇక్కడ ఉంది	The plate is here
ప్లేట్ శుభ్రం చేయి	Clean the plate
కప్పు ఇక్కడ ఉంది	The cup is here
కప్పులో టీ ఉంది	There is tea in the cup
నీ ముఖం చాలా అందంగా ఉంది	Your face is very beautiful
ఆ ముఖం ఎక్కడ ఉంది?	Where is that face?
నాకు ఒక కన్ను నొప్పిగా ఉంది	One eye of mine is hurting
ఆ కన్ను ఎరుపుగా ఉంది	That eye is red
నాకు చెవి నొప్పిగా ఉంది	My ear is hurting
ఆ చెవి చిన్నదిగా ఉంది	That ear is small
నీ ముక్కు ఎక్కడ ఉంది?	Where is your nose?
ముక్కు ద్వారా గాలి పీల్చుకో	Breathe through the nose
నోరు తెరువు	Open the mouth
నీ నోరు మూసుకో	Close your mouth
ఆ పెదవి ఎర్రగా ఉంది	That lip is red
పెదవి మీద మచ్చ ఉంది	There is a mark on the lip
పంటి నొప్పిగా ఉంది	The tooth is hurting
ఆ పంటి రంగు తెల్లగా ఉంది	That tooth is white in color
నాలుక బయటకు తీయి	Stick the tongue out
నాలుక మీద రుచి ఉంది	There is taste on the tongue
గడ్డం చిన్నదిగా ఉంది	The chin is small
నీ గడ్డం ఎక్కడ ఉంది?	Where is your chin?
మెడ నొప్పిగా ఉంది	The neck is hurting
ఆ మెడ పొడవుగా ఉంది	That neck is long
నా భుజం నొప్పిగా ఉంది	My shoulder is hurting
ఆ భుజం బలంగా ఉంది	That shoulder is strong
నీ చేయి ఎక్కడ ఉంది?	Where is your arm?
చేయి పైకి లేపు	Lift the arm up
చేతి లోపల పెన్ను ఉంది	There is a pen in the hand
నా చేతి నొప్పిగా ఉంది	My hand is hurting
వేలు చిన్నదిగా ఉంది	The finger is small
ఆ వేలు ఎక్కడ ఉంది?	Where is that finger?
బొటనవేలు బలంగా ఉంది	The thumb is strong
నీ బొటనవేలు ఎక్కడ ఉంది?	Where is your thumb?
మణికట్టు నొప్పిగా ఉంది	The wrist is hurting
ఆ మణికట్టు చిన్నదిగా ఉంది	That wrist is small
మోచేయి ఎరుపుగా ఉంది	The elbow is red
నీ మోచేయి ఎక్కడ ఉంది?	Where is your elbow?
కాలు నొప్పిగా ఉంది	The leg is hurting
ఆ కాలు పొడవుగా ఉంది	That leg is long
మోకాలు నొప్పిగా ఉంది	The knee is hurting
నీ మోకాలు ఎక్కడ ఉంది?	Where is your knee?
అడుగు చాలా చిన్నదిగా ఉంది	The foot is very small
ఆ అడుగు ఎక్కడ ఉంది?	Where is that foot?
బొటనవేలు నొప్పిగా ఉంది	The toe is hurting
చీలమండ నొప్పిగా ఉంది	The ankle is hurting
ఆ చీలమండ చిన్నదిగా ఉంది	That ankle is small
ఛాతీ నొప్పిగా ఉంది	The chest is hurting
నా ఛాతీ బలంగా ఉంది	My chest is strong
కడుపు నొప్పిగా ఉంది	The stomach is hurting
నీ కడుపు ఎక్కడ ఉంది?	Where is your stomach?
జుట్టు నల్లగా ఉంది	The hair is black
జుట్టు చాలా పొడవుగా ఉంది	The hair is very long
చర్మం మెత్తగా ఉంది	The skin is soft
నీ చర్మం తెల్లగా ఉంది	Your skin is white
ఎముక విరిగింది	The bone is broken
ఆ ఎముక చిన్నదిగా ఉంది	That bone is small
రక్తం ఎరుపుగా ఉంది	Blood is red
రక్తం ఎక్కడ ఉంది?	Where is the blood?
మెదడు చాలా శక్తివంతంగా ఉంది	The brain is very powerful
నీ మెదడు ఎక్కడ ఉంది?	Where is your brain?
ఊపిరితిత్తుల నొప్పిగా ఉంది	The lung is hurting
ఆ ఊపిరితిత్తుల పెద్దవిగా ఉన్నాయి	Those lungs are large
తుంటి నొప్పిగా ఉంది	The hip is hurting
నీ తుంటి ఎక్కడ ఉంది?	Where is your hip?
గడ్డం పెద్దగా ఉంది	The beard is large
ఆ గడ్డం నల్లగా ఉంది	That beard is black
మీసాలు పొడవుగా ఉన్నాయి	The moustache is long
నీ మీసాలు ఎక్కడ ఉన్నాయి?	Where is your moustache?
చెంప ఎరుపుగా ఉంది	The cheek is red
ఆ చెంప మెత్తగా ఉంది	That cheek is soft
నుదురు పెద్దగా ఉంది	The forehead is large
నీ నుదురు ఎక్కడ ఉంది?	Where is your forehead?
మా ఇల్లు పెద్దది	Our house is big
ఈ ఇల్లు చాలా అందంగా ఉంది	This home is very beautiful
పడకగదిలో మంచం ఉంది	There is a bed in the bedroom
పడకగది శుభ్రంగా ఉంది	The bedroom is clean
వంటగది ఎక్కడ ఉంది?	Where is the kitchen?
వంటగదిలో టీ ఉంది	There is tea in the kitchen
బాత్రూమ్ లో నీళ్లు లేవు	There is no water in the bathroom
బాత్రూమ్ లో సబ్బు ఉంది	There is soap in the bathroom
కిటికీ తెరవండి	Open the window
కిటికీ మూసి ఉంది	The window is closed
గోడ తెల్లగా ఉంది	The wall is white
గోడ మీద చిత్రం ఉంది	There is a picture on the wall
ఈ అంతస్తు చల్లగా ఉంది	This floor is cold
అంతస్తు శుభ్రంగా ఉంది	The floor is clean
పైకప్పు ఎత్తుగా ఉంది	The ceiling is high
పైకప్పు తెల్లగా ఉంది	The ceiling is white
పైకప్పు పాతది	The roof is old
పైకప్పు మీద పిల్లి ఉంది	There is a cat on the roof
మెట్లు ఎక్కకండి	Do not climb the stairs
మెట్లు చాలా ఎత్తుగా ఉన్నాయి	The stairs are very high
బాల్కనీలో మొక్కలు ఉన్నాయి	There are plants on the balcony
బాల్కనీ నుండి గాలి వస్తోంది	Wind is coming from the balcony
తోటలో పూలు ఉన్నాయి	There are flowers in the garden
తోట చాలా పెద్దది	The garden is very big
యార్డ్ లో కుక్క ఉంది	There is a dog in the yard
యార్డ్ లో చెట్టు ఉంది	There is a tree in the yard
మంచం పైన పుస్తకం ఉంది	There is a book on the bed
మంచం చాలా మెత్తగా ఉంది	The bed is very soft
దిండు ఎక్కడ ఉంది?	Where is the pillow?
దిండు తెల్లగా ఉంది	The pillow is white
దుప్పటి తీసుకోండి	Take the blanket
దుప్పటి మెత్తగా ఉంది	The blanket is soft
పట్టిక మీద పెన్ను ఉంది	There is a pen on the table
పట్టిక చిన్నది	The table is small
కుర్చీలో కూర్చోండి	Sit in the chair
కుర్చీ ఎక్కడ ఉంది?	Where is the chair?
సోఫా ఎరుపు రంగులో ఉంది	The sofa is red
సోఫా మీద కూర్చోండి	Sit on the sofa
షెల్ఫ్ లో పుస్తకాలు ఉన్నాయి	There are books on the shelf
షెల్ఫ్ ని శుభ్రం చేయండి	Clean the shelf
అల్మారాలో బట్టలు ఉన్నాయి	There are clothes in the cupboard
అల్మారా మూసి ఉంచండి	Keep the cupboard closed
వార్డ్రోబ్ చాలా పెద్దది	The wardrobe is very big
వార్డ్రోబ్ లో బట్టలు ఉన్నాయి	There are clothes in the wardrobe
దీపం వెలుగుతోంది	The lamp is glowing
దీపం ఎక్కడ ఉంది?	Where is the lamp?
కాంతి చాలా తక్కువగా ఉంది	The light is very low
కాంతి తెల్లగా ఉంది	The light is white
గడియారం గోడ మీద ఉంది	The clock is on the wall
గడియారం పది కొట్టింది	The clock struck ten
అద్దం పగిలిపోయింది	The mirror is broken
అద్దం లో చూసుకోండి	Look in the mirror
కార్పెట్ ఎరుపు రంగులో ఉంది	The carpet is red
కార్పెట్ శుభ్రంగా ఉంది	The carpet is clean
తెర తెరవండి	Open the curtain
తెర నీలం రంగులో ఉంది	The curtain is blue
టవల్ ఎక్కడ ఉంది?	Where is the towel?
టవల్ తెల్లగా ఉంది	The towel is white
సబ్బు ఎక్కడ ఉంది?	Where is the soap?
సబ్బు వాడండి	Use the soap
కీ ఎక్కడ ఉంది?	Where is the key?
కీ పోయింది	The key is lost
ఫ్రిజ్ లో పాలు ఉన్నాయి	There is milk in the fridge
ఫ్రిజ్ తెరిచాను	I opened the fridge
పొయ్యి వేడిగా ఉంది	The oven is hot
పొయ్యి లో కేకు ఉంది	There is a cake in the oven
పొయ్యి మీద అన్నం ఉంది	There is rice on the stove
పొయ్యి ఆపండి	Turn off the stove
