ہیلو، آپ کیسے ہیں؟	Hello, how are you?
بدھ کو چھٹی ہے۔	Wednesday is a holiday.
ہم بدھ کو ملیں گے۔	We will meet on Wednesday.
جمعرات کو بارش ہوئی۔	It rained on Thursday.
جمعرات کا دن اچھا تھا۔	Thursday was a good day.
جمعہ کی نماز اہم ہے۔	Friday prayer is important.
کل جمعہ ہے۔	Tomorrow is Friday.
طلوع آفتاب بہت پیارا ہے۔	Sunrise is very lovely.
ہم نے طلوع آفتاب دیکھا۔	We saw the sunrise.
غروب آفتاب کا وقت ہوا۔	It is time for sunset.
غروب آفتاب کے بعد اندھیرا ہوا۔	It became dark after sunset.
میرے باپ بہت مہربان ہیں۔	My father is very kind.
وہ ایک اچھے باپ ہیں۔	He is a good father.
میرے والدین گھر پر ہیں۔	My parents are at home.
والدین کی عزت کرو۔	Respect your parents.
میری دادی کہانی سناتی ہیں۔	My grandmother tells stories.
دادی کھانا پکا رہی ہیں۔	Grandmother is cooking food.
میرے دادا دادی بوڑھے ہیں۔	My grandparents are old.
دادا دادی سیر کو گئے۔	Grandparents went for a walk.
میرا شوہر ڈاکٹر ہے۔	My husband is a doctor.
شوہر دفتر گیا ہے۔	The husband has gone to the office.
چچا بازار گئے ہیں۔	Uncle has gone to the market.
میرے چچا بہت سخت ہیں۔	My uncle is very strict.
خالہ گھر آئی ہیں۔	Aunt has come home.
میری خالہ اچھی ہیں۔	My aunt is good.
میرا کزن یہاں ہے۔	My cousin is here.
کزن اسکول جاتا ہے۔	The cousin goes to school.
میرا بھتیجا چھوٹا ہے۔	My nephew is small.
بھتیجا کھیل رہا ہے۔	The nephew is playing.
میری بھانجی پیاری ہے۔	My niece is lovely.
بھانجی سو رہی ہے۔	The niece is sleeping.
میرا پوتا بہت شرارتی ہے۔	My grandson is very naughty.
پوتا اسکول گیا ہے۔	The grandson has gone to school.
میری پوتی چھوٹی ہے۔	My granddaughter is small.
پوتی کتاب پڑھتی ہے۔	The granddaughter reads a book.
آپ میرے بہترین دوست ہیں۔	You are my best friend.
بہترین دوست سچا ہوتا ہے۔	A best friend is true.
میرا پڑوسی اچھا آدمی ہے۔	My neighbour is a good man.
پڑوسی نے مدد کی۔	The neighbour helped.
وہ میرا رشتہ دار ہے۔	He is my relative.
رشتہ دار کل آئیں گے۔	Relatives will come tomorrow.
میرا ہم جماعت ذہین ہے۔	My classmate is intelligent.
ہم جماعت ساتھ بیٹھے ہیں۔	Classmates are sitting together.
میرا ساتھی محنتی ہے۔	My colleague is hardworking.
ساتھی دفتر میں ہے۔	The colleague is in the office.
میرا ساتھی اچھا ہے۔	My partner is good.
ساتھی نے کام کیا۔	The partner worked.
میرا بوائے فرینڈ یہاں ہے۔	My boyfriend is here.
بوائے فرینڈ کھانا لایا۔	The boyfriend brought food.
میری گرل فرینڈ ڈاکٹر ہے۔	My girlfriend is a doctor.
گرل فرینڈ اسکول گئی ہے۔	The girlfriend has gone to school.
میرے بہن بھائی بہت ہیں۔	I have many siblings.
بہن بھائی لڑتے ہیں۔	Siblings fight.
وہ اب بالغ ہے۔	He is now an adult.
بالغ لوگ ذمہ دار ہوتے ہیں۔	Adult people are responsible.
وہ جڑواں بچے ہیں۔	They are twin children.
میرے جڑواں بھائی ہیں۔	I have twin brothers.
انڈا یہاں ہے	The egg is here
ایک انڈا دیں	Give one egg
نارنجی رنگ خوبصورت ہے	The orange color is beautiful
یہ نارنجی لباس ہے	This is an orange dress
انگور میٹھے ہیں	The grapes are sweet
مجھے انگور پسند ہیں	I like grapes
اسٹرابیری لال ہے	The strawberry is red
یہ ایک اسٹرابیری ہے	This is a strawberry
لیموں کھٹا ہے	The lemon is sour
لیموں پانی لاؤ	Bring lemon water
آلو سستے ہیں	Potatoes are cheap
آلو ابال لیں	Boil the potatoes
ٹماٹر تازہ ہیں	The tomatoes are fresh
ٹماٹر کاٹیں	Cut the tomato
پیاز کڑوا ہے	The onion is bitter
پیاز کہاں ہے؟	Where is the onion?
لہسن ڈالیں	Add garlic
لہسن اچھا ہے	Garlic is good
گاجر کھاؤ	Eat the carrot
گاجر لال ہے	The carrot is red
چکن پکائیں	Cook the chicken
چکن تیار ہے	The chicken is ready
نمک کم ہے	The salt is less
نمک ڈالیں	Add salt
چینی میٹھی ہے	Sugar is sweet
چینی ختم ہو گئی	The sugar finished
تیل گرم ہے	The oil is hot
تھوڑا تیل ڈالیں	Add a little oil
مکھن نرم ہے	The butter is soft
مکھن یہاں ہے	The butter is here
پنیر تازہ ہے	The cheese is fresh
مجھے پنیر پسند ہے	I like cheese
دہی کھائیں	Eat yogurt
دہی ٹھنڈا ہے	The yogurt is cold
ناشتہ تیار ہے	Breakfast is ready
ناشتہ کریں	Have breakfast
دوپہر کا کھانا کھائیں	Eat lunch
دوپہر کا کھانا کیا ہے؟	What is the lunch?
یہ ایک ہلکا ناشتہ ہے	This is a light snack
ناشتہ لائیں	Bring the snack
اس کا چہرہ صاف ہے۔	His face is clean.
میرا چہرہ گرم ہے۔	My face is hot.
میری ناک چھوٹی ہے۔	My nose is small.
اس کی ناک سرخ ہے۔	His nose is red.
میرا ہونٹ خشک ہے۔	My lip is dry.
اس کا ہونٹ بڑا ہے۔	His lip is big.
میری ٹھوڑی چھوٹی ہے۔	My chin is small.
اس کی ٹھوڑی لمبی ہے۔	His chin is long.
میری گردن لمبی ہے۔	My neck is long.
اس کی گردن پتلی ہے۔	His neck is thin.
میرے کندھے تھکے ہوئے ہیں۔	My shoulders are tired.
اس کے کندھے چوڑے ہیں۔	His shoulders are wide.
میرا بازو لمبا ہے۔	My arm is long.
اس کا بازو مضبوط ہے۔	His arm is strong.
میری انگلی میں درد ہے۔	There is pain in my finger.
اس کی انگلی چھوٹی ہے۔	His finger is small.
میرا انگوٹھا بڑا ہے۔	My thumb is big.
اس کا انگوٹھا کٹا ہوا ہے۔	His thumb is cut.
میری کلائی پتلی ہے۔	My wrist is thin.
اس کی کلائی مضبوط ہے۔	His wrist is strong.
میری کہنی میں درد ہے۔	There is pain in my elbow.
اس کی کہنی بڑی ہے۔	His elbow is big.
میری ٹانگ لمبی ہے۔	My leg is long.
اس کی ٹانگ مضبوط ہے۔	His leg is strong.
میرے گھٹنے میں درد ہے۔	There is pain in my knee.
اس کے گھٹنے کالے ہیں۔	His knees are black.
میرا پاؤں چھوٹا ہے۔	My foot is small.
اس کا پاؤں بڑا ہے۔	His foot is big.
میرے ٹخنوں میں درد ہے۔	There is pain in my ankles.
اس کے ٹخنوں میں سوجن ہے۔	There is swelling in his ankles.
میرا سینہ چوڑا ہے۔	My chest is wide.
اس کا سینہ مضبوط ہے۔	His chest is strong.
میرا معدہ خراب ہے۔	My stomach is upset.
اس کا معدہ بڑا ہے۔	His stomach is big.
یہ ایک مضبوط ہڈی ہے۔	This is a strong bone.
میری ہڈی ٹوٹ گئی ہے۔	My bone is broken.
میرا خون سرخ ہے۔	My blood is red.
اس کا خون گرم ہے۔	His blood is hot.
میرے پھیپھڑے صاف ہیں۔	My lungs are clean.
اس کے پھیپھڑے کمزور ہیں۔	His lungs are weak.
میرا کولہے میں درد ہے۔	There is pain in my hip.
اس کے کولہے چوڑے ہیں۔	His hips are wide.
اس کی داڑھی لمبی ہے۔	His beard is long.
میری داڑھی کالی ہے۔	My beard is black.
اس کی مونچھیں بڑی ہیں۔	His moustache is big.
میری مونچھیں چھوٹی ہیں۔	My moustache is small.
میری پیشانی چوڑی ہے۔	My forehead is wide.
اس کی پیشانی پر پسینہ ہے۔	There is sweat on his forehead.
رہنے کا کمرہ بڑا ہے۔	The living room is big.
رہنے کا کمرہ صاف ہے۔	The living room is clean.
بیڈروم میں بیڈ ہے۔	There is a bed in the bedroom.
میرا بیڈروم چھوٹا ہے۔	My bedroom is small.
باتھ روم کہاں ہے؟	Where is the bathroom?
باتھ روم صاف کرو۔	Clean the bathroom.
دیوار سفید ہے۔	The wall is white.
دیوار پر تصویر ہے۔	There is a picture on the wall.
فرش ٹھنڈا ہے۔	The floor is cold.
فرش پر پانی ہے۔	There is water on the floor.
بالکونی بہت خوبصورت ہے۔	The balcony is very beautiful.
بالکونی میں پودے ہیں۔	There are plants on the balcony.
صحن میں درخت ہے۔	There is a tree in the yard.
صحن بہت بڑا ہے۔	The yard is very big.
تکیہ نرم ہے۔	The pillow is soft.
یہ میرا تکیہ ہے۔	This is my pillow.
کمبل گرم ہے۔	The blanket is warm.
نیا کمبل لاؤ۔	Bring a new blanket.
صوفہ آرام دہ ہے۔	The sofa is comfortable.
صوفہ نیلا ہے۔	The sofa is blue.
شیلف پر کتابیں ہیں۔	There are books on the shelf.
شیلف خالی ہے۔	The shelf is empty.
چراغ جل رہا ہے۔	The lamp is lit.
میز پر چراغ ہے۔	There is a lamp on the table.
آئینہ بڑا ہے۔	The mirror is big.
آئینہ صاف کرو۔	Clean the mirror.
قالین سرخ ہے۔	The carpet is red.
قالین پر بیٹھو۔	Sit on the carpet.
پردہ بند کرو۔	Close the curtain.
پردہ سفید ہے۔	The curtain is white.
تولیہ کہاں ہے؟	Where is the towel?
تولیہ صاف ہے۔	The towel is clean.
صابن اچھا ہے۔	The soap is good.
صابن سے ہاتھ دھوؤ۔	Wash hands with soap.
کلید میز پر ہے۔	The key is on the table.
میری کلید گم ہوگئی۔	My key got lost.
تندور گرم ہے۔	The oven is hot.
تندور میں روٹی ہے۔	There is bread in the oven.
چولہا بند کرو۔	Turn off the stove.
چولہا نیا ہے۔	The stove is new.
یہ ایک خوبصورت پرندہ ہے۔	This is a beautiful bird.
پرندہ اڑ رہا ہے۔	The bird is flying.
گھوڑا تیز دوڑتا ہے۔	The horse runs fast.
میرا گھوڑا سفید ہے۔	My horse is white.
گائے دودھ دیتی ہے۔	The cow gives milk.
یہ ایک بڑی گائے ہے۔	This is a big cow.
بھینس کالی ہے۔	The buffalo is black.
بھینس گھاس کھاتی ہے۔	The buffalo eats grass.
بکری چھوٹی ہے۔	The goat is small.
بکری پہاڑ پر ہے۔	The goat is on the mountain.
چوہا بہت چھوٹا ہے۔	The rat is very small.
چوہا پنیر کھاتا ہے۔	The rat eats cheese.
میرا چوہا تیز ہے۔	My mouse is fast.
چوہا چھپ گیا ہے۔	The mouse has hidden.
بطخ پانی میں ہے۔	The duck is in the water.
بطخ سفید ہے۔	The duck is white.
چکن سستا ہے۔	The chicken is cheap.
مجھے چکن پسند ہے۔	I like chicken.
ترکی ایک بڑا پرندہ ہے۔	The turkey is a big bird.
یہ ترکی کا گوشت ہے۔	This is turkey meat.
شیر جنگل کا بادشاہ ہے۔	The lion is the king of the jungle.
شیر بہت طاقتور ہے۔	The lion is very powerful.
شیر دھاڑتا ہے۔	The tiger roars.
یہ ایک خطرناک شیر ہے۔	This is a dangerous tiger.
ریچھ شہد کھاتا ہے۔	The bear eats honey.
ریچھ بہت بڑا ہے۔	The bear is very big.
بھیڑیا رات کو آتا ہے۔	The wolf comes at night.
بھیڑیا ایک جنگلی جانور ہے۔	The wolf is a wild animal.
لومڑی بہت چالاک ہے۔	The fox is very clever.
لومڑی کہاں ہے؟	Where is the fox?
ہرن تیز بھاگتا ہے۔	The deer runs fast.
ہرن خوبصورت جانور ہے۔	The deer is a beautiful animal.
بندر درخت پر ہے۔	The monkey is on the tree.
بندر کیلا کھاتا ہے۔	The monkey eats a banana.
زرافہ بہت لمبا ہے۔	The giraffe is very tall.
زرافہ گھاس کھاتا ہے۔	The giraffe eats grass.
زیبرا دھاری دار ہے۔	The zebra is striped.
زیبرا افریقہ میں رہتا ہے۔	The zebra lives in Africa.
اونٹ ریگستان کا جہاز ہے۔	The camel is the ship of the desert.
اونٹ پانی پیتا ہے۔	The camel drinks water.
کنگارو اچھلتا ہے۔	The kangaroo jumps.
کنگارو ایک عجیب جانور ہے۔	The kangaroo is a strange animal.
پانڈا سست ہے۔	The panda is lazy.
پانڈا بانس کھاتا ہے۔	The panda eats bamboo.
مینڈک ہرا ہے۔	The frog is green.
مینڈک پانی میں رہتا ہے۔	The frog lives in the water.
کچھوا آہستہ چلتا ہے۔	The turtle walks slowly.
کچھوا سخت ہے۔	The turtle is hard.
مکڑی جال بناتی ہے۔	The spider makes a web.
مکڑی دیوار پر ہے۔	The spider is on the wall.
چیونٹی چھوٹی ہے۔	The ant is small.
چیونٹی محنتی ہے۔	The ant is hardworking.
شہد کی مکھی اڑتی ہے۔	The bee flies.
شہد کی مکھی شہد بناتی ہے۔	The bee makes honey.
تتلی رنگین ہے۔	The butterfly is colorful.
تتلی باغ میں ہے۔	The butterfly is in the garden.
عقاب اونچا اڑتا ہے۔	The eagle flies high.
عقاب ایک طاقتور پرندہ ہے۔	The eagle is a powerful bird.
اللو رات کو جاگتا ہے۔	The owl stays awake at night.
اللو ایک پرندہ ہے۔	The owl is a bird.
یہ میرا کلاس روم ہے۔	This is my classroom.
کلاس روم صاف ہے۔	The classroom is clean.
سبق آسان ہے۔	The lesson is easy.
نیا سبق پڑھیں۔	Read the new lesson.
میری نوٹ بک یہاں ہے۔	My notebook is here.
نوٹ بک کھولو۔	Open the notebook.
پنسل کہاں ہے؟	Where is the pencil?
یہ ایک کالی پنسل ہے۔	This is a black pencil.
صاف کرنے والا میز پر ہے۔	The eraser is on the table.
صاف کرنے والا لاؤ۔	Bring the eraser.
حکمران چھوٹا ہے۔	The ruler is small.
میرا حکمران گم ہو گیا۔	My ruler is lost.
کاغذ سفید ہے۔	The paper is white.
کاغذ پر لکھو۔	Write on the paper.
ڈیسک پر کتاب ہے۔	The book is on the desk.
میرا ڈیسک بڑا ہے۔	My desk is big.
بلیک بورڈ کالا ہے۔	The blackboard is black.
بلیک بورڈ صاف کرو۔	Clean the blackboard.
ٹیسٹ مشکل ہے۔	The test is difficult.
آج ٹیسٹ ہے۔	Today is the test.
لائبریری بڑی ہے۔	The library is big.
لائبریری میں جاؤ۔	Go to the library.
موضوع دلچسپ ہے۔	The subject is interesting.
میرا پسندیدہ موضوع کیا ہے؟	What is my favorite subject?
باس دفتر میں ہیں۔	The boss is in the office.
میرا باس اچھا ہے۔	My boss is good.
نرس یہاں ہے۔	The nurse is here.
وہ ایک اچھی نرس ہے۔	She is a good nurse.
انجینئر کام کر رہا ہے۔	The engineer is working.
میرا بھائی انجینئر ہے۔	My brother is an engineer.
ڈرائیور کہاں ہے؟	Where is the driver?
ڈرائیور گاڑی چلاتا ہے۔	The driver drives the car.
کون پکانا چاہتا ہے؟	Who wants to cook?
وہ کھانا پکانا جانتا ہے۔	He knows how to cook.
پولیس افسر آیا ہے۔	The police officer has come.
وہ ایک بہادر پولیس افسر ہے۔	He is a brave police officer.
کارکن محنتی ہے۔	The worker is hardworking.
یہ ایک نیا کارکن ہے۔	This is a new worker.
سیب کھاؤ	Eat the apple
روٹی کھاؤ	Eat the bread
پانی پینا ضروری ہے	Drinking water is necessary
دودھ پینا اچھا ہے	Drinking milk is good
میری بات سنو	Listen to my word
شور سنو	Hear the noise
کھانا بنانا سیکھو	Learn to make food
چائے بنانا آسان ہے	Making tea is easy
انعام حاصل کریں	Get the prize
علم حاصل کریں	Get knowledge
گاڑی چلائیں	Run the car
پنکھا چلائیں	Run the fan
یہاں بیٹھنا منع ہے	Sitting here is forbidden
آرام سے بیٹھنا	To sit with ease
وہاں کھڑے ہو جاؤ	Stand over there
سیدھے کھڑے ہو جاؤ	Stand up straight
کتاب پڑھیں	Read the book
سبق پڑھیں	Read the lesson
خط لکھنا شروع کرو	Start writing the letter
نام لکھنا سیکھو	Learn to write the name
دھیان سے سنو	Listen carefully
کہانی سنو	Listen to the story
کرکٹ کھیلیں	Play cricket
باہر کھیلیں	Play outside
پھل خریدیں	Buy fruits
کتاب خریدیں	Buy the book
گھر فروخت کرنا ہے	The house is to be sold
گاڑی فروخت کریں	Sell the car
سالن پکانا ہے	Cook the curry
کھانا پکانا سیکھو	Learn to cook food
ہاتھ دھونا ضروری ہے	Washing hands is necessary
کپڑے دھونا ہے	Wash the clothes
اب سونا ہے	Now it is time to sleep
جلدی سونا اچھا ہے	Sleeping early is good
اب اٹھو	Wake up now
جلدی اٹھو	Wake up early
روز مطالعہ کریں	Study daily
سخت مطالعہ کرو	Study hard
اردو سیکھیں	Learn Urdu
زبان سیکھیں	Learn the language
مجھے سکھانا	Teach me
اردو سکھانا آسان ہے	Teaching Urdu is easy
کمرے سے اٹھو	Get up from the room
جلدی کپڑے پہنے	Get dressed quickly
کپڑے پہنے اور آؤ	Get dressed and come
ہاتھ دھونا	Wash hands
کپڑے دھونا	Wash clothes
برش کرو	Do brush
برش کہاں ہے؟	Where is the brush?
شاور لو	Take a shower
شاور اچھا تھا	The shower was good
ناشتہ کرو	Eat breakfast
دوپہر کا کھانا کھاؤ	Eat lunch
دوپہر کا کھانا کہاں ہے؟	Where is the lunch?
اسے توڑنا	Break it
گلاس کو توڑنا	Break the glass
تھوڑا آرام کرو	Relax a little
اب آرام کرو	Relax now
اب سونا	Sleep now
جلدی سونا	Sleep early
بستر پر جاؤ	Go to bed
اب بستر پر جاؤ	Now go to bed
یہ مفت ہے	This is free
کچھ بھی مفت نہیں	Nothing is free
یہ ہفتے کا دن ہے	This is a weekday
ہفتے کا دن مشکل ہے	The weekday is difficult
ہفتے کے آخر میں ملیں	Meet on the weekend
ہفتے کے آخر میں آرام کرو	Relax on the weekend
یہ معمول ہے	This is usual
سب معمول کے مطابق ہے	Everything is as usual
کھانا تیار کریں	Prepare the food
سب تیار کریں	Prepare everything
آج بہت دھوپ ہے۔	It is very sunny today.
دھوپ میں مت جاؤ۔	Do not go in the sun.
آسمان ابر آلود ہے۔	The sky is cloudy.
آج موسم ابر آلود ہے۔	Today the weather is cloudy.
یہ ایک برفانی پہاڑ ہے۔	This is a snowy mountain.
برفانی راستہ بہت مشکل ہے۔	The snowy path is very difficult.
آج بہت دھند ہے۔	It is very foggy today.
دھند کی وجہ سے راستہ نہیں دکھتا۔	The path is not visible because of the fog.
طوفان بہت تیز ہے۔	The storm is very strong.
سمندر میں طوفان آگیا۔	A storm came in the sea.
آسمان پر گرج سنائی دی۔	Thunder was heard in the sky.
گرج کے بعد بارش ہوئی۔	It rained after the thunder.
آسمان پر اندردخش ہے۔	There is a rainbow in the sky.
اندردخش بہت خوبصورت ہے۔	The rainbow is very beautiful.
ایک ستارہ چمک رہا ہے۔	A star is shining.
آسمان پر ایک ستارہ ہے۔	There is a star in the sky.
درجہ حرارت بہت کم ہے۔	The temperature is very low.
آج درجہ حرارت زیادہ ہے۔	The temperature is high today.
موسم کی پیشن گوئی کیا ہے؟	What is the weather forecast?
پیشن گوئی درست نکلی۔	The forecast turned out to be correct.
موسم بہار آگیا۔	Spring has arrived.
موسم گرما بہت گرم ہے۔	Summer is very hot.
خزاں کا موسم اداس ہے۔	The autumn season is sad.
خزاں میں پتے گرتے ہیں۔	Leaves fall in autumn.
موسم سرما بہت ٹھنڈا ہے۔	Winter is very cold.
موسم سرما میں برف گرتی ہے۔	It snows in winter.
یہ جگہ بہت خشک ہے۔	This place is very dry.
خشک ہوا چل رہی ہے۔	Dry wind is blowing.
میرے ہاتھ گیلے ہیں۔	My hands are wet.
گیلے کپڑے مت پہنو۔	Do not wear wet clothes.
یہاں ہوا بہت مرطوب ہے۔	The air is very humid here.
مرطوب موسم میں گرمی زیادہ ہوتی ہے۔	In humid weather, it feels hotter.
پانی منجمد ہو گیا۔	The water froze.
یہ جگہ منجمد ہو چکی ہے۔	This place has become freezing.
آپ یہ کتاب خریدیں	You buy this book
گھر کی فروخت	Sale of the house
میرا پیسہ کہاں ہے؟	Where is my money?
پیسہ میز پر ہے	Money is on the table
نقد رقم دیں	Give cash money
یہ نقد ادائیگی ہے	This is a cash payment
میرا کارڈ نہیں ہے	I do not have my card
کارڈ یہاں استعمال کریں	Use the card here
اسٹور کھلا ہے	The store is open
بڑا اسٹور دیکھیں	Look at the big store
سپر مارکیٹ بند ہے	The supermarket is closed
سپر مارکیٹ میں جائیں	Go to the supermarket
یہ درمیانہ سائز ہے	This is a medium size
درمیانہ راستہ لیں	Take the medium path
ادائیگی کریں	Make the payment
ادائیگی مشکل ہے	Payment is difficult
اس کی لاگت کیا ہے؟	What is its cost?
لاگت بہت زیادہ ہے	The cost is very high
پیسے محفوظ کریں	Save money
فائل محفوظ کریں	Save the file
فروخت جاری ہے	Sale is continuing
فروخت ختم ہوگئی	The sale ended
رعایت کتنی ہے؟	How much is the discount?
رعایت حاصل کریں	Get a discount
رسید دکھائیں	Show the receipt
رسید کہاں ہے؟	Where is the receipt?
تبدیلی ضروری ہے	Change is necessary
تھوڑا تبدیلی دیں	Give a little change
گاہک انتظار کر رہا ہے	The customer is waiting
ایک نیا گاہک آیا	A new customer came
اسسٹنٹ کو بلائیں	Call the assistant
اسسٹنٹ یہاں ہے	The assistant is here
ٹوکری بھر گئی	The basket is full
ٹوکری میں سیب ہیں	There are apples in the basket
ٹرالی یہاں رکھیں	Keep the trolley here
ٹرالی خالی ہے	The trolley is empty
کپڑے صاف ہیں	The clothes are clean
نئے کپڑے لائیں	Bring new clothes
جوتا کالا ہے	The shoe is black
یہ جوتا چھوٹا ہے	This shoe is small
رنگ منتخب کریں	Choose the color
ایک نام منتخب کریں	Choose a name
