#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
(1) to govern; to manage; (2) to subdue	(1) حکومت کرنا؛ انتظام کرنے کے لئے (2) زیر کرنا
(1) to grow; to spring up; (2) to cut (teeth)	(1) بڑھنا؛ ابھرنا؛ (2) کاٹنا (دانت)
(1) to invite; to ask; (2) to tempt; to lure; to induce	(1) دعوت دینا؛ پوچھنا؛ (2) آزمائش میں ڈالنا؛ لالچ دینا دلانا
(1) to open; to become empty; (2) to be less crowded	(1) کھولنا؛ خالی ہو جانا؛ (2) بھیڑ کم ہونا
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(1) کھینچنا؛ کھینچنا بڑھانا؛ گھسیٹنا (2) گیند کو کھینچنا (بیس بال)
(1) to retreat; to recede; to withdraw	(1) پیچھے ہٹنا؛ پیچھے ہٹنا واپس لینے کے لئے
(1) to see off; to farewell; (2) to escort; (3) to let pass	(1) دور دیکھنا؛ الوداع کرنا؛ (2) لے جانا؛ (3) گزرنے دینا
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) پیش کرنا (کھانا وغیرہ)؛ (2) بھرنا؛ (3) تجویز کرنا
(1) to serve; to fill a post; to serve under; to work (for)	(1) خدمت کرنا؛ ایک پوسٹ کو بھرنے کے لئے؛ کے تحت خدمت کرنے کے لئے؛ کام کرنا (کے لیے)
(1) to thrust; to strike; (2) to poke	(1) زور لگانا؛ ہڑتال کرنا (2) چھیڑنا
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(1) لہرانا؛ ہلانا جھولنا؛ (2) چھڑکنا؛ (3) کاسٹ کرنا (اداکار)؛ مختص کرنا (کام)
(1) token; label; (2) ticket; (3) charm	(1) ٹوکن؛ لیبل (2) ٹکٹ؛ (3) دلکش
(1) town; (2) street; road	(1) شہر؛ (2) گلی سڑک
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) ٹریس؛ ٹریکس نشان نشان (2) باقی ہے؛ کھنڈرات (3) داغ
(1) used; second-hand; old	(1) استعمال کیا جاتا ہے؛ دوسرا ہاتھ؛ پرانا
(1) water level; (2) level; standard	(1) پانی کی سطح؛ (2) سطح؛ معیاری
(1) weight; (2) heavyweight boxer	(1) وزن؛ (2) ہیوی ویٹ باکسر
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(1) مکمل طور پر؛ مکمل طور پر مکمل طور پر؛ (2) بالکل نہیں (نافع کے ساتھ۔ فعل)
(I am) the tallest in the family.	(میں ہوں) خاندان میں سب سے لمبا ہوں۔
(I) drink coffee every morning.	(I) ہر صبح کافی پینا۔
(I) eat at a restaurant.	(I) ایک ریستوراں میں کھانا۔
(I) eat bread.	(میں) روٹی کھاؤ۔
(I) go to Japan.	(I) جاپان جائیں۔
(I) watch a movie with a friend.	(I) ایک دوست کے ساتھ فلم دیکھیں۔
(It) is not Mike.	(یہ) مائیک نہیں ہے۔
(a person) is in ...; stays at ...	(ایک شخص) میں ہے ...؛ پر رہتا ہے...
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(a) خوشی؛ (a) خوشی؛ بے خودی خوشی تسکین خوشی مبارک ہو مبارکبادیں
(abbr) Friday	(abbr) جمعہ
(abbr) Tuesday	(abbr) منگل
(abbr) alarm-clock	(abbr) الارم گھڑی
(at) any time; always; at all times; never (neg); whenever	(پر) کسی بھی وقت؛ ہمیشہ؛ ہر وقت؛ کبھی نہیں (neg)؛ جب بھی
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(ateji) (adv int) (uk) صرف ایک منٹ؛ ایک مختصر وقت؛ تھوڑی دیر تھوڑا سا؛ کسی حد تک آسانی سے؛ آسانی سے رتھ
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (uk) مبارک ہو! ایک مبارک موقع!
(audio) recording	(آڈیو) ریکارڈنگ
(bank) savings	(بینک) بچت
(by) chance; unexpectedly; suddenly	(بذریعہ) موقع؛ غیر متوقع طور پر؛ اچانک
(car) wheel	(کار) پہیہ
(col) round trip; coming and going; return ticket	(col) راؤنڈ ٹرپ؛ آنا اور جانا؛ واپسی ٹکٹ
(col) urine; piss	(col) پیشاب پیشاب
(consumer) prices	(صارفین) کی قیمتیں۔
(do something) early; fast	(کچھ کریں) جلدی؛ تیز
(do something) late	(کچھ کریں) دیر سے
(do something) oneself	(کچھ کریں) خود
(enrolled) in school	(اندراج شدہ) اسکول میں
(fine) art; the arts	(ٹھیک) فن؛ فنون
(flash of) lightning	بجلی کی چمک
(flower) petal	(پھول) پنکھڑی
(food is) terrible	(کھانا) خوفناک ہے۔
(foot) race	(پاؤں) کی دوڑ
(giving) birth	(جنم دینا)
(going) side by side; concurrent; abreast; at the same time	(جانے والا) ساتھ ساتھ؛ ہم آہنگی برابر ایک ہی وقت میں
(gram) subject	(گرام) موضوع
(hand) towel	(ہاتھ) تولیہ
(hon) aunt	(آنٹی) خالہ
(hon) good; OK; all right; fine; very well; will do; may; can	(hon) اچھا؛ ٹھیک ہے ٹھیک ہے ٹھیک بہت اچھی طرح سے؛ کریں گے ہو سکتا ہے کر سکتے ہیں
(hon) look; inspection; try	(hon) دیکھو معائنہ کوشش کریں
(hon) to give; to confer	(hon) دینا؛ دینے کے لیے
(hon) to visit; to ask; to inquire	(hon) دورہ کرنا؛ پوچھنا؛ پوچھ گچھ کرنا
(honorable) father	(معزز) باپ
(honorable) mother	(معزز) ماں
(honorable) older brother	(معزز) بڑے بھائی
(honorable) older sister	(معزز) بڑی بہن
(honorable) wife	(معزز) بیوی
(honorable) your husband	(معزز) آپ کا شوہر
(hum) (pol) seeing; look at	(ہم) (پول) دیکھنا؛ دیکھو
(hum) to hear; to be told; to know	(ہم) سننا؛ بتایا جائے جاننے کے لیے
(hum) to know	(ہم) جاننے کے لیے
(human) life	(انسانی) زندگی
(human) life (i.e. conception to death)	(انسانی) زندگی (یعنی تصور موت تک)
(humble) I; myself	(عاجزی سے) میں؛ میں خود
(humble) daughter	(عاجزی) بیٹی
(humble) older brother	(عاجز) بڑا بھائی
(humble) older sister	(عاجز) بڑی بہن
(humble) siblings	(عاجز) بہن بھائی
(humble) son	(عاجزی) بیٹا
(humble) to be called; to say	(عاجز) بلایا جانا؛ کہنا
(humble) to do	(عاجزی) کرنا
(humble) to go; to come	(عاجزی سے) جانا؛ آنے کے لیے
(humble) to look at	(عاجزی سے) دیکھنے کے لیے
(humble) to say; to tell	(عاجزی سے) کہنا؛ بتانے کے لیے
(humble) wife	(عاجزی) بیوی
(humble) younger sister	(عاجز) چھوٹی بہن
(in) charge	(انچارج)
(in) the evening sun; setting sun	(میں) شام کا سورج غروب آفتاب
(informal) You (used by men towards women)	(غیر رسمی) آپ (مرد خواتین کی طرف استعمال کرتے ہیں)
(it's a pity to waste) the effort	(ضائع کرنا افسوس کی بات ہے) کوشش
(logical) true; regular	(منطقی) سچ؛ باقاعدہ
(male) (vulg) to eat	(مرد) (vulg) کھانے کے لیے
(measuring) ruler	(ناپنے والا) حکمران
(member of) political party	(ممبر) سیاسی جماعت
(my) father	(میرے) والد
(my) mother	(میری) ماں
(my) older brother	(میرا) بڑا بھائی
(my) older sister	(میری) بڑی بہن
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(n) (a) خوشی؛ (a) خوشی؛ بے خودی خوشی تسکین خوشی مبارک ہو مبارکبادیں
(n) alias; pseudonym; pen name	(n) عرف؛ تخلص؛ قلمی نام
(n) broom	(n) جھاڑو
(n) transfer (trains; buses; etc.)	(n) منتقلی (ٹرین؛ بسیں؛ وغیرہ)
(not so) much; (not) very	(اتنا نہیں) زیادہ؛ (نہیں) بہت
(not) always; (not) necessarily; (not) all; (not) entirely	(نہیں) ہمیشہ؛ (ضروری نہیں) (نہیں) سب؛ (نہیں) مکمل طور پر
(not) at all	(نہیں) بالکل
(not) by any means	(نہیں) کسی بھی طرح سے
(not) particularly; nothing	(نہیں) خاص طور پر؛ کچھ نہیں
(outward) looks; features; face; countenance; expression	(ظاہری) نظر آتا ہے؛ خصوصیات؛ چہرہ چہرہ اظہار
(personal) bankruptcy	(ذاتی) دیوالیہ پن
(phrase) sure; no mistaking it; for certain	(جملہ) یقینی؛ اس میں کوئی غلطی نہیں؛ یقینی طور پر
(plant) bulb	(پلانٹ) بلب
(please) be sure to	(براہ کرم) یقینی بنائیں
(please) look; (please) try to do	(براہ کرم) دیکھو؛ (براہ کرم) کرنے کی کوشش کریں۔
(polite) to eat	(شائستہ) کھانے کے لیے
(polite) to give	(شائستہ) دینا
(polite) your house	(شائستہ) آپ کا گھر
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(pt:) (n) (uk) تمباکو (pt: tabaco)؛ سگریٹ
(pt:) (n) playing cards (pt: carta)	(pt:) (n) تاش کھیلنا (pt: carta)
(religious) faith; belief; creed	(مذہبی) ایمان؛ عقیدہ عقیدہ
(rice) gruel	(چاول) دانہ
(river) basin	(دریا) طاس
(school) subject; curriculum; course	(اسکول) کا مضمون؛ نصاب کورس
(sl) meals; food	(sl) کھانا؛ کھانا
(sl) to embrace; to hug; to harbour; to entertain	(sl) گلے لگانا؛ گلے لگانا بندرگاہ پر تفریح ​​کرنے کے لئے
(social) group; crowd; throng; mob; multitude	(سماجی) گروپ؛ بھیڑ بھیڑ ہجوم بھیڑ
(social) position; status	(سماجی) پوزیشن؛ حیثیت
(someone honorable) is present/home	(کوئی معزز) گھر میں موجود ہے۔
(someone's) daughter (polite)	(کسی کی) بیٹی (شائستہ)
(someone) is gone; to disappear	(کوئی) چلا گیا؛ غائب ہونا
(something) begins	(کچھ) شروع ہوتا ہے۔
(something) breaks	(کچھ) ٹوٹ جاتا ہے۔
(something) closes	(کچھ) بند ہو جاتا ہے۔
(something) drops	(کچھ) قطرے
(something) ends	(کچھ) ختم ہوتا ہے۔
(something) goes off	(کچھ) بند ہو جاتا ہے۔
(something) opens	(کچھ) کھلتا ہے۔
(something) turns on	(کچھ) آن ہوتا ہے۔
(something/someone) comes back	(کچھ/کوئی) واپس آتا ہے۔
(something/someone) separates; parts from	(کچھ/کوئی) الگ کرتا ہے؛ سے حصے
(sudden) change; reversal; turn-around; coming from behind (baseball)	(اچانک) تبدیلی؛ الٹ گھومنا؛ پیچھے سے آرہا ہے (بیس بال)
(sudden) evening shower (rain)	(اچانک) شام کی بارش (بارش)
(taking) notes; copying	نوٹ لینا؛ نقل کرنا
(telephone) receiver	(ٹیلی فون) ریسیور
(term) paper	(ٹرم) کاغذ
(the) date	(دی) تاریخ
(the) ground	(دی) زمین
(the) market (as a concept)	(دی) مارکیٹ (ایک تصور کے طور پر)
(the) whole; universal; wholly; general	(the) پوری عالمگیر مکمل طور پر جنرل
(tire) goes flat	(ٹائر) چپٹا جاتا ہے۔
(train) conductor	(ٹرین) کنڈکٹر
(tree) trunk	(درخت) تنے
(v5r) to behead; to murder	(v5r) سر قلم کرنا؛ قتل کرنا
(v5r; vi) to take the place of; to relieve; to be substituted for	(v5r;vi) کی جگہ لینا۔ حاجت کرنا؛ کے لئے متبادل کیا جائے گا
(v5s) to tear off; to peel off; to rip off	(v5s) پھاڑنا؛ چھیلنا؛ چیرنا
(v5u) to face; to go towards	(v5u) سامنا کرنا؛ کی طرف جانا
(wasted) effort	(ضائع) کوشش
(what) on earth	(کیا) زمین پر
(your) backing; assistance	(آپ کی) پشت پناہی؛ مدد
(your) busy schedule	(آپ کا) مصروف شیڈول
(your/her) husband	(آپ کا/اس کا) شوہر
(your/his) wife	(آپ کی/اس کی) بیوی
(your/his) wife (polite)	(آپ کی/اس کی) بیوی (شائستہ)
(your/their) child (polite)	(آپ کا/ان کا) بچہ (شائستہ)
-floor (counter); stories	فرش (کاؤنٹر)؛ کہانیاں
-like; -looking; -looked	جیسے -دیکھنا؛ - دیکھا
..., please.	...، براہ مہربانی.
...for example	...مثال کے طور پر
...th floor	...ویں منزل
...year student	...سال کا طالب علم
...years old	...سال پرانا
...yen	...ین
1.  (iron) hammer; 2.  punishment	1. (لوہے کا) ہتھوڑا 2. سزا
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (یوکے) کھانے کے ناشتے کے درمیان۔ دوپہر کی تازگی؛ دوپہر کی چائے؛ 2. دوپہر کا ناشتہ
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. ایک رعایت؛ ایک انعام؛ 2. کچھ اضافی؛ بونس؛ ایک اضافی؛ 3. مبالغہ آرائی
1.  angle; 2.  bishop (shogi)	1. زاویہ 2. بشپ (شوگی)
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. تفصیلات پوری کہانی؛ واقعات کی ترتیب؛ تفصیلات یہ کیسے شروع ہوا؛ چیزوں کو اس طرح کیسے حاصل ہوا؛ 2. c
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. ایک کاپی جیسے ایک دستاویز کی؛ 2. ایک حصہ جزوی طور پر کچھ
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. متعدد؛ مختلف متنوع متضاد مختلف متنوع 2. معمولی
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. عجیب عجیب سجیلا وضع دار مسالیدار عجیب لطیف مزیدار رومانوی 2. درجہ میں دوسرا؛ کی دوسری علامت
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. (کسی چیز) پر لٹکانا؛ پھینکنا (کپڑے) 2. لگانا پکڑنے کے لئے پھنسنا ensnar کرنے کے لئے
10; ten	10; دس
10th	10ویں
10th (of the month)	10ویں (مہینے کا)
10th day / ten days	10 واں دن / دس دن
11th	گیارہویں
12th	12ویں
13th	13
14th	14
14th of the month	مہینے کی 14 تاریخ
15th	15ویں
16th	16
17th	17
18th	18
19th	19
1st	1st
1st day of the month	مہینے کا پہلا دن
1st of the month	مہینے کی پہلی تاریخ
20 years old; 20th year	20 سال کی عمر؛ 20 واں سال
20th	20 ویں
20th day of the month	مہینے کا 20واں دن
20th of the month	مہینے کی 20 تاریخ
21st	21
22nd	22 واں
23rd	23
24th	24
24th of the month	مہینے کی 24 تاریخ
25th	25
26th	26
27th	27
28th	28
29th	29
2nd	2nd
2nd day / two days	دوسرا دن / دو دن
2nd of the month	مہینے کی 2 تاریخ
3 p.m.	3 p.m
30th	30ویں
30th of the month	مہینے کی 30 تاریخ
31st	31
3rd	3rd
3rd day / three days	تیسرا دن / تین دن
3rd of the month	مہینے کی 3 تاریخ
4th	4th
4th day / four days	چوتھا دن / چار دن
4th of the month	مہینے کی 4 تاریخ
5th	5ویں
5th day / five days	پانچواں دن / پانچ دن
5th of the month	مہینے کی 5 تاریخ
60th birthday	60 ویں سالگرہ
6th	6
6th day / six days	چھٹا دن / چھ دن
6th of the month	مہینے کی 6 تاریخ
7th	7ویں
7th (of the month)	7ویں (مہینے کا)
7th day / seven days	ساتواں دن / سات دن
8th	8
8th day / eight days	آٹھواں دن / آٹھ دن
8th of the month	مہینے کی 8 تاریخ
9 a.m.	صبح 9 بجے
9th	9
9th day / nine days	نواں دن / نو دن
9th of the month	مہینے کی 9 تاریخ
A car is faster than a bicycle.	ایک کار سائیکل سے تیز ہے۔
A car is parked in front of the house.	گھر کے سامنے گاڑی کھڑی ہے۔
A cat is bigger than a rabbit.	ایک بلی خرگوش سے بڑی ہوتی ہے۔
A massage helps my back.	ایک مساج میری کمر کی مدد کرتا ہے۔
A storm is coming.	ایک طوفان آ رہا ہے۔
A train is stopped at the station.	ایک ٹرین اسٹیشن پر رکی ہوئی ہے۔
A.M.	اے ایم
AIDS	ایڈز
AM (also means morning)	AM (جس کا مطلب صبح بھی ہے)
Act (law: the X Act)	ایکٹ (قانون: ایکس ایکٹ)
After I eat, I'll go out.	کھانے کے بعد میں باہر جاؤں گا۔
After listening to music, I study.	موسیقی سننے کے بعد، میں مطالعہ کرتا ہوں.
After she had left, I felt sad.	اس کے جانے کے بعد، میں نے اداس محسوس کیا.
After the bank, go past the park. The museum is on your right.	بینک کے بعد، پارک سے گزریں۔ میوزیم آپ کے دائیں طرف ہے۔
After washing my hands, I ate.	ہاتھ دھونے کے بعد میں نے کھایا۔
Am I late for the meeting?	کیا میں میٹنگ کے لیے دیر کر رہا ہوں؟
America	امریکہ
American person	امریکی شخص
An apple a day keeps the doctor away.	روزانہ ایک سیب ڈاکٹر کو دور رکھتا ہے۔
An apple is good for health.	ایک سیب صحت کے لیے اچھا ہے۔
Any plans next month?	اگلے مہینے کوئی منصوبہ؟
Any student can answer this.	کوئی بھی طالب علم اس کا جواب دے سکتا ہے۔
Anyone can learn to cook.	کوئی بھی کھانا پکانا سیکھ سکتا ہے۔
Anyone, regardless of gender, can participate.	کوئی بھی، قطع نظر جنس کے، حصہ لے سکتا ہے۔
Anything to eat with that?	اس کے ساتھ کھانے کو کچھ ہے؟
Apple	سیب
April	اپریل
Are they coming today?	کیا وہ آج آرہے ہیں؟
Are we going to be late?	کیا ہم دیر سے ہونے والے ہیں؟
Are we meeting at five?	کیا ہم پانچ بجے مل رہے ہیں؟
Are we on time?	کیا ہم وقت پر ہیں؟
Are you a teacher?	کیا آپ استاد ہیں؟
Are you checking any bags today?	کیا آپ آج کوئی بیگ چیک کر رہے ہیں؟
Are you coming with us?	کیا آپ ہمارے ساتھ آرہے ہیں؟
Are you free tomorrow?	کیا آپ کل آزاد ہیں؟
Are you from Japan?	کیا آپ جاپان سے ہیں؟
Are you going to come to the meeting?	کیا آپ میٹنگ میں آنے والے ہیں؟
Are you going to tell her the truth?	کیا تم اسے سچ بتانے جا رہے ہو؟
Are you okay?	تم ٹھیک ہو؟
Are you ready to go?	کیا آپ جانے کے لیے تیار ہیں؟
Are you ready to order?	کیا آپ آرڈر دینے کے لیے تیار ہیں؟
As for cats, I like them.	جہاں تک بلیوں کا تعلق ہے، مجھے وہ پسند ہیں۔
As for next week, I will rest.	اگلے ہفتے کی بات ہے، میں آرام کروں گا۔
As for next year, I will go to Japan.	اگلے سال میں جاپان جاؤں گا۔
As for today, it's sunny.	جہاں تک آج کا تعلق ہے، یہ دھوپ ہے۔
As for yesterday, I went shopping.	کل کی بات ہے، میں شاپنگ کرنے گیا تھا۔
As time passes, I end up forgetting.	جیسے جیسے وقت گزرتا ہے، میں بھول جاتا ہوں۔
As your senior, let me say one word.	آپ کے سینئر ہونے کے ناطے میں ایک لفظ کہوں۔
Asian studies	ایشیائی مطالعات
At 8 PM I will be watching the match.	رات 8 بجے میں میچ دیکھوں گا۔
At no point did he admit his mistake.	اس نے کسی موقع پر اپنی غلطی تسلیم نہیں کی۔
August	اگست
Australia	آسٹریلیا
Autumn is cool.	خزاں ٹھنڈی ہے۔
Ball	گیند
Be careful!	ہوشیار رہو!
Before he arrived, we had finished eating.	اس کے آنے سے پہلے ہم کھانا کھا چکے تھے۔
Bon dance (Japanese traditional dance)	بون ڈانس (جاپانی روایتی رقص)
Breakfast is served from 7 to 9 in the first-floor restaurant.	پہلی منزل کے ریستوراں میں ناشتہ 7 سے 9 بجے تک پیش کیا جاتا ہے۔
Britain	برطانیہ
Buddha; merciful person; Buddhist image; the dead	بدھا؛ رحم کرنے والا شخص؛ بدھ مت کی تصویر؛ مردہ
Buddhist karma; actions committed in a former life	بدھ کرما؛ سابقہ زندگی میں کیے گئے اعمال
Buddhist priest; monk	بدھ پادری؛ راہب
Buddhist temple	بدھ مندر
By 2028 I will have graduated.	2028 تک میں گریجویٹ ہو جاؤں گا۔
By 2030, I will have graduated.	2030 تک، میں گریجویشن کر چکا ہوں گا۔
By 9 PM we will have watched the whole series.	رات 9 بجے تک ہم پوری سیریز دیکھ چکے ہوں گے۔
By card, please.	کارڈ کے ذریعے، براہ مہربانی.
By next month we will have saved enough.	اگلے مہینے تک ہم کافی بچت کر چکے ہوں گے۔
By the end of the year, we will have visited five countries.	سال کے آخر تک ہم پانچ ممالک کا دورہ کر چکے ہوں گے۔
By the rules it's not allowed, but in practice you can.	قواعد کے مطابق اس کی اجازت نہیں ہے، لیکن عملی طور پر آپ کر سکتے ہیں۔
By the time I woke up, everyone had left.	جب میں بیدار ہوا تو سب وہاں سے جا چکے تھے۔
By the time you arrive, we will have eaten.	آپ کے پہنچنے تک ہم کھانا کھا چکے ہوں گے۔
By then, I will have forgotten his name.	تب تک میں اس کا نام بھول چکا ہو گا۔
By then, he will be driving home.	تب تک وہ گاڑی چلا کر گھر پہنچ جائے گا۔
By this time next year, I will have changed my job.	اگلے سال اس وقت تک، میں اپنی ملازمت بدل چکا ہو گا۔
CD	سی ڈی
California	کیلیفورنیا
Call an ambulance!	ایمبولینس کو کال کریں!
Call me when you're free.	جب آپ فارغ ہوں تو مجھے کال کریں۔
Call the police!	پولیس کو کال کریں!
Can I ask a favor?	کیا میں ایک احسان پوچھ سکتا ہوں؟
Can I borrow some money?	کیا میں کچھ رقم ادھار لے سکتا ہوں؟
Can I change rooms?	کیا میں کمرے بدل سکتا ہوں؟
Can I come in?	کیا میں اندر آ سکتا ہوں؟
Can I exchange it?	کیا میں اس کا تبادلہ کر سکتا ہوں؟
Can I get a map?	کیا میں ایک نقشہ حاصل کر سکتا ہوں؟
Can I get a receipt?	کیا مجھے رسید مل سکتی ہے؟
Can I get this to go?	کیا میں یہ حاصل کر سکتا ہوں؟
Can I have some water?	کیا میں کچھ پانی لے سکتا ہوں؟
Can I leave my bags here?	کیا میں اپنے بیگ یہاں چھوڑ سکتا ہوں؟
Can I leave my luggage?	کیا میں اپنا سامان چھوڑ سکتا ہوں؟
Can I park here?	کیا میں یہاں پارک کر سکتا ہوں؟
Can I pay by card on the bus?	کیا میں بس میں کارڈ کے ذریعے ادائیگی کر سکتا ہوں؟
