ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ, ಒಂದು ನಿಮಿಷ.	Excuse me, one minute.
ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ, ನೀವು ಯಾರು?	Excuse me, who are you?
ಅದು ಸರಿಯೇ? ಹೌದು.	Is that correct? Yes.
ನಿಮಗೆ ಬೇಕಾ? ಹೌದು.	Do you want it? Yes.
ಅವಳು ಬರುತ್ತಾಳಾ? ಸಹಜವಾಗಿ.	Will she come? Of course.
ಅವನು ಗೆಲ್ಲುತ್ತಾನಾ? ಸಹಜವಾಗಿ.	Will he win? Of course.
ನೀವು ಬರುತ್ತೀರಾ? ಖಚಿತವಾಗಿ.	Will you come? Sure.
ಅವರು ಬರುತ್ತಾರಾ? ಖಚಿತವಾಗಿ.	Will they come? Sure.
ಅವನು ಬರುತ್ತಾನಾ? ಬಹುಶಃ.	Will he come? Maybe.
ಮಳೆ ಬರುತ್ತಾ? ಬಹುಶಃ.	Will it rain? Maybe.
ನಿಮ್ಮ ಹೆಸರು ಏನು?	What is your name?
ನನ್ನ ಹೆಸರು ಕಿರಣ್.	My name is Kiran.
ಅವನು ನನ್ನ ಸ್ನೇಹಿತ.	He is my friend.
ನನ್ನ ಸ್ನೇಹಿತ ಬಂದಿದ್ದಾನೆ.	My friend has come.
ಅವನು ಒಳ್ಳೆಯ ವ್ಯಕ್ತಿ.	He is a good person.
ಆ ವ್ಯಕ್ತಿ ಯಾರು?	Who is that person?
ಇಲ್ಲಿ ಅನೇಕ ಜನರು ಇದ್ದಾರೆ.	There are many people here.
ಜನರು ಶಾಂತವಾಗಿರಿ.	People, please be quiet.
ಅವನು ಒಬ್ಬ ದೊಡ್ಡ ಮನುಷ್ಯ.	He is a great man.
ಆ ಮನುಷ್ಯ ಯಾರು?	Who is that man?
ಆ ಮಹಿಳೆ ಶಿಕ್ಷಕಿ.	That woman is a teacher.
ಒಬ್ಬ ಮಹಿಳೆ ಬಂದಿದ್ದಾರೆ.	A woman has come.
ಆ ಹುಡುಗ ಓದುತ್ತಿದ್ದಾನೆ.	That boy is reading.
ಒಬ್ಬ ಹುಡುಗ ಇಲ್ಲಿ ಇದ್ದಾನೆ.	A boy is here.
ಆ ಹುಡುಗಿ ಹಾಡುತ್ತಿದ್ದಾಳೆ.	That girl is singing.
ಒಬ್ಬ ಹುಡುಗಿ ಬಂದಿದ್ದಾಳೆ.	A girl has come.
ಶ್ರೀ ರಾಮ ಬಂದರು.	Mr. Rama came.
ಶ್ರೀ ಕುಮಾರ್ ಇಲ್ಲಿ ಇದ್ದಾರೆ.	Mr. Kumar is here.
ಶ್ರೀಮತಿ ಗೀತಾ ಬಂದರು.	Mrs. Geeta came.
ಶ್ರೀಮತಿ ಲಕ್ಷ್ಮಿ ಮಾತಾಡುತ್ತಿದ್ದಾರೆ.	Mrs. Lakshmi is speaking.
ಸುಂದರಿ ಇಲ್ಲಿ ಇಲ್ಲ.	Miss Sundari is not here.
ಸುಂದರಿ ಒಬ್ಬ ವಿದ್ಯಾರ್ಥಿ.	Miss Sundari is a student.
ಸರ್, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Sir, how are you?
ನಮಸ್ಕಾರ ಸರ್.	Hello sir.
ಮೇಡಂ, ಒಂದು ಪ್ರಶ್ನೆ.	Madam, one question.
ಮೇಡಂ, ನಾನು ಬರಬಹುದೇ?	Madam, may I come in?
ಆತ್ಮೀಯ ಗೆಳೆಯ, ನಮಸ್ಕಾರ.	Dear friend, hello.
ಆತ್ಮೀಯ ತಂದೆಗೆ ನಮಸ್ಕಾರ.	Hello to dear father.
ನಾವು ನಂತರ ನೋಡೋಣ.	We will see you later.
ನಿಮ್ಮ ಆರೋಗ್ಯದ ಬಗ್ಗೆ ಕಾಳಜಿ ವಹಿಸಿ	Take care of your health
ಅವಳ ಬಗ್ಗೆ ಸ್ವಲ್ಪ ಕಾಳಜಿ ವಹಿಸಿ	Take some care of her
ನಿಮಗೂ ಒಳ್ಳೆಯ ದಿನ ಸಿಗಲಿ	May you have a nice day
ಇಂದು ಒಳ್ಳೆಯ ದಿನ ಆಗಲಿ	Let today be a nice day
ಇದು ಶೂನ್ಯ נקತಿನಿಂದ ಶುರುವಾಯಿತು	This started from zero point
ಶೂನ್ಯ ಎನ್ನುವುದು ಒಂದು ಸಂಖ್ಯೆ	Zero is a number
ನನಗೆ ನಾಲ್ಕು ಸೇಬುಗಳು ಬೇಕು	I want four apples
ಅಲ್ಲಿ ನಾಲ್ಕು ಜನ ಇದ್ದಾರೆ	There are four people there
ಅವನಿಗೆ ಆರು ವರ್ಷಗಳು	He is six years old
ನನ್ನ ಬಳಿ ಆರು ಪುಸ್ತಕಗಳು ಇವೆ	I have six books
ಅಲ್ಲಿ ಏಳು ಹಕ್ಕಿಗಳು ಕುಳಿತಿವೆ	Seven birds are sitting there
ವಾರದಲ್ಲಿ ಏಳು ದಿನಗಳು ಇವೆ	There are seven days in a week
ಅವಳು ಎಂಟು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read eight pages
ನಮಗೆ ಎಂಟು ಗಂಟೆಯಾಯಿತು	It became eight o'clock for us
ಅಲ್ಲಿ ಒಂಬತ್ತು ಮನೆಗಳು ಇವೆ	There are nine houses there
ಅವನಿಗೆ ಒಂಬತ್ತು ವರ್ಷಗಳು	He is nine years old
ನನಗೆ ಹತ್ತು ರೂಪಾಯಿಗಳು ಬೇಕು	I want ten rupees
ಒಂದು ಕೈಯಲ್ಲಿ ಹತ್ತು ಬೆರಳುಗಳು ಇವೆ	There are ten fingers in one hand
ಅವಳು ಹನ್ನೊಂದು ಗಂಟೆಗೆ ಬಂದಳು	She came at eleven o'clock
ನನಗೆ ಹನ್ನೊಂದು ಪೆನ್ಸಿಲ್ ಇವೆ	I have eleven pencils
ನನಗೆ ಹನ್ನೆರಡು ಸೇಬುಗಳು ಬೇಕು	I want twelve apples
ಒಂದು ವರ್ಷದಲ್ಲಿ ಹನ್ನೆರಡು ತಿಂಗಳುಗಳು ಇವೆ	There are twelve months in a year
ಅವನಿಗೆ ಹದಿಮೂರು ವರ್ಷಗಳು	He is thirteen years old
ಅಲ್ಲಿ ಹದಿಮೂರು ಜನರು ಇದ್ದಾರೆ	There are thirteen people there
ನನಗೆ ಹದಿನಾಲ್ಕು ಪುಸ್ತಕಗಳು ಬೇಕು	I want fourteen books
ಅವಳು ಹದಿನಾಲ್ಕು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read fourteen pages
ನನ್ನ ಬಳಿ ಹದಿನೈದು ಪೆನ್ಸಿಲ್ ಇವೆ	I have fifteen pencils
ಅವನು ಹದಿನೈದು ವರ್ಷದ ಹುಡುಗ	He is a fifteen year old boy
ಅಲ್ಲಿ ಹದಿನಾರು ಹಕ್ಕಿಗಳು ಇವೆ	There are sixteen birds there
ನನಗೆ ಹದಿನಾರು ಸೇಬುಗಳು ಬೇಕು	I want sixteen apples
ಅವಳು ಹದಿನೇಳು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read seventeen pages
ಅವನಿಗೆ ಹದಿನೇಳು ವರ್ಷಗಳು	He is seventeen years old
ನನ್ನ ಬಳಿ ಹದಿನೆಂಟು ಪುಸ್ತಕಗಳು ಇವೆ	I have eighteen books
ಅಲ್ಲಿ ಹದಿನೆಂಟು ಜನರು ಇದ್ದಾರೆ	There are eighteen people there
ಅವಳು ಹತ್ತೊಂಬತ್ತು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read nineteen pages
ಅವನಿಗೆ ಹತ್ತೊಂಬತ್ತು ವರ್ಷಗಳು	He is nineteen years old
ನನಗೆ ಇಪ್ಪತ್ತು ರೂಪಾಯಿಗಳು ಬೇಕು	I want twenty rupees
ಅಲ್ಲಿ ಇಪ್ಪತ್ತು ಹಕ್ಕಿಗಳು ಇವೆ	There are twenty birds there
ನನಗೆ ಇಪ್ಪತ್ತೊಂದು ಪುಸ್ತಕಗಳು ಬೇಕು	I want twenty-one books
ಅವಳು ಇಪ್ಪತ್ತೊಂದು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read twenty-one pages
ನನಗೆ ಮೂವತ್ತು ರೂಪಾಯಿಗಳು ಬೇಕು	I want thirty rupees
ಅಲ್ಲಿ ಮೂವತ್ತು ಜನರು ಇದ್ದಾರೆ	There are thirty people there
ಅವನಿಗೆ ನಲವತ್ತು ವರ್ಷಗಳು	He is forty years old
ನನ್ನ ಬಳಿ ನಲವತ್ತು ಪುಸ್ತಕಗಳು ಇವೆ	I have forty books
ಅವಳು ಐವತ್ತು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read fifty pages
ಅಲ್ಲಿ ಐವತ್ತು ಹಕ್ಕಿಗಳು ಇವೆ	There are fifty birds there
ಅವನಿಗೆ ಅರವತ್ತು ವರ್ಷಗಳು	He is sixty years old
ನನಗೆ ಅರವತ್ತು ರೂಪಾಯಿಗಳು ಬೇಕು	I want sixty rupees
ಅಲ್ಲಿ ಎಪ್ಪತ್ತು ಮನೆಗಳು ಇವೆ	There are seventy houses there
ನನ್ನ ಬಳಿ ಎಪ್ಪತ್ತು ಪುಸ್ತಕಗಳು ಇವೆ	I have seventy books
ಅವಳು ಎಂಬತ್ತು ಪುಟಗಳನ್ನು ಓದಿದಳು	She read eighty pages
ಅಲ್ಲಿ ಎಂಬತ್ತು ಜನರು ಇದ್ದಾರೆ	There are eighty people there
ಅವನಿಗೆ ತೊಂಬತ್ತು ವರ್ಷಗಳು	He is ninety years old
ನನಗೆ ತೊಂಬತ್ತು ರೂಪಾಯಿಗಳು ಬೇಕು	I want ninety rupees
ಅವಳ ಬಳಿ ನೂರು ಪುಸ್ತಕಗಳು ಇವೆ	She has a hundred books
ನನಗೆ ನೂರು ರೂಪಾಯಿಗಳು ಬೇಕು	I want a hundred rupees
ಅಲ್ಲಿ ಒಂದು ಸಾವಿರ ಮರಗಳಿವೆ	There are one thousand trees there
ನನ್ನ ಬಳಿ ಸಾವಿರ ರೂಪಾಯಿಗಳಿವೆ	I have a thousand rupees
ಅವನು ಮೊದಲು ಬಂದನು	He came first
ನೀವು ಮೊದಲು ಯಾರು?	Who are you first?
ಇದು ಎರಡನೆಯದು ಪುಸ್ತಕ	This is the second book
ಅವಳು ಎರಡನೆಯದು ಸ್ಥಾನದಲ್ಲಿದ್ದಾಳೆ	She is in the second place
ಅವನು ಮೂರನೆಯದು ಸ್ಥಾನದಲ್ಲಿದ್ದಾನೆ	He is in the third place
ಇದು ಮೂರನೆಯದು ಮನೆ	This is the third
ನಾಲ್ಕನೆಯದು ಕೆಂಪು ಬಣ್ಣ	The fourth one is red
ಇದು ನಾಲ್ಕನೆಯದು	This is the fourth one
ಐದನೆಯದು ದೊಡ್ಡದು	The fifth one is big
ಅದು ಐದನೆಯದು	That is the fifth one
ಆರನೆಯದು ಇಲ್ಲಿ ಇಲ್ಲ	The sixth one is not here
ಆರನೆಯದು ಸರಿಯಾಗಿದೆ	The sixth one is correct
ಏಳನೇ ಮನೆ ಹಸಿರು	The seventh house is green
ಅವಳು ಏಳನೇ ಹುಡುಗಿ	She is the seventh girl
ಎಂಟನೆಯದು ದೂರವಿದೆ	The eighth one is far
ಎಂಟನೆಯದು ಸಣ್ಣದು	The eighth one is small
ಒಂಬತ್ತನೇ ಪುಟ ಓದಿ	Read the ninth page
ಅವನು ಒಂಬತ್ತನೇ ವ್ಯಕ್ತಿ	He is the ninth person
ಹತ್ತನೇ ದಿನ ರಜೆ	The tenth day is a holiday
ಇದು ಹತ್ತನೇ ಮನೆ	This is the tenth house
ಸರಿಯಾದ ಎಣಿಕೆ ಮಾಡಿ	Do the correct count
ಎಣಿಕೆ ಶುರು ಮಾಡಿ	Start the count
ಇಂದು ರಜೆ ಇದೆ	Today is a holiday
ಇಂದು ತುಂಬಾ ಬಿಸಿಲಿದೆ	Today is very hot
ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗಬೇಕು	Must go to school tomorrow
ನಾಳೆ ಮಳೆ ಬರಬಹುದು	It may rain tomorrow
ನಿನ್ನೆ ನಾನು ಬಂದೆ	Yesterday I came
ನಿನ್ನೆ ರಜೆ ಇತ್ತು	Yesterday was a holiday
ಅವನು ನಂತರ ಬರುತ್ತಾನೆ	He will come later
ಊಟದ ನಂತರ ಹೋಗೋಣ	Let's go after food
ಅವಳು ಆರಂಭಿಕ ಹಂತದಲ್ಲಿದ್ದಾಳೆ	She is in the early stage
ಇದು ಆರಂಭಿಕ ಪ್ರಯತ್ನ	This is an early attempt
ಅವನು ತಡವಾಗಿ ಬಂದನು	He came late
ಇಂದು ತಡವಾಗಿ ಎದ್ದೆ	Woke up late today
ಮಧ್ಯಾಹ್ನ ಊಟ ಮಾಡು	Eat lunch in the afternoon
ಮಧ್ಯಾಹ್ನ ಬಿಸಿಲು ಜಾಸ್ತಿ	The afternoon sun is strong
ಮಧ್ಯಾಹ್ನ ಮೀಟಿಂಗ್ ಇದೆ	There is a meeting at noon
ಮಧ್ಯಾಹ್ನ ವಿಶ್ರಮಿಸಿ	Rest in the afternoon
ಒಂದು ನಿಮಿಷ ಕಾಯಿ	Wait for one minute
ಐದು ನಿಮಿಷ ಬೇಕು	Five minutes are needed
ಅದು ಎರಡನೆಯದು	That is the second one
ಎರಡನೆಯದು ದೊಡ್ಡದು	The second one is big
ಗಡಿಯಾರ ಎಲ್ಲಿಯಿದೆ?	Where is the clock?
ಗಡಿಯಾರ ಸರಿಯಾಗಿ ಇಲ್ಲ	The clock is not correct
ದಿನಾಂಕ ಎಷ್ಟು?	What is the date?
ದಿನಾಂಕ ಬರೆರಿ	Write the date
ಈ ವಾರ ರಜೆ	This week is a holiday
ಮುಂದಿನ ವಾರ ಬನ್ನಿ	Come next week
ವಾರಾಂತ್ಯಕ್ಕೆ ಯೋಜನೆ ಇದೆ	There is a plan for the weekend
ವಾರಾಂತ್ಯ ಸುಖವಾಗಿರಲಿ	Have a happy weekend
ಒಂದು ತಿಂಗಳು ಕಾಯಿ	Wait for one month
ಈ ತಿಂಗಳು ಮಳೆ ಬಂದಿದೆ	This month it rained
ಈ ಋತು ಚೆನ್ನಾಗಿದೆ	This season is good
ಋತು ಬದಲಾಗಿದೆ	The season has changed
ವಸಂತ ಕಾಲ ಬಂದಿದೆ	Spring season has come
ವಸಂತದಲ್ಲಿ ಹೂವು ಅರಳುತ್ತದೆ	Flowers bloom in spring
ಬೇಸಿಗೆಯಲ್ಲಿ ಶಾಖ ಜಾಸ್ತಿ	Heat is high in summer
ಬೇಸಿಗೆ ರಜೆ ಬೇಕು	Need summer vacation
ಶರತ್ಕಾಲವು ಸುಂದರವಾಗಿದೆ	Autumn is beautiful
ಶರತ್ಕಾಲದಲ್ಲಿ ಗಾಳಿ ಇದೆ	There is wind in autumn
ಚಳಿಗಾಲದಲ್ಲಿ ಚಳಿ ಇರುತ್ತದೆ	It is cold in winter
ಚಳಿಗಾಲದ ಬಟ್ಟೆ ಬೇಕು	Need winter clothes
ಸೋಮವಾರ ಕೆಲಸ ಶುರು	Work starts on Monday
ಸೋಮವಾರ ನಾನು ಬಂದೆ	I came on Monday
ಮಂಗಳವಾರ ರಜೆ ಇದೆ	Tuesday is a holiday
ಮಂಗಳವಾರ ಸಭೆ ಇದೆ	There is a meeting on Tuesday
ಬುಧವಾರ ಶಾಲೆಗೆ ಹೋಗು	Go to school on Wednesday
ಬುಧವಾರ ಮಳೆ ಬಂದಿತು	It rained on Wednesday
ಗುರುವಾರ ರಜೆ ಇರಬಹುದು	Thursday might be a holiday
ಗುರುವಾರ ಭೇಟಿಯಾಗೋಣ	Let's meet on Thursday
ಶುಕ್ರವಾರ ಸಿನಿಮಾ ನೋಡೋಣ	Let's watch a movie on Friday
ಶುಕ್ರವಾರ ಕೆಲಸ ಮುಗಿಯಿತು	Work finished on Friday
ಶನಿವಾರ ಮಾರುಕಟ್ಟೆಗೆ ಹೋಗು	Go to the market on Saturday
ಶನಿವಾರ ರಜೆ ಇರಬೇಕು	Saturday should be a holiday
ಭಾನುವಾರ ಮನೆಗೆ ಹೋಗು	Go home on Sunday
ಭಾನುವಾರ ರಜೆ ದಿನ	Sunday is a holiday
ಹುಟ್ಟುಹಬ್ಬದ ಶುಭಾಶಯಗಳು	Happy birthday wishes
ನಿನ್ನ ಹುಟ್ಟುಹಬ್ಬ ಯಾವಾಗ?	When is your birthday?
ಇಂದು ರಾತ್ರಿ ಮಳೆ ಬರಬಹುದು	It may rain tonight
ಇಂದು ರಾತ್ರಿ ನಾನು ಬರುತ್ತೆನೆ	I will come tonight
ಸೂರ್ಯೋದಯ ಸುಂದರವಾಗಿದೆ	The sunrise is beautiful
ಸೂರ್ಯೋದಯಕ್ಕೆ ಮುಂಚೆ ಎದ್ದೆ	Woke up before sunrise
ಸೂರ್ಯಾಸ್ತದ ನಂತರ ಬನ್ನಿ	Come after sunset
ಸೂರ್ಯಾಸ್ತವು ಕೆಂಪಾಗಿದೆ	The sunset is red
ಸಂಜೆ ಬಿಸಿಲು ಚೆನ್ನಾಗಿದೆ	The evening sun is nice
ನಾವು ಸಂಜೆ ಸಿಗೋಣ	Let's meet in the evening
ಮಧ್ಯರಾತ್ರಿ ಗಾಳಿ ಜೋರಾಗಿತ್ತು	The midnight wind was strong
ಅವನು ಮಧ್ಯರಾತ್ರಿ ಬಂದನು	He came at midnight
ನನ್ನ ತಂದೆ ಒಳ್ಳೆಯವರು	My father is a good person
ಅವರು ನನ್ನ ತಂದೆ	He is my father
ನನ್ನ ಪೋಷಕರು ಬೆಂಗಳೂರಿನಲ್ಲಿ ಇದ್ದಾರೆ	My parents are in Bangalore
ಪೋಷಕರು ಮಕ್ಕಳನ್ನು ಪ್ರೀತಿಸುತ್ತಾರೆ	Parents love children
ನನ್ನ ಸಹೋದರಿ ಓದುತ್ತಿದ್ದಾಳೆ	My sister is studying
ಅವಳು ನನ್ನ ಪ್ರೀತಿಯ ಸಹೋದರಿ	She is my dear sister
ನನ್ನ ಸಹೋದರ ದೊಡ್ಡವನು	My brother is older
ಸಹೋದರ ಜೊತೆ ಆಟವಾಡಿ	Play with brother
ನನ್ನ ಅಜ್ಜಿ ಕಥೆ ಹೇಳುತ್ತಾರೆ	My grandmother tells stories
ಅಜ್ಜಿ ಇಲ್ಲಿ ಇದ್ದಾರೆ	Grandmother is here
ಅಜ್ಜ ಪತ್ರಿಕೆ ಓದುತ್ತಿದ್ದಾರೆ	Grandfather is reading the newspaper
ನನ್ನ ಅಜ್ಜ ಶಾಂತ ಸ್ವಭಾವದವರು	My grandfather is soft-natured
ಅಜ್ಜಿಯರು ಹಳ್ಳಿಯಲ್ಲಿ ಇದ್ದಾರೆ	Grandparents are in the village
ಅಜ್ಜಿಯರು ತುಂಬಾ ಪ್ರೀತಿ ಮಾಡುತ್ತಾರೆ	Grandparents love a lot
ಅವಳು ನನ್ನ ಮಗಳು	She is my daughter
ಮಗಳು ಶಾಲೆಗೆ ಹೋದಳು	The daughter went to school
ಮಕ್ಕಳು ಆಟವಾಡುತ್ತಿದ್ದಾರೆ	Children are playing
ನನ್ನ ಮಕ್ಕಳು ದೊಡ್ಡವರು	My children are grown up
ಅವಳು ನನ್ನ ಹೆಂಡತಿ	She is my wife
ಹೆಂಡತಿ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದಾಳೆ	Wife is cooking
ಅವನು ನನ್ನ ಗಂಡ	He is my husband
ಗಂಡ ಕೆಲಸಕ್ಕೆ ಹೋದನು	Husband went to work
ಚಿಕ್ಕಪ್ಪ ಬಂದಿದ್ದಾರೆ	Uncle has come
ನನ್ನ ಚಿಕ್ಕಪ್ಪ ರೈತ	My uncle is a farmer
ಚಿಕ್ಕಮ್ಮ ಅಡುಗೆ ಮಾಡುತ್ತಾರೆ	Aunt cooks
ಅವಳು ನನ್ನ ಚಿಕ್ಕಮ್ಮ	She is my aunt
ನನ್ನ ಸೋದರಸಂಬಂಧಿ ಬಂದಿದ್ದಾನೆ	My cousin has come
ಅವಳು ನನ್ನ ಸೋದರಸಂಬಂಧಿ	She is my cousin
ಸೋದರಳಿಯ ಶಾಲೆಗೆ ಹೋದನು	Nephew went to school
ನನ್ನ ಸೋದರಳಿಯ ಚಿಕ್ಕವನು	My nephew is small
ನನ್ನ ಸೊಸೆ ಒಳ್ಳೆಯವಳು	My niece is good
ಸೊಸೆ ಮನೆಗೆ ಬಂದಳು	The niece came home
ಮೊಮ್ಮಗ ಆಟವಾಡುತ್ತಿದ್ದಾನೆ	Grandson is playing
ಅವನು ನನ್ನ ಮೊಮ್ಮಗ	He is my grandson
ಮೊಮ್ಮಗಳು ಹಾಡು ಹಾಡುತ್ತಾಳೆ	Granddaughter sings a song
ನನ್ನ ಮೊಮ್ಮಗಳು ಪುಟಾಣಿ	My granddaughter is tiny
ನನ್ನ ಸ್ನೇಹಿತ ಬಂದಿದ್ದಾನೆ	My friend has come
ಅವನು ಒಳ್ಳೆಯ ಸ್ನೇಹಿತ	He is a good friend
ನನ್ನ ಉತ್ತಮ ಸ್ನೇಹಿತ ರಾಮ	Ram is my best friend
ಅವನು ನನ್ನ ಉತ್ತಮ ಸ್ನೇಹಿತ	He is my best friend
ನನ್ನ ಕುಟುಂಬ ದೊಡ್ಡದು	My family is large
ಕುಟುಂಬದ ಜೊತೆ ಇದ್ದೇನೆ	I am with family
ನನ್ನ ನೆರೆಯ ಒಳ್ಳೆಯವರು	My neighbour is good
ಅವಳು ನನ್ನ ನೆರೆಯವಳು	She is my neighbour
ಅವನು ನನ್ನ ಸಂಬಂಧಿ	He is my relative
ಸಂಬಂಧಿ ಮನೆಗೆ ಬಂದಿದ್ದಾರೆ	Relative has come home
ಅವಳು ನನ್ನ ಸಹಪಾಠಿ	She is my classmate
ಸಹಪಾಠಿ ಜೊತೆ ಓದಿದೆವು	We studied with classmate
ನನ್ನ ಸಹೋದ್ಯೋಗಿ ದಕ್ಷರು	My colleague is efficient
ಸಹೋದ್ಯೋಗಿ ಕೆಲಸದಲ್ಲಿದ್ದಾರೆ	Colleague is at work
ಅವನು ನನ್ನ ಪಾಲುದಾರ	He is my partner
ಪಾಲುದಾರ ಜೊತೆ ಮಾತಾಡಿದೆವು	We spoke with the partner
ನನ್ನ ಗೆಳೆಯ ಬಂದಿದ್ದಾನೆ	My boyfriend has come
ಗೆಳೆಯ ಜೊತೆ ನಡೆದೆವು	We walked with boyfriend
ನನ್ನ ಗೆಳತಿ ಓದುತ್ತಿದ್ದಾಳೆ	My girlfriend is studying
ಗೆಳತಿ ತುಂಬಾ ಸುಂದರ	Girlfriend is very beautiful
ನನ್ನ ಒಡಹುಟ್ಟಿದವರು ಮೂವರು	My siblings are three
ಒಡಹುಟ್ಟಿದವರು ಜೊತೆ ಇದ್ದಾರೆ	Siblings are together
ಅವನು ಒಬ್ಬ ವಯಸ್ಕ	He is an adult
ವಯಸ್ಕರು ಜವಾಬ್ದಾರಿಯಾಗಿರಬೇಕು	Adults should be responsible
ಅವರು ಅವಳಿ ಮಕ್ಕಳು	They are twin children
ಅವಳಿಗಳು ನೋಡಲು ಒಂದೇ ರೀತಿ	Twins look the same
ನೀರು ಕುಡಿರಿ	Drink water
ನೀರು ಇಲ್ಲ	There is no water
ಬ್ರೆಡ್ ತಂದು ಕೊಡಿ	Bring the bread
ಬ್ರೆಡ್ ಬೆಲೆ ಎಷ್ಟು?	What is the price of bread?
ಹಾಲು ಕುಡಿಯಿರಿ	Drink milk
ಹಾಲು ಬೆಳ್ಳಗೆ ಇರುತ್ತದೆ	Milk is white
ಚಹಾ ಬೇಕೆ?	Do you want tea?
ಚಹಾ ಬಿಸಿ ಇದೆ	The tea is hot
ಕಾಫಿ ಕುಡಿ	Drink coffee
ಕಾಫಿ ಚೆನ್ನಾಗಿದೆ	The coffee is good
ರಸ ಕುಡಿರಿ	Drink juice
ರಸ ಸಿಹಿಯಾಗಿದೆ	The juice is sweet
ಸೂಪ್ ಬಿಸಿ ಇದೆ	The soup is hot
ಸೂಪ್ ಕುಡಿಯಿರಿ	Drink the soup
ಅಕ್ಕಿ ಇಲ್ಲ	There is no rice
ಅಕ್ಕಿ ಚೆನ್ನಾಗಿದೆ	The rice is good
ಮೊಟ್ಟೆ ತಿನ್ನಿ	Eat the egg
ಮೊಟ್ಟೆ ಇಲ್ಲ	There is no egg
ಸೇಬು ಕೆಂಪಾಗಿದೆ	The apple is red
ಸೇಬು ತಿನ್ನಿ	Eat the apple
ಬಾಳೆಹಣ್ಣು ಹಣ್ಣಾಗಿದೆ	The banana is ripe
ಬಾಳೆಹಣ್ಣು ಸಿಹಿಯಾಗಿದೆ	The banana is sweet
ಕಿತ್ತಳೆ ತರರಿ	Bring the orange
ಕಿತ್ತಳೆ ಹಣ್ಣು ಹುಳಿ	The orange fruit is sour
ಮಾವು ಸಿಹಿಯಾಗಿದೆ	The mango is sweet
ಮಾವು ತಂದು ಕೊಡಿ	Bring the mango
ದ್ರಾಕ್ಷಿ ತಿನ್ನಿ	Eat the grape
ದ್ರಾಕ್ಷಿ ಹಣ್ಣು ಹಸಿರು	The grape fruit is green
