buenos dias, Juan.	good morning, Juan.
La meditación es calma.	Meditation is calm.
Práctica la meditación hoy.	Practice meditation today.
La nutrición es muy importante.	Nutrition is very important.
Estudio la nutrición básica.	I study basic nutrition.
Como mucha proteína.	I eat a lot of protein.
La proteína es necesaria.	Protein is necessary.
Esta caloria es alta.	This calorie is high.
Cuenta cada caloria.	Count every calorie.
Busco el bienestar total.	I seek total wellness.
El bienestar es clave.	Wellness is key.
Tengo una buena aptitud.	I have a good fitness.
La aptitud es necesaria.	Fitness is necessary.
La sociedad es muy grande.	The society is very large.
Ella estudia la sociedad.	She studies society.
Buscamos la igualdad real.	We seek real equality.
La igualdad es un derecho.	Equality is a right.
Mi comunidad es amable.	My community is friendly.
Vivo en una comunidad pequeña.	I live in a small community.
La campaña empieza hoy.	The campaign starts today.
Es una campaña electoral.	It is an electoral campaign.
Hay mucha desigualdad aquí.	There is much inequality here.
La desigualdad es un problema.	Inequality is a problem.
El prejuicio es malo.	Prejudice is bad.
No tenemos prejuicio.	We have no prejudice.
El bienestar es importante.	Welfare is important.
Busco mi bienestar personal.	I seek my personal welfare.
Él está sin hogar.	He is homeless.
Hay personas sin hogar.	There are homeless people.
El gobierno es lento.	The government is slow.
Hablamos con el gobierno.	We speak with the government.
La democracia es vital.	Democracy is vital.
Vivimos en una democracia.	We live in a democracy.
Necesito una vivienda nueva.	I need a new housing.
La vivienda es cara.	Housing is expensive.
La asistencia sanitaria es básica.	Healthcare is basic.
Busco asistencia sanitaria.	I seek healthcare.
La educación es clave.	Education is key.
Ella ama la educación.	She loves education.
Es una nueva generación.	It is a new generation.
Mi generación es joven.	My generation is young.
Somos una minoría.	We are a minority.
La minoría tiene voz.	The minority has a voice.
Estudio las finanzas hoy.	I study finance today.
Ella trabaja en finanzas.	She works in finance.
Recibí una bonificación pequeña.	I received a small bonus.
La bonificación es alta.	The bonus is high.
Tengo muchos valores aquí.	I have many stocks here.
Los valores bajaron hoy.	The stocks dropped today.
La quiebra fue rápida.	The bankruptcy was fast.
Evitamos la quiebra total.	We avoided total bankruptcy.
Es mi responsabilidad legal.	It is my legal liability.
No hay responsabilidad civil.	There is no civil liability.
La inflación es alta.	Inflation is high.
Odiamos la inflación actual.	We hate current inflation.
La recesión es global.	The recession is global.
Tememos una recesión larga.	We fear a long recession.
El crecimiento es lento.	The growth is slow.
Queremos crecimiento económico.	We want economic growth.
La industria es fuerte.	The industry is strong.
Trabajo en la industria.	I work in the industry.
Quiero invertir mi dinero.	I want to invest my money.
Es bueno invertir ahora.	It is good to invest now.
El comercio es vital.	Trade is vital.
Estudio el comercio local.	I study local trade.
Es un producto nuevo.	It is a new product.
Vendo este producto caro.	I sell this expensive product.
El margen de beneficio bajó.	The profit margin dropped.
Buscamos un margen de beneficio.	We seek a profit margin.
La investigación es muy larga.	The research is very long.
Necesito más investigación.	I need more research.
La teoria es compleja.	The theory is complex.
Tengo una teoria nueva.	I have a new theory.
La hipótesis es falsa.	The hypothesis is false.
Tengo una hipótesis.	I have a hypothesis.
El método es simple.	The method is simple.
Uso un método nuevo.	I use a new method.
La observación es clave.	The observation is key.
Hago una observación.	I am making an observation.
La conclusión es clara.	The conclusion is clear.
Busco una conclusión.	I am looking for a conclusion.
Puedo medir el agua.	I can measure the water.
Quieres medir el tiempo.	You want to measure the time.
Es difícil predecir el clima.	It is difficult to predict the weather.
No puedo predecir eso.	I cannot predict that.
Quiero comparar los precios.	I want to compare the prices.
Vamos a comparar todo.	Let's compare everything.
Debemos desarrollar el plan.	We must develop the plan.
Quiero desarrollar la idea.	I want to develop the idea.
La invención es genial.	The invention is great.
Es una invención vieja.	It is an old invention.
La innovación es necesaria.	Innovation is necessary.
Buscamos una innovación.	We are looking for an innovation.
La tecnología es rápida.	The technology is fast.
Uso la tecnología nueva.	I use the new technology.
La fisica es fascinante.	Physics is fascinating.
Estudio la fisica.	I study physics.
La genética es compleja.	Genetics is complex.
Leo sobre la genética.	I read about genetics.
La molécula es pequeña.	The molecule is small.
Veo la molécula.	I see the molecule.
Es un organismo vivo.	It is a living organism.
El organismo es raro.	The organism is rare.
Cuido el medio ambiente.	I take care of the environment.
El medio ambiente sufre.	The environment suffers.
El cambio es significativo.	The change is significant.
Es un dato significativo.	It is a significant piece of data.
Debo validar el dato.	I must validate the data.
Quiero validar la cuenta.	I want to validate the account.
Ella tiene una personalidad fuerte.	She has a strong personality.
No me gusta su personalidad.	I do not like his personality.
Mi estado de ánimo cambia mucho.	My mood changes a lot.
¿Cómo está tu estado de ánimo?	How is your mood?
El comportamiento del perro es bueno.	The dog's behaviour is good.
Necesitamos un mejor comportamiento.	We need better behaviour.
Él tiene mucha ambición.	He has a lot of ambition.
La ambición es importante.	Ambition is important.
Soy un hombre muy practico.	I am a very practical man.
El plan es muy practico.	The plan is very practical.
Él es muy determinado.	He is very determined.
Soy determinado en mi trabajo.	I am determined in my work.
La conclusión es muy clara.	The conclusion is very clear.
Busco una conclusión rápida.	I am looking for a quick conclusion.
Quiero reclamar mi equipaje.	I want to claim my luggage.
Él puede reclamar el premio.	He can claim the prize.
Tengo una perspectiva diferente.	I have a different perspective.
Cambia tu perspectiva ahora.	Change your perspective now.
El significado es profundo.	The significance is profound.
No entiendo el significado.	I don't understand the significance.
Hay una implicación grave.	There is a serious implication.
La implicación es obvia.	The implication is obvious.
Debemos evaluar el riesgo.	We must evaluate the risk.
Es difícil evaluar esto.	It is difficult to evaluate this.
Su razonamiento es lógico.	His reasoning is logical.
El razonamiento es lento.	The reasoning is slow.
El debate fue largo.	The debate was long.
No me gusta el debate.	I don't like the debate.
No debes criticar así.	You should not criticize like that.
Es fácil criticar.	It is easy to criticize.
Puedes interpretar el sueño.	You can interpret the dream.
Intenta interpretar la música.	Try to interpret the music.
Es bueno comparar.	It is good to compare.
Puedo concluir la historia.	I can conclude the story.
Es hora de concluir.	It is time to conclude.
Puedes inferir la respuesta.	You can infer the answer.
Trata de inferir más.	Try to infer more.
Puedes deducir la verdad.	You can deduce the truth.
Es difícil deducir eso.	It is difficult to deduce that.
Es un dato basado en evidencia.	It is an evidence-based datum.
El método es basado en evidencia.	The method is evidence-based.
El pasaporte es válido.	The passport is valid.
Tu argumento es válido.	Your argument is valid.
El código es inválido.	The code is invalid.
El acceso es inválido.	The access is invalid.
El juez es parcializado.	The judge is biased.
No seas parcializado.	Do not be biased.
Es un punto subjetivo.	It is a subjective point.
El arte es subjetivo.	Art is subjective.
El argumento es convincente.	The argument is convincing.
No es muy convincente.	It is not very convincing.
Los criterios son estrictos.	The criteria are strict.
Sigue los criterios.	Follow the criteria.
Esta es una debilidad.	This is a weakness.
Es una debilidad común.	It is a common weakness.
El problema es mundial.	The problem is global.
Es una crisis mundial.	It is a global crisis.
El cambio climático es real.	Climate change is real.
Evitemos el cambio climático.	Let us avoid climate change.
La inmigración es compleja.	Immigration is complex.
Hablamos sobre la inmigración.	We talk about immigration.
El plan es sostenible.	The plan is sustainable.
Busco un modo sostenible.	I seek a sustainable way.
El desarrollo es lento.	The development is slow.
Queremos el desarrollo económico.	We want economic development.
Controlamos la emisión.	We control the emission.
Hay mucha contaminación.	There is a lot of pollution.
Odiamos la contaminación.	We hate pollution.
La deforestación es grave.	Deforestation is serious.
Evitemos la deforestación.	Let us avoid deforestation.
La sequía es larga.	The drought is long.
Tememos una sequía.	We fear a drought.
La hambruna es terrible.	The famine is terrible.
No queremos la hambruna.	We do not want famine.
La migración es constante.	Migration is constant.
Estudio la migración.	I study migration.
La diplomacia es clave.	Diplomacy is key.
Usamos la diplomacia.	We use diplomacy.
La sanción es justa.	The sanction is fair.
la sanción es dura.	The sanction is harsh.
Es una coalición fuerte.	It is a strong coalition.
Formamos una coalición.	We form a coalition.
Es una alianza nueva.	It is a new alliance.
La alianza es útil.	The alliance is useful.
Necesito la vacuna.	I need the vaccine.
La vacuna es gratis.	The vaccine is free.
Es energía renovable.	It is renewable energy.
Busco algo renovable.	I look for something renewable.
La conservación es vital.	Conservation is vital.
Apoyo la conservación.	I support conservation.
La biodiversidad es rica.	Biodiversity is rich.
Protejamos la biodiversidad.	Let us protect biodiversity.
Buscamos la estabilidad.	We seek stability.
La estabilidad es buena.	Stability is good.
El personaje es muy malo.	The character is very bad.
Me gusta este personaje.	I like this character.
La galería es grande.	The gallery is big.
Voy a la galería.	I am going to the gallery.
La exposición termina hoy.	The exhibition ends today.
Es una exposición moderna.	It is a modern exhibition.
El lienzo es blanco.	The canvas is white.
Pinto en el lienzo.	I paint on the canvas.
El cepillo es pequeño.	The brush is small.
Uso un cepillo nuevo.	I use a new brush.
El retrato es antiguo.	The portrait is old.
Hago un retrato rápido.	I am making a quick portrait.
El paisaje es hermoso.	The landscape is beautiful.
Pinto un paisaje verde.	I paint a green landscape.
El resumen es corto.	The summary is short.
Leo el resumen ahora.	I read the summary now.
Siento una emoción fuerte.	I feel a strong emotion.
La emoción es clara.	The emotion is clear.
El círculo es un símbolo.	The circle is a symbol.
Es un símbolo sagrado.	It is a sacred symbol.
La metáfora es compleja.	The metaphor is complex.
Uso una metáfora simple.	I use a simple metaphor.
La narrativa es lenta.	The narrative is slow.
Es una narrativa oral.	It is an oral narrative.
El género es triste.	The genre is sad.
Busco un género nuevo.	I am looking for a new genre.
La ficción es divertida.	The fiction is fun.
Leo mucha ficción.	I read a lot of fiction.
Esto es no ficción.	This is non-fiction.
Prefiero la no ficción.	I prefer non-fiction.
El capitulo es largo.	The chapter is long.
Leo el primer capitulo.	I read the first chapter.
El dialogo es corto.	The dialogue is short.
No me gusta el dialogo.	I do not like the dialogue.
La audiencia aplaude mucho.	The audience applauds a lot.
Ellos requerir ayuda ahora.	They require help now.
Los trámites requerir tiempo.	The procedures require time.
Ellos consisten en tres partes.	They consist of three parts.
Las reglas consisten en esto.	The rules consist of this.
Quiero enfatizar este punto.	I want to emphasize this point.
Debemos enfatizar la calidad.	We must emphasize the quality.
Quieren establecer un plan.	They want to establish a plan.
Es difícil establecer la fecha.	It is difficult to establish the date.
Los precios pueden aumentar.	Prices can increase.
El ruido puede aumentar.	The noise can increase.
Los riesgos pueden disminuir.	The risks can decrease.
Las lluvias suelen disminuir.	The rains usually decrease.
Debemos reducir los costos.	We must reduce the costs.
Ella quiere reducir el azúcar.	She wants to reduce the sugar.
El negocio quiere expandir.	The business wants to expand.
Ellos buscan expandir el mapa.	They seek to expand the map.
No quiero desalentar el grupo.	I do not want to discourage the group.
Es triste desalentar el sueño.	It is sad to discourage the dream.
Trato de persuadir al jefe.	I try to persuade the boss.
Ella puede persuadir al cliente.	She can persuade the client.
Quiero sugerir una idea.	I want to suggest an idea.
Ellos suelen sugerir el camino.	They usually suggest the path.
Ellos suelen insistir mucho.	They usually insist a lot.
No quiero insistir más.	I do not want to insist more.
Suelo asumir el riesgo.	I usually assume the risk.
No debes asumir eso.	You should not assume that.
Tengo una estimación baja.	I have a low estimate.
La estimación es correcta.	The estimate is correct.
Puedo calcular el precio.	I can calculate the price.
Ellos saben calcular el tiempo.	They know how to calculate the time.
Debemos determinar la causa.	We must determine the cause.
Ella quiere determinar el valor.	She wants to determine the value.
Los ojos suelen reflejar miedo.	Eyes usually reflect fear.
Las aguas pueden reflejar luz.	The waters can reflect light.
Ellos quieren revelar el secreto.	They want to reveal the secret.
Debemos revelar la verdad.	We must reveal the truth.
La hipótesis es muy simple.	The hypothesis is very simple.
Tengo una hipótesis nueva.	I have a new hypothesis.
El paradigma cambió ayer.	The paradigm changed yesterday.
Es un nuevo paradigma.	It is a new paradigm.
La metodología es clara.	The methodology is clear.
Uso una metodología básica.	I use a basic methodology.
Es un fenómeno raro.	It is a rare phenomenon.
Vimos el fenómeno hoy.	We saw the phenomenon today.
No hay consenso aquí.	There is no consensus here.
Buscamos un consenso rápido.	We are looking for a quick consensus.
La correlación es débil.	The correlation is weak.
No existe una correlación.	There is no correlation.
Esta variable es fija.	This variable is fixed.
Cambio la variable ahora.	I am changing the variable now.
Sigue los criterios correctos.	Follow the correct criteria.
La justificación es lógica.	The rationale is logical.
Necesito una justificación breve.	I need a brief rationale.
El dato es empírico.	The datum is empirical.
Es un estudio empírico.	It is an empirical study.
El marco es teórico.	The framework is theoretical.
Tengo un modelo teórico.	I have a theoretical model.
La dimensión es pequeña.	The dimension is small.
Es una nueva dimensión.	It is a new dimension.
La encuesta es larga.	The survey is long.
Hago una encuesta hoy.	I am doing a survey today.
Estoy encontrando el error.	I am finding the error.
Sigo encontrando pistas.	I keep finding clues.
El conjunto de datos es grande.	The data set is large.
Uso el conjunto de datos.	I use the data set.
Las estadísticas son claras.	The statistics are clear.
Mira las estadísticas hoy.	Look at the statistics today.
Es un salto significativo.	It is a significant jump.
La relevancia es alta.	The relevance is high.
No tiene mucha relevancia.	It does not have much relevance.
La validez es dudosa.	The validity is doubtful.
Buscamos la validez total.	We seek total validity.
La confiabilidad es clave.	The reliability is key.
Es una fuente de confiabilidad.	It is a source of reliability.
El alcance es limitado.	The scope is limited.
Definimos el alcance ahora.	We define the scope now.
Es una limitación real.	It is a real limitation.
Tengo una limitación técnica.	I have a technical limitation.
No podemos extrapolar esto.	We cannot extrapolate this.
Es difícil extrapolar datos.	It is difficult to extrapolate data.
Debemos cuantificar el riesgo.	We must quantify the risk.
Quiero cuantificar los resultados.	I want to quantify the results.
Necesito sintetizar la idea.	I need to synthesize the idea.
Puedes sintetizar el texto.	You can synthesize the text.
La crítica es justa.	The critique is fair.
Hago una crítica breve.	I am making a brief critique.
Quiero examinar el caso.	I want to examine the case.
Debemos examinar la prueba.	We must examine the evidence.
Es una afirmación falsa.	It is a false assertion.
Su afirmación es correcta.	His assertion is correct.
La premisa es simple.	The premise is simple.
Cambia la premisa ahora.	Change the premise now.
Debes delegar más tareas hoy.	You must delegate more tasks today.
Es difícil delegar todo el trabajo.	It is difficult to delegate all the work.
Esto puede facilitar el proceso.	This can facilitate the process.
Quiero facilitar la comunicación.	I want to facilitate communication.
Vamos a implementar el plan.	We are going to implement the plan.
Es hora de implementar cambios.	It is time to implement changes.
Ella debe supervisar el equipo.	She must oversee the team.
Él prefiere supervisar el proyecto.	He prefers to oversee the project.
Debemos racionalizar el gasto.	We must streamline the spending.
Ayúdanos a racionalizar el flujo.	Help us streamline the flow.
Debes priorizar tus metas.	You must prioritize your goals.
Es vital priorizar la salud.	It is vital to prioritize health.
Queremos optimizar el tiempo.	We want to optimize the time.
Podemos optimizar el sistema.	We can optimize the system.
Necesitamos elaborar estrategias nuevas.	We need to develop new strategies.
Ellos saben elaborar estrategias.	They know how to develop strategies.
Quiero planear el viaje.	I want to plan the trip.
Debemos planear la reunión.	We must plan the meeting.
Puedo organizar la oficina.	I can organize the office.
Ella sabe organizar eventos.	She knows how to organize events.
Debemos coordinar la logística.	We must coordinate the logistics.
Él puede coordinar el grupo.	He can coordinate the group.
Aprendo a gestionar el tiempo.	I am learning to manage time.
Ella sabe gestionar crisis.	She knows how to manage crises.
Él sabe liderar equipos.	He knows how to lead teams.
Quieres liderar el proyecto.	You want to lead the project.
Debemos motivar al equipo.	We must motivate the team.
Palabras que pueden motivar.	Words that can motivate.
Ellos quieren inspirar confianza.	They want to inspire confidence.
Tus ideas pueden inspirar otros.	Your ideas can inspire others.
Él debe supervisar la obra.	He must supervise the work.
Ella prefiere supervisar sola.	She prefers to supervise alone.
Debemos evaluar los resultados.	We must evaluate the results.
