அவன் யார்?	Who is he?
அவன் கயிற்றை விட்டான்	He let go of the rope.
நான் இப்பொழுது போக வேண்டும்	I have to go now.
இது ஒரு கேக்கின் துண்டு	It's a piece of cake.
நாங்கள் நடக்க ஆரம்பித்தோம்	We started to walk.
அவள் பியானோ வாசிக்கிறாளோ?	Does she play piano?
அவள் சொல்வதைக் கேட்காதீர்	Don't listen to her.
அவள் அவனோடு நடனம் ஆடினாள்	She danced with him.
டாமும் நானும் நண்பர்கள்	Tom and I are friends.
செய்தி வேகமாக பரவியது	The news quickly spread.
டாம் ரொம்ப வேகமாக ஓடுகிறான்	Tom runs very fast.
என் கூட யாரும் பேசுவதில்லை	Nobody speaks to me.
அவர் உங்களுடைய நண்பரா?	Is he a friend of yours?
இது எப்பொழுது ஆரம்பிக்கிறது?	When does it begin?
பந்தை என்னிடம் உருட்டி விடு	Roll the ball to me.
அவள் முட்டைகளை வேக வைத்தாள்	She boiled the eggs.
அவன் ஏரியில் நீச்சலடித்தான்	We swam in the lake.
அந்த பையன் அழ ஆரம்பித்தான்	The boy began to cry.
வயோதிகர்களிடம் அன்பாக இரு	Be kind to old people.
நீ பணக்காரராக விருப்பமா?	Do you want to be rich?
நான் பள்ளிக்கு நடந்து செல்கிறேன்	I walk to school.
அவன் சீக்கிரம் திரும்பி வந்தான்	He came back soon.
அவள் இதை அவனுக்குக் கொடுத்தாள்	She gave it to him.
அவள் எனக்கு அருகில் அமர்ந்தாள்	She sat next to me.
அவனிடம் நிறைய பணமிருக்கிறது	He has a lot of money.
எப்பொழுது நம்மால் சாப்பிட முடியும்	When can we eat?
அவள் அவனிடம் அன்பாக இருக்கிறாள்	She is kind to him.
நான் இப்பொழுது கிளம்ப வேண்டும்	I have to leave now.
அவளிடம் 2000 புத்தகங்கள் உள்ளன	She has 2,000 books.
குடித்துவிட்டு வண்டி ஓட்டாதே	Don't drink and drive.
உங்கள் பிறந்த நாள் எப்போது ?	When is your birthday?
என்னுடைய கணக்கிற்கு மாற்று	Charge it to my account.
என்னிடம் பணம் குறைவாக இருக்கிறது	I'm short of money.
உன்னிடம் ஏதாவது பசை இருக்கிறதா?	Do you have any gum?
எனக்குக் கரடிகளைக கண்டால் பயம்	I am afraid of bears.
அவனுக்கு நிறைய பணம் கிடைத்தது	He got a lot of money.
அவனுக்குக் கடல் என்றால் பயம்	He's afraid of the sea.
அவனுக்கு நெருக்கமாக நின்றாள்	She stood close to him.
எனக்கு அவளோடு நிச்சயமாகியிருக்கு	I am engaged to her.
இந்த ஆப்பிள் இனிப்பாக இருக்கிறது	This apple is sweet.
அவன் எனக்குப் பதிலாக சேன்றான்	He went in place of me.
அவர்கள் கிளம்ப இருக்கிறார்கள்	They're about to leave.
நான் உன்னை விட உயரமாக இருக்கிறேன்	I'm taller than you.
தேவதைகளின் மொழி இசை .	Music is the language of angels.
நான் என்ன செய்ய வேண்டும் என்று சொல்	Tell me what to do.
ஆறு மணிக்கு முன்பு வீட் டிற்கு வா	Come home before six.
அவனுக்கு இறந்து போவதென்றால் பயம்	He is afraid of death.
நான் டாக்ஸியிலிருந்து இறங்கினேன்	I got out of the taxi.
அவர்கள் மேரியை கிண்டலடித்தார்கள்	They made fun of Mary.
இந்த சீடி அவளுக்குச் சொந்தமானது	This CD belongs to her.
நீ வர வேண்டுமென விரும்புகிறேன்	I just want you to come.
எனக்கு சாப்பிட ஏதாவது வேண்டும்	I want something to eat.
என்ன செய்வது என்பது எனக்குத் தெரியும்	I know what to do.
என் மகனைப் பற்றி பெருமைப் படுகிறேன்	I'm proud of my son.
அவன் வருவான் என எதிர் பார்க்கிறேன்	I expect him to come.
அவனுக்கு எழுதப் படிக்கத் தெரியும்	He can read and write.
போய் உன் தந்தையருகில் அமரவும்	Go and sit by your father.
டாம் கால்பந்தை எடுத்தார்.	Tom picked up the soccer ball.
நான் வீட்டிற்கு நடக்க வேண்டியிருந்தது	I had to walk home.
எங்களுக்கு உணவு தட்டுப்பாடு ஏற்பட்டது	We ran out of food.
நீங்கள் போகத் தயாராக இருக்கிறீர்களா?	Are you ready to go?
அவனுக்கு நீச்சல் மீது பற்று உண்டு	He is fond of swimming.
எங்களை உதவி செய்யும்படி கேட்டான்	He asked us to help him.
உடனே வந்து என்னைப் பார்க்கவும்	Come and see me right now.
டாம் ஒரு பிரபலமான வழக்கறிஞர்.	Tom is a well-known lawyer.
நீ எப்பொழுது ஜப்பான் வந்தாய்?	When did you come to Japan?
இந்த தொப்பியின் விலை என்ன?	What is the price of this cap?
நான் ஒரு விதமான மகிழ்ச்சியிலிருக்கிறேன்	I'm kind of happy.
நாங்கள் அனைவரும் அமைதியாக இருந்தோம்	All of us were silent.
அவர்களுக்கு பாம்புகள் என்றால் பயம்	He is afraid of snakes.
அவள் அவனுக்கு நிச்சயிக்கப் பட்டாள்	She got engaged to him.
நான் கீழ் தளத்தில் வசிக்கிறேன்	I live on the bottom floor.
அவள் அழகான ஆடை அணிந்திருந்தாள்	She wore a beautiful dress.
அவனைக் கொஞ்சம் பணம் கேட்டாள்	She asked him for some money.
ஒரு நாயின் படத்தை வரைந்தான்	He painted a picture of a dog.
ஏன் அந்தத் தவறைச் செய்தாய்?	Why did you make that mistake?
தங்களுடைய தந்தையார் எப்படி இருக்கிறார்கள்?	How is your dad?
தூக்கத்திலிருந்து எழுவதற்கான நேரம் இது	It's time to get up.
இது உங்களுக்கு சம்பந்தமில்லாத விஷயம்	None of your business.
அவர்கள் எல்லோரும் அங்கே சென்றார்கள்	All of them went there.
நான் அதை உன்னிடம் விட்டு விடுகிறேன்	I'll leave that to you.
அவன் ஒவ்வொருவருக்கும் அறிமுகமானவன்	He is known to everyone.
அவள் அறையை விட்டு வெளியே சென்றாள்	She went out of the room.
மெதுவாகவும் தெளிவாகவும் பேசுங்கள்	Speak slowly and clearly.
அவள் எதற்கும் பயப்படுவதில்லை	She is not afraid of anything.
உங்களுக்கு சைக்கிள் ஓட்டத் தெரியுமா?	Can you ride a bicycle?
நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்	He bought a pair of shoes.
மது அருந்தும் வயதல்ல உங்களது	You're not old enough to drink.
அவள் உன்னை வெறுக்கிற மாதிரி தெரிகிறது	It seems she hates you.
நீ என்ன செய்யத் திட்டமிட்டிருக்கிறாய்	What do you plan to do?
அவள் அவனுக்கு ஒரு புத்தகத்தைக் கொடுத்தாள்	She gave him a book.
நான் வேலை பளுவினால் சோர்வாகயிருக்கிறேன்	I am tired of my work.
நாங்கள் திருடனுக்குப் பின்னால் ஓடினோம்	We ran after the thief.
நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.	I thought you'd be angry.
இவர்களில் யார் உன்னுடைய சகோதரர்	Which of them is your brother?
நீ காவலன் என்பதை டாமிடம் சொல்லாதே.	Don't tell Tom you're a cop.
மணி ஒலித்தப் பிறகு அவன் வந்தான்	He arrived after the bell rang.
அவனுக்கு நம்மைப் தெரியும் என்று தோன்றுகிறது	He seems to know us.
நான் வெளி நாட்டிற்குச் செல்ல விரும்புகிறேன்	I want to go abroad.
ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன	A square has four sides.
உன்னைப் பார்ப்பதில் நான் மகிழ்ச்சி அடைகிறேன்	I'm glad to see you.
ஜேப்படிகாரர்களிடம் ஜாக்கிரதையாக இருக்கவும்	Beware of pickpockets.
மற்றவர்களுக்கு முன்னே நான் வந்தேன்	I arrived ahead of the others.
அவன் அபாயத்தை அறிந்திருக்க வில்லை	He was not aware of the danger.
கல்யாணம் எப்பொழுது நடைப் பெற்றது	When did the wedding take place?
இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்	Please sit here and wait.
உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?	Do you have a lot of pens?
எனக்கு ஒரு குவளை பால் தாருங்கள் .	Please bring me a glass of milk.
மூன்று மோசமான நாய்கள் டாமை தாக்கின	Three vicious dogs attacked Tom.
நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை	Friendship requires mutual trust.
வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன	The sky is full of stars.
டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்	I sat between Tom and John.
டாம் ஒரு தபால் ஊழியராக பணிபுரிந்தார்.	Tom worked as a postal worker.
அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்	She got married to him.
டாம் உங்களை விட இளையவராக தெரிகிறார்.	Tom looks much younger than you.
டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.	Tom told me about it himself.
அதைப்பற்றி எண்ணிக்கொண்டிருக்காதே. செயல்படு	Don't think about it. Do it.
நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?	Where do you keep your passport?
அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா	Do you know when he will come?
முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது	The price of eggs is going up.
இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.	There's no easy way out of here.
அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்	She glanced through the magazine.
அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்	He put the ring on Mary's finger.
டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.	Tom drank with us until after midnight.
என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்	My younger sister got married in her teens.
