#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
(1) left and right; (2) influence; control; domination	(1) ಎಡ ಮತ್ತು ಬಲ; (2) ಪ್ರಭಾವ; ನಿಯಂತ್ರಣ; ಪ್ರಾಬಲ್ಯ
(1) line; procession; (2) matrix (math)	(1) ಸಾಲು; ಮೆರವಣಿಗೆ; (2) ಮ್ಯಾಟ್ರಿಕ್ಸ್ (ಗಣಿತ)
(1) mark; (2) symbol; (3) evidence	(1) ಗುರುತು; (2) ಚಿಹ್ನೆ; (3) ಸಾಕ್ಷಿ
(1) mouse; rat; (2) dark gray; slate color	(1) ಮೌಸ್; ಇಲಿ; (2) ಗಾಢ ಬೂದು; ಸ್ಲೇಟ್ ಬಣ್ಣ
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(1) ಮತ್ತೊಂದೆಡೆ; (2) ಅಷ್ಟರಲ್ಲಿ; (3) ಮಾತ್ರ; ಸರಳ; ಪ್ರತಿಯಾಗಿ
(1) one day; (2) first of month	(1) ಒಂದು ದಿನ; (2) ತಿಂಗಳ ಮೊದಲ
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) ಒಂದು ವಸ್ತು; ಒಂದು ದೇಹ; (2) ಭೂಮಿಯ ಮೇಲೆ ಏನು?; ನಿಜವಾಗಿಯೂ?; (3) ಸಾಮಾನ್ಯವಾಗಿ
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) ಆದೇಶ; ಆದ್ಯತೆ; (2) ಸಂದರ್ಭಗಳು; (3) ತಕ್ಷಣ (ಲಿ)
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) ಸಂಸ್ಥೆ; (2) ರಚನೆ; ನಿರ್ಮಾಣ; (3) ಅಂಗಾಂಶ; (4) ವ್ಯವಸ್ಥೆ
(1) origin; original; (2) former	(1) ಮೂಲ; ಮೂಲ; (2) ಮಾಜಿ
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) ಪೈನ್ ಮರ; (2) ಅತ್ಯಧಿಕ (ಮೂರು ಹಂತದ ಶ್ರೇಯಾಂಕ ವ್ಯವಸ್ಥೆ)
(1) player (in game); (2) team	(1) ಆಟಗಾರ (ಆಟದಲ್ಲಿ); (2) ತಂಡ
(1) remodeling; (2) modding (comp)	(1) ಮರುರೂಪಿಸುವಿಕೆ; (2) ಮಾಡ್ಡಿಂಗ್ (comp)
(1) request; commission; dispatch; (2) dependence; trust	(1) ವಿನಂತಿ; ಆಯೋಗ; ರವಾನೆ; (2) ಅವಲಂಬನೆ; ನಂಬಿಕೆ
(1) seed; (2) material; (3) cause; source	(1) ಬೀಜ; (2) ವಸ್ತು; (3) ಕಾರಣ; ಮೂಲ
(1) service; duty; (2) Buddhist religious services	(1) ಸೇವೆ; ಕರ್ತವ್ಯ; (2) ಬೌದ್ಧ ಧಾರ್ಮಿಕ ಸೇವೆಗಳು
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) ಸೇವೆ; ಕರ್ತವ್ಯ; ವ್ಯಾಪಾರ; ಜವಾಬ್ದಾರಿ; ಕಾರ್ಯ; (2) ಬೌದ್ಧ ಧಾರ್ಮಿಕ ಸೇವೆಗಳು
(1) silver; silver coin; silver paint	(1) ಬೆಳ್ಳಿ; ಬೆಳ್ಳಿ ನಾಣ್ಯ; ಬೆಳ್ಳಿ ಬಣ್ಣ
(1) string; cord; (2) pimp	(1) ಸ್ಟ್ರಿಂಗ್; ಬಳ್ಳಿಯ; (2) ಪಿಂಪ್
(1) strong point; merit; (2) advantage	(1) ಬಲವಾದ ಬಿಂದು; ಅರ್ಹತೆ; (2) ಅನುಕೂಲ
(1) time; hour; (2) occasion; moment	(1) ಸಮಯ; ಗಂಟೆ; (2) ಸಂದರ್ಭ; ಕ್ಷಣ
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) ಅಳವಡಿಸಿಕೊಳ್ಳಲು (ಅಳತೆ; ಪ್ರಸ್ತಾವನೆ); (2) ಆರಿಸಲು (ಹಣ್ಣು)
(1) to appear; to attend (2) to exit	(1) ಕಾಣಿಸಿಕೊಳ್ಳಲು; ಹಾಜರಾಗಲು (2) ನಿರ್ಗಮಿಸಲು
(1) to appear; to come in sight; to become visible; (2) to express oneself	(1) ಕಾಣಿಸಿಕೊಳ್ಳಲು; ದೃಷ್ಟಿಯಲ್ಲಿ ಬರಲು; ಗೋಚರವಾಗಲು; (2) ತನ್ನನ್ನು ತಾನು ವ್ಯಕ್ತಪಡಿಸಲು
(1) to attach; to join; to add; to append	(1) ಲಗತ್ತಿಸಲು; ಸೇರಲು; ಸೇರಿಸಲು; ಸೇರಿಸಲು
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) ತಪ್ಪಿಸಲು (ದೈಹಿಕ ಸಂಪರ್ಕ); (2) ದೂರವಿಡಲು; ತಪ್ಪಿಸಲು
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) ಮುಗಿಸಲು; ಸಿದ್ಧವಾಗಿರಲು; ವ್ಯಾಖ್ಯಾನದಿಂದ; (2) ತುಂಬಾ ಕುಡಿದಿರುವುದು
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) ಸರಿಪಡಿಸಲಾಗುವುದು; (2) ಪಾಲಿಸಲು; ಉಳಿಯಲು (ಒಂದೇ ಸ್ಥಳದಲ್ಲಿ)
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(1) ಉಸಿರಾಡಲು; (2) ಹೇಳಲು (ಸುಳ್ಳು); (3) ವಾಂತಿ ಮಾಡಲು; ವಿಸರ್ಜಿಸಲು
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) ಒಳಗೊಂಡಿರುವುದು; ಖಾತೆಗೆ; ರೂಪಿಸಲು (ನ); (2) ಹಿಡಿದಿಡಲು; ಆಕ್ರಮಿಸಲು
(1) to cut well; to be sharp; (2) to break (off)	(1) ಚೆನ್ನಾಗಿ ಕತ್ತರಿಸಲು; ತೀಕ್ಷ್ಣವಾಗಿರಲು; (2) ಮುರಿಯಲು (ಆಫ್)
(1) to date (someone) (2) to keep company	(1) ಇಲ್ಲಿಯವರೆಗೆ (ಯಾರಾದರೂ) (2) ಕಂಪನಿಯನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(1) ಅವಮಾನಕ್ಕೆ; ಅವಮಾನ ಮಾಡಲು; (2) ಮಾಲಿನ್ಯಕ್ಕೆ; ಕಲುಷಿತಗೊಳಿಸಲು; ಮಣ್ಣಿಗೆ; ಕೊಳಕು ಮಾಡಲು; ಕಲೆ ಹಾಕಲು
(1) to draw (water); to dip; to scoop; to pump	(1) ಸೆಳೆಯಲು (ನೀರು); ಅದ್ದಲು; ಸ್ಕೂಪ್ ಮಾಡಲು; ಪಂಪ್ ಮಾಡಲು
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(1) ಓಡಿಸಲು; ಹಾದುಹೋಗಲು; (2) ತಪ್ಪಿಸಿಕೊಳ್ಳಲು; ಮರೆಮಾಡಲು; (3) ಧುಮುಕುವುದು (ನೀರಿನೊಳಗೆ ಅಥವಾ ಅಡಿಯಲ್ಲಿ); ಭೂಗತ ಹೋಗಲು
(1) to govern; to manage; (2) to subdue	(1) ಆಡಳಿತಕ್ಕೆ; ನಿರ್ವಹಿಸಲು; (2) ನಿಗ್ರಹಿಸಲು
(1) to grow; to spring up; (2) to cut (teeth)	(1) ಬೆಳೆಯಲು; ಸ್ಪ್ರಿಂಗ್ ಅಪ್; (2) ಕತ್ತರಿಸಲು (ಹಲ್ಲು)
(1) to invite; to ask; (2) to tempt; to lure; to induce	(1) ಆಹ್ವಾನಿಸಲು; ಕೇಳಲು; (2) ಪ್ರಲೋಭನೆಗೆ; ಆಮಿಷಕ್ಕೆ; ಪ್ರಚೋದಿಸಲು
(1) to open; to become empty; (2) to be less crowded	(1) ತೆರೆಯಲು; ಖಾಲಿಯಾಗಲು; (2) ಕಡಿಮೆ ಜನಸಂದಣಿ ಇರುವುದು
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(1) ಎಳೆಯಲು; ಸೆಳೆಯಲು; ಹಿಗ್ಗಿಸಲು; ಎಳೆಯಲು; (2) ಚೆಂಡನ್ನು ಎಳೆಯಲು (ಬೇಸ್‌ಬಾಲ್)
(1) to retreat; to recede; to withdraw	(1) ಹಿಮ್ಮೆಟ್ಟಲು; ಹಿಮ್ಮೆಟ್ಟಿಸಲು; ಹಿಂತೆಗೆದುಕೊಳ್ಳಲು
(1) to see off; to farewell; (2) to escort; (3) to let pass	(1) ಆಫ್ ನೋಡಲು; ವಿದಾಯಕ್ಕೆ; (2) ಬೆಂಗಾವಲು; (3) ಪಾಸ್ ಮಾಡಲು
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) ಬಡಿಸಲು (ಆಹಾರ; ಇತ್ಯಾದಿ); (2) ತುಂಬಲು; (3) ಸೂಚಿಸಲು
(1) to serve; to fill a post; to serve under; to work (for)	(1) ಸೇವೆ ಮಾಡಲು; ಒಂದು ಹುದ್ದೆಯನ್ನು ತುಂಬಲು; ಅಡಿಯಲ್ಲಿ ಸೇವೆ ಮಾಡಲು; ಕೆಲಸ ಮಾಡಲು (ಇದಕ್ಕಾಗಿ)
(1) to thrust; to strike; (2) to poke	(1) ತಳ್ಳಲು; ಹೊಡೆಯಲು; (2) ಇರಿಯಲು
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(1) ಅಲೆಯಲು; ಅಲುಗಾಡಿಸಲು; ಸ್ವಿಂಗ್ ಮಾಡಲು; (2) ಚಿಮುಕಿಸಲು; (3) ಬಿತ್ತರಿಸಲು (ನಟ); ನಿಯೋಜಿಸಲು (ಕೆಲಸ)
(1) token; label; (2) ticket; (3) charm	(1) ಟೋಕನ್; ಲೇಬಲ್; (2) ಟಿಕೆಟ್; (3) ಮೋಡಿ
(1) town; (2) street; road	(1) ಪಟ್ಟಣ; (2) ಬೀದಿ; ರಸ್ತೆ
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) ಜಾಡು; ಹಾಡುಗಳು; ಗುರುತು; ಚಿಹ್ನೆ; (2) ಉಳಿದಿದೆ; ಅವಶೇಷಗಳು; (3) ಗಾಯದ ಗುರುತು
(1) used; second-hand; old	(1) ಬಳಸಲಾಗುತ್ತದೆ; ಸೆಕೆಂಡ್ ಹ್ಯಾಂಡ್; ಹಳೆಯದು
(1) water level; (2) level; standard	(1) ನೀರಿನ ಮಟ್ಟ; (2) ಮಟ್ಟ; ಪ್ರಮಾಣಿತ
(1) weight; (2) heavyweight boxer	(1) ತೂಕ; (2) ಹೆವಿವೇಯ್ಟ್ ಬಾಕ್ಸರ್
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(1) ಸಂಪೂರ್ಣವಾಗಿ; ಸಂಪೂರ್ಣವಾಗಿ; ಸಂಪೂರ್ಣವಾಗಿ; (2) ಇಲ್ಲ (ನೆಗ್. ಕ್ರಿಯಾಪದದೊಂದಿಗೆ)
(I am) the tallest in the family.	(ನಾನು) ಕುಟುಂಬದಲ್ಲಿ ಅತಿ ಎತ್ತರದವನು.
(I) drink coffee every morning.	(ನಾನು) ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಕಾಫಿ ಕುಡಿಯುತ್ತೇನೆ.
(I) eat at a restaurant.	(ನಾನು) ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ತಿನ್ನಿರಿ.
(I) eat bread.	(ನಾನು) ಬ್ರೆಡ್ ತಿನ್ನಿರಿ.
(I) go to Japan.	(I) ಜಪಾನ್‌ಗೆ ಹೋಗು.
(I) watch a movie with a friend.	(ನಾನು) ಸ್ನೇಹಿತನೊಂದಿಗೆ ಚಲನಚಿತ್ರವನ್ನು ವೀಕ್ಷಿಸಿ.
(It) is not Mike.	(ಇದು) ಮೈಕ್ ಅಲ್ಲ.
(a person) is in ...; stays at ...	(ಒಬ್ಬ ವ್ಯಕ್ತಿ) ರಲ್ಲಿ ...; ಇರುತ್ತದೆ ...
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(ಎ) ಸಂತೋಷ; (ಎ) ಆನಂದ; ರ್ಯಾಪ್ಚರ್; ಆನಂದ; ತೃಪ್ತಿ; ಸಂತೋಷಪಡುವುದು; ಅಭಿನಂದನೆಗಳು; ಅಭಿನಂದನೆಗಳು
(abbr) Friday	(abbr) ಶುಕ್ರವಾರ
(abbr) Tuesday	(abbr) ಮಂಗಳವಾರ
(abbr) alarm-clock	(abbr) ಅಲಾರಾಂ ಗಡಿಯಾರ
(at) any time; always; at all times; never (neg); whenever	(at) ಯಾವುದೇ ಸಮಯದಲ್ಲಿ; ಯಾವಾಗಲೂ; ಎಲ್ಲಾ ಸಮಯದಲ್ಲೂ; ಎಂದಿಗೂ (ನೆಗ್); ಯಾವಾಗಲಾದರೂ
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(ateji) (adv int) (uk) ಕೇವಲ ಒಂದು ನಿಮಿಷ; ಸ್ವಲ್ಪ ಸಮಯ; ಸ್ವಲ್ಪ ಸಮಯ; ಕೇವಲ ಸ್ವಲ್ಪ; ಸ್ವಲ್ಪಮಟ್ಟಿಗೆ; ಸುಲಭವಾಗಿ; ಸುಲಭವಾಗಿ; ರಥ
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (uk) ಅಭಿನಂದನೆಗಳು!; ಒಂದು ಶುಭ ಸಂದರ್ಭ!
(audio) recording	(ಆಡಿಯೋ) ರೆಕಾರ್ಡಿಂಗ್
(bank) savings	(ಬ್ಯಾಂಕ್) ಉಳಿತಾಯ
(by) chance; unexpectedly; suddenly	(ಮೂಲಕ) ಅವಕಾಶ; ಅನಿರೀಕ್ಷಿತವಾಗಿ; ಇದ್ದಕ್ಕಿದ್ದಂತೆ
(car) wheel	(ಕಾರು) ಚಕ್ರ
(col) round trip; coming and going; return ticket	(col) ರೌಂಡ್ ಟ್ರಿಪ್; ಬರುವುದು ಮತ್ತು ಹೋಗುವುದು; ರಿಟರ್ನ್ ಟಿಕೆಟ್
(col) urine; piss	(ಕೋಲ್) ಮೂತ್ರ; ಪಿಸ್
(consumer) prices	(ಗ್ರಾಹಕ) ಬೆಲೆಗಳು
(do something) early; fast	(ಏನಾದರೂ ಮಾಡಿ) ಬೇಗ; ವೇಗವಾಗಿ
(do something) late	(ಏನಾದರೂ ಮಾಡಿ) ತಡವಾಗಿ
(do something) oneself	(ಏನಾದರೂ ಮಾಡಿ) ಸ್ವತಃ
(enrolled) in school	(ದಾಖಲಾತಿ) ಶಾಲೆಯಲ್ಲಿ
(fine) art; the arts	(ಉತ್ತಮ) ಕಲೆ; ಕಲೆಗಳು
(flash of) lightning	(ಮಿಂಚು) ಮಿಂಚು
(flower) petal	(ಹೂವು) ದಳ
(food is) terrible	(ಆಹಾರ) ಭಯಾನಕ
(foot) race	(ಕಾಲು) ಓಟ
(giving) birth	(ಕೊಡುವ) ಜನ್ಮ
(going) side by side; concurrent; abreast; at the same time	(ಹೋಗುವ) ಪಕ್ಕದಲ್ಲಿ; ಏಕಕಾಲೀನ; ಪಕ್ಕದಲ್ಲಿ; ಅದೇ ಸಮಯದಲ್ಲಿ
(gram) subject	(ಗ್ರಾಂ) ವಿಷಯ
(hand) towel	(ಕೈ) ಟವೆಲ್
(hon) aunt	(ಗೌರವ) ಚಿಕ್ಕಮ್ಮ
(hon) good; OK; all right; fine; very well; will do; may; can	(ಗೌರವ) ಒಳ್ಳೆಯದು; ಸರಿ; ಸರಿ; ದಂಡ; ಚೆನ್ನಾಗಿದೆ; ಮಾಡುತ್ತೇನೆ; ಮೇ; ಮಾಡಬಹುದು
(hon) look; inspection; try	(ಹಾನ್) ನೋಡಿ; ತಪಾಸಣೆ; ಪ್ರಯತ್ನಿಸಿ
(hon) to give; to confer	(ಗೌರವ) ನೀಡಲು; ನೀಡಲು
(hon) to visit; to ask; to inquire	(ಗೌರವ) ಭೇಟಿ ಮಾಡಲು; ಕೇಳಲು; ವಿಚಾರಿಸಲು
(honorable) father	(ಗೌರವಾನ್ವಿತ) ತಂದೆ
(honorable) mother	(ಗೌರವಾನ್ವಿತ) ತಾಯಿ
(honorable) older brother	(ಗೌರವಾನ್ವಿತ) ಅಣ್ಣ
(honorable) older sister	(ಗೌರವಾನ್ವಿತ) ಅಕ್ಕ
(honorable) wife	(ಗೌರವಾನ್ವಿತ) ಪತ್ನಿ
(honorable) your husband	(ಗೌರವಾನ್ವಿತ) ನಿಮ್ಮ ಪತಿ
(hum) (pol) seeing; look at	(ಹಮ್) (ಪೋಲ್) ನೋಡುವುದು; ನೋಡು
(hum) to hear; to be told; to know	(ಹಮ್) ಕೇಳಲು; ಹೇಳಬೇಕು; ತಿಳಿಯಲು
(hum) to know	(ಹಮ್) ತಿಳಿಯಲು
(human) life	(ಮಾನವ) ಜೀವನ
(human) life (i.e. conception to death)	(ಮಾನವ) ಜೀವನ (ಅಂದರೆ ಮರಣಕ್ಕೆ ಪರಿಕಲ್ಪನೆ)
(humble) I; myself	(ವಿನಮ್ರ) ನಾನು; ನಾನೇ
(humble) daughter	(ವಿನಮ್ರ) ಮಗಳು
(humble) older brother	(ವಿನಮ್ರ) ಅಣ್ಣ
(humble) older sister	(ವಿನಮ್ರ) ಅಕ್ಕ
(humble) siblings	(ವಿನಮ್ರ) ಒಡಹುಟ್ಟಿದವರು
(humble) son	(ವಿನಮ್ರ) ಮಗ
(humble) to be called; to say	(ವಿನಮ್ರ) ಎಂದು ಕರೆಯಬೇಕು; ಹೇಳಲು
(humble) to do	(ವಿನಮ್ರ) ಮಾಡಲು
(humble) to go; to come	(ವಿನಮ್ರ) ಹೋಗಲು; ಬರಲು
(humble) to look at	(ವಿನಮ್ರ) ನೋಡಲು
(humble) to say; to tell	(ವಿನಮ್ರ) ಹೇಳಲು; ಹೇಳಲು
(humble) wife	(ವಿನಮ್ರ) ಹೆಂಡತಿ
(humble) younger sister	(ವಿನಮ್ರ) ತಂಗಿ
(in) charge	(ಇನ್) ಚಾರ್ಜ್
(in) the evening sun; setting sun	(ಇನ್) ಸಂಜೆ ಸೂರ್ಯ; ಸೂರ್ಯಾಸ್ತಮಾನ
(informal) You (used by men towards women)	(ಅನೌಪಚಾರಿಕ) ನೀವು (ಪುರುಷರು ಮಹಿಳೆಯರ ಕಡೆಗೆ ಬಳಸುತ್ತಾರೆ)
(it's a pity to waste) the effort	(ಇದು ವ್ಯರ್ಥ ಮಾಡುವುದು ಕರುಣೆಯಾಗಿದೆ) ಪ್ರಯತ್ನ
(logical) true; regular	(ತಾರ್ಕಿಕ) ನಿಜ; ನಿಯಮಿತ
(male) (vulg) to eat	(ಪುರುಷ) (vulg) ತಿನ್ನಲು
(measuring) ruler	(ಅಳತೆ) ಆಡಳಿತಗಾರ
(member of) political party	(ಸದಸ್ಯರು) ರಾಜಕೀಯ ಪಕ್ಷ
(my) father	(ನನ್ನ) ತಂದೆ
(my) mother	(ನನ್ನ) ತಾಯಿ
(my) older brother	(ನನ್ನ) ಅಣ್ಣ
(my) older sister	(ನನ್ನ) ಅಕ್ಕ
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(ಎನ್) (ಎ) ಸಂತೋಷ; (ಎ) ಆನಂದ; ರ್ಯಾಪ್ಚರ್; ಆನಂದ; ತೃಪ್ತಿ; ಸಂತೋಷಪಡುವುದು; ಅಭಿನಂದನೆಗಳು; ಅಭಿನಂದನೆಗಳು
(n) alias; pseudonym; pen name	(ಎನ್) ಅಲಿಯಾಸ್; ಗುಪ್ತನಾಮ; ಪೆನ್ ಹೆಸರು
(n) broom	(ಎನ್) ಪೊರಕೆ
(n) transfer (trains; buses; etc.)	(ಎನ್) ವರ್ಗಾವಣೆ (ರೈಲುಗಳು; ಬಸ್ಸುಗಳು; ಇತ್ಯಾದಿ)
(not so) much; (not) very	(ಅಷ್ಟು ಅಲ್ಲ) ಹೆಚ್ಚು; (ಅಲ್ಲ) ತುಂಬಾ
(not) always; (not) necessarily; (not) all; (not) entirely	(ಅಲ್ಲ) ಯಾವಾಗಲೂ; (ಅಲ್ಲ) ಅಗತ್ಯವಾಗಿ; (ಅಲ್ಲ) ಎಲ್ಲಾ; (ಅಲ್ಲ) ಸಂಪೂರ್ಣವಾಗಿ
(not) at all	(ಅಲ್ಲ) ಎಲ್ಲಾ
(not) by any means	(ಅಲ್ಲ) ಯಾವುದೇ ವಿಧಾನದಿಂದ
(not) particularly; nothing	(ಅಲ್ಲ) ನಿರ್ದಿಷ್ಟವಾಗಿ; ಏನೂ ಇಲ್ಲ
(outward) looks; features; face; countenance; expression	(ಬಾಹ್ಯ) ನೋಟ; ವೈಶಿಷ್ಟ್ಯಗಳು; ಮುಖ; ಮುಖಭಾವ; ಅಭಿವ್ಯಕ್ತಿ
(personal) bankruptcy	(ವೈಯಕ್ತಿಕ) ದಿವಾಳಿತನ
(phrase) sure; no mistaking it; for certain	(ಪದಗುಚ್ಛ) ಖಚಿತ; ತಪ್ಪಾಗುವುದಿಲ್ಲ; ಖಚಿತವಾಗಿ
(plant) bulb	(ಸಸ್ಯ) ಬಲ್ಬ್
(please) be sure to	(ದಯವಿಟ್ಟು) ಖಚಿತವಾಗಿರಿ
(please) look; (please) try to do	(ದಯವಿಟ್ಟು) ನೋಡಿ; (ದಯವಿಟ್ಟು) ಮಾಡಲು ಪ್ರಯತ್ನಿಸಿ
(polite) to eat	(ಶಿಷ್ಟ) ತಿನ್ನಲು
(polite) to give	(ಸಭ್ಯ) ನೀಡಲು
(polite) your house	(ಶಿಷ್ಟ) ನಿಮ್ಮ ಮನೆ
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(pt:) (n) (uk) ತಂಬಾಕು (pt: tabaco); ಸಿಗರೇಟುಗಳು
(pt:) (n) playing cards (pt: carta)	(pt:) (n) ಇಸ್ಪೀಟೆಲೆಗಳು (pt: ಕಾರ್ಟಾ)
(religious) faith; belief; creed	(ಧಾರ್ಮಿಕ) ನಂಬಿಕೆ; ನಂಬಿಕೆ; ನಂಬಿಕೆ
(rice) gruel	(ಅಕ್ಕಿ) ಗಂಜಿ
(river) basin	(ನದಿ) ಜಲಾನಯನ ಪ್ರದೇಶ
(school) subject; curriculum; course	(ಶಾಲೆ) ವಿಷಯ; ಪಠ್ಯಕ್ರಮ; ಕೋರ್ಸ್
(sl) meals; food	(sl) ಊಟ; ಆಹಾರ
(sl) to embrace; to hug; to harbour; to entertain	(sl) ಅಪ್ಪಿಕೊಳ್ಳುವುದು; ತಬ್ಬಿಕೊಳ್ಳಲು; ಬಂದರು; ಮನರಂಜನೆಗಾಗಿ
(social) group; crowd; throng; mob; multitude	(ಸಾಮಾಜಿಕ) ಗುಂಪು; ಗುಂಪು; ಜನಸಂದಣಿ; ಜನಸಮೂಹ; ಬಹುಸಂಖ್ಯೆ
(social) position; status	(ಸಾಮಾಜಿಕ) ಸ್ಥಾನ; ಸ್ಥಿತಿ
(someone honorable) is present/home	(ಯಾರಾದರೂ ಗೌರವಾನ್ವಿತ) ಪ್ರಸ್ತುತ/ಮನೆಯಲ್ಲಿದ್ದಾರೆ
(someone's) daughter (polite)	(ಯಾರೊಬ್ಬರ) ಮಗಳು (ಸಭ್ಯ)
(someone) is gone; to disappear	(ಯಾರೋ) ಹೋಗಿದ್ದಾರೆ; ಕಣ್ಮರೆಯಾಗಲು
(something) begins	(ಏನಾದರೂ) ಪ್ರಾರಂಭವಾಗುತ್ತದೆ
(something) breaks	(ಏನೋ) ಒಡೆಯುತ್ತದೆ
(something) closes	(ಏನಾದರೂ) ಮುಚ್ಚುತ್ತದೆ
(something) drops	(ಏನೋ) ಹನಿಗಳು
(something) ends	(ಏನೋ) ಕೊನೆಗೊಳ್ಳುತ್ತದೆ
(something) goes off	(ಏನೋ) ಆಫ್ ಆಗುತ್ತದೆ
(something) opens	(ಏನಾದರೂ) ತೆರೆಯುತ್ತದೆ
(something) turns on	(ಏನಾದರೂ) ಆನ್ ಆಗುತ್ತದೆ
(something/someone) comes back	(ಏನಾದರೂ / ಯಾರಾದರೂ) ಹಿಂತಿರುಗುತ್ತಾರೆ
(something/someone) separates; parts from	(ಏನೋ/ಯಾರೋ) ಪ್ರತ್ಯೇಕಿಸುತ್ತದೆ; ಭಾಗಗಳಿಂದ
(sudden) change; reversal; turn-around; coming from behind (baseball)	(ಹಠಾತ್) ಬದಲಾವಣೆ; ಹಿಮ್ಮುಖ; ತಿರುಗಿ-ತಿರುಗಿ; ಹಿಂದಿನಿಂದ ಬರುತ್ತಿದೆ (ಬೇಸ್‌ಬಾಲ್)
(sudden) evening shower (rain)	(ಹಠಾತ್) ಸಂಜೆ ಶವರ್ (ಮಳೆ)
(taking) notes; copying	(ತೆಗೆದುಕೊಳ್ಳುವುದು) ಟಿಪ್ಪಣಿಗಳು; ನಕಲು ಮಾಡುವುದು
(telephone) receiver	(ದೂರವಾಣಿ) ರಿಸೀವರ್
(term) paper	(ಅವಧಿ) ಕಾಗದ
