वाह!	Wow!
मैं हूँ जो हूँ।	I am who I am.
कृपया अंदर आईए।	Please get in.
हम शहर में हैं।	We're in town.
वह अभिनेता है।	He is an actor.
आ सको तो आना।	Come if you can.
सब मुस्कुराए।	Everyone smiled.
तुम इनसान हो।	You're a person.
शोर मत मचाओ।	Don't make noise.
सब चिल्लाए।	Everyone screamed.
आप कब मिले?	When did you meet?
तू कब मिला?	When did you meet?
मुझे गणित पसंद है।	I like math.
टॉम चला गया क्या?	Has Tom left?
मोटे मत हो जाना।	Don't get fat.
मैं उसे लेलूँगा।	I'll take him.
यह मुफ़्त का है।	It's for free.
मैं वापस आऊँगा।	I'll come back.
यह एक किताब है।	This is a book.
जल्दी घर आजाओ।	Come home early.
मूँह मत बनाओ।	Don't make faces.
मेरे साथ आईए।	Please follow me.
वह सुन्दर है।	She is beautiful.
हाथ ऊपर करो!	Put your hands up!
वह गाने लगी।	She began to sing.
मुझे तुमसे प्यार है।	I love you.
मुझे दोनो पसंद हैं।	I like both.
क्या तुम बीमार हो?	Are you sick?
मैं हिल नहीं सकता।	I can't move.
इसे दोबारा पढ़ें।	Read it again.
तुम्हारी चाल है।	It's your move.
मज़ाक कर रहे हो!	You're kidding!
यह मेरा पति है।	He's my husband.
कैसा चल रहा है?	How is it going?
वह तो हसीना है।	She is a beauty.
कुत्ता मेरा है।	The dog is mine.
ध्यान से देखें।	Watch carefully.
अब क्या बचा है?	What's left now?
ध्यान से चुने।	Choose carefully.
आलूओं को काटो।	Cut the potatoes.
मुझे याद नहीं।	I can't remember.
क्या कहानी है?	What's the story?
किसकी बारी है?	Whose turn is it?
वह जाचुका है।	He's already left.
फिर मिलेंगे।	I'll see you later.
कौआ उड़ गया।	The crow flew away.
मुझे डॉनत पसंद है।	I like donuts.
मैं अब थक गया हूँ।	I'm tired now.
वह बिल्ली है क्या?	Is that a cat?
टॉम मेरा लड़का है।	Tom is my son.
कमरे को साफ़ करो।	Clean the room.
यह मेरा बस्ता है।	This is my bag.
हम आपको बुलाएँगे।	We'll call you.
पूछ क्यों रहे हो?	Why do you ask?
सब लोग कैसे हैं?	How is everyone?
चलो पतंग उड़ाएँ!	Let's fly kites.
वह मेरी गलती है।	That's my fault.
बिजली गई हुई है।	The power's out.
ये चिड़ियाँ हैं।	These are birds.
ऊपर तक चढ़ जाओ।	Climb to the top.
गाड़ी तैयार है।	The car is ready.
यह सही नहीं है।	This isn't right.
तुम कहाँ गए थे?	Where did you go?
बिजली चली गई।	The power went out.
मुझे ट्राए करने दो।	Let me try it.
नए साल की बधाईयाँ।	Happy New Year!
जन्मदिन मुबारक हो!	Happy birthday!
उसके पास दाढ़ी है।	He has a beard.
यह मेरा कुत्ता है।	This is my dog.
टॉम मेरा आदर्श है।	Tom is my idol.
तुम्हें जाना होगा।	You have to go.
वह वहाँ गया क्या?	Did he go there?
मेरी याद आई क्या?	Did you miss me?
वह भागते हुए आया।	He came running.
मुझे गिटार चाहिए।	I want a guitar.
वह बहुत बोलती है।	She talks a lot.
आज एक अप्रैल है।	It's April first.
अब मेरी बारी है।	It's now my turn.
यह आपकी चाबी है।	This is your key.
तुम शायद सही हो।	You may be right.
उसे धोका मत दो।	Don't deceive him.
मुझे नींद आ गई।	I got very sleepy.
शुरू हो रहा है।	It's starting now.
हाँ। यह सही है।	Yes. That's right.
वह ज़रूर आएगा।	He is sure to come.
वो मजेदार था I	It was sort of fun.
बहुत महंगा है!	It's too expensive.
बहुत महंगी है!	It's too expensive.
बच्चे कहाँ गए?	Where are the kids?
पेड़ हरे हैं।	The trees are green.
किसी ने झूठ नहीं बोला।	Nobody lied.
मेरे पास एक गाड़ी है।	I have a car.
बहुत ज़्यादा बड़ा है।	It's too big.
मैं बहुत व्यस्त हूँ।	I'm very busy.
तुम घर पे हो क्या?	Are you at home?
मैं जाने वाला हूं।	I'm going to go.
आसपास कोई नहीं है।	Nobody's around.
यह तो ठीक नहीं है।	That isn't fair.
अभी कितने बजे हैं?	What time is it?
वह उसका दोस्त है।	He is her friend.
वह अरबी बोलता है।	He speaks Arabic.
मुझे अभी जाना है।	I have to go now.
ऐसा कहना बंद करो!	Stop saying that!
हम जल्दी में हैं।	We're in a hurry.
आपका नाम क्या है?	What's your name?
वह चिल्लाने लगा।	He began to shout.
वह अब चल रहा है।	He is walking now.
पृथ्वी घूमती है।	The earth rotates.
मुश्किल क्या है?	What's the matter?
तू कहाँ रहता है?	Where do you live?
तू कहाँ रहती है?	Where do you live?
पत्थर मत फेंको।	Don't throw stones.
आसमान साफ़ है।	The skies are clear.
वे ज़ू गए थे।	They went to the zoo.
निराश मत हो।	Don't be disappointed.
गेंद फेंकिए।	Please throw the ball.
मेरा दीवालिया हो चुका है।	I'm broke.
मैं आपसे प्यार करता हूँ।	I love you.
मैं आपसे प्यार करती हूँ।	I love you.
मुझे केक अच्छा लगता है।	I like cake.
मेरे पास एक कुत्ता है।	I have a dog.
मुझे इतिहास पसंद है।	I like history.
मैं घर पर ही रहूँगा।	I'll stay home.
मैं अनीश्वरवादी हूँ।	I'm an atheist.
मैं बहुत थक गया हूँ।	I'm very tired.
आज मौसम बहुत गरम है।	It's hot today.
हम आपको फ़ोन करेंगे।	We'll call you.
क्या आप लोग ठीक हो?	Are you guys OK?
यहाँ कैफ़े है क्या?	Is there a cafe?
बस अब रोना बंद करो।	Now stop crying.
यह तुम्हारे लिए है।	This is for you.
मेरी किताब कहाँ है?	Where's my book?
आओ हमारे साथ बैठो।	Come and join us.
मुझे अब जाना होगा।	I must leave now.
टॉम मेरा दोस्त है।	Tom is my friend.
हम घर जा रहें हैं।	We're going home.
शराबख़ाना कहाँ है?	Where is the bar?
मैं पूरी रात रोई।	I cried all night.
जीवन एक रहस्य है।	Life is a mystery.
मुझे सच्चाई बताओ।	Tell me the truth.
वह मेरी ग़लती थी।	That was my fault.
सुख क्या होता है?	What is happiness?
आप कहाँ रहते हैं?	Where do you live?
तुम कहाँ रहते हो?	Where do you live?
तुम कहाँ रहती हो?	Where do you live?
वह किताब कहाँ है?	Where is the book?
उम्मीद मत छोड़ो।	Don't give up hope.
वह साधा आदमी है।	He is a simple man.
बाद में मिलेंगे।	I'll see you later.
मैं अभी आता हूँ।	I'm coming at once.
चोर गायब हो गया।	The thief vanished.
टॉम घर आ रहा है।	Tom is coming home.
हम बात करते रहे।	We kept on talking.
हम जल्दी में थे।	We were in a hurry.
शुरू कब होता है?	When does it begin?
वह बाघ नहीं है।	That is not a tiger.
सर्दी आ रही है।	Winter is coming on.
सबकुछ संभव है।	Anything is possible.
इसमें क्या है?	What does it contain?
यह भी सेव है।	This is an apple, too.
मैं तुमसे प्यार करती हूँ।	I love you.
मैं तुमसे प्यार करता हूँ।	I love you.
मौत तो सभी की होती है।	Everyone dies.
बिस्तर से बाहर निकलो!	Get out of bed!
उसको पैसों की कमी थी।	He was hard up.
सभी ने इंतज़ार किया।	Everyone waited.
तुम कितने साल के हो?	How old are you?
मुझे उल्टी आ रही है।	I feel nauseous.
मैं हर साल जाता हूँ।	I go every year.
मुझपर हमला किया गया।	I was assaulted.
टॉम ने एक चूहा देखा।	Tom saw a mouse.
आप डॉक्टर हैं क्या?	Are you a doctor?
उसके पैर लम्बे हैं।	He has long legs.
मैं उसे नहीं जानता।	I don't know him.
मैं वैसा नहीं हूँ।	I'm not like that.
खुशी क्या होती है?	What is happiness?
समुद्र तट कहां है?	Where's the beach?
यहाँ बहुत गरम है।	It's very hot here.
वह बहुत सुंदर है।	She is very pretty.
मैं शराब लाऊँगा।	I'll bring the wine.
वह काम करती रही।	She kept on working.
तुम समझे नहीं।	You didn't understand.
नव वर्ष की शुभकामनाएं!	Happy New Year!
कितने बदतमीज़ हो तुम!	How rude of you!
मुझे यह वाला पसंद है।	I like this one.
मैंने उसे फिरसे देखा।	I saw her again.
मैं अच्छा रसोइया हूँ।	I'm a good cook.
क्या यह काला नहीं है?	Is it not black?
मैं मुश्किल में हूँ।	I have a problem.
मैंने टॉम की मदद की।	I helped Tom out.
आपसे मिलकर खुशी हुई।	Nice to meet you.
वह कौनसी चिड़िया है?	What's that bird?
मैं खुश हो रहा हूँ।	I'm getting happy.
मेरी ग़लती नहीं है।	It's not my fault.
रेडियो को चालू करो।	Turn on the radio.
उसने गहरी साँस ली।	He breathed deeply.
वह अच्छा इनसान है।	He's a good person.
यह मेरा सूटकेस था।	It was my suitcase.
वह डॉक्टर नहीं है।	She's not a doctor.
यह किसकी किताब है?	Whose book is this?
और स्वाद कैसा है?	How about the taste?
तुमने कैसे बनाया?	How did you make it?
मैं गाता चला गया।	I continued singing.
टॉम बहुत पागल है।	Tom is pretty crazy.
यह बहुत उबाऊ था।	It was really boring.
आज कौनसा वार है?	What day is it today?
मुश्किल कहाँ है?	Where is the problem?
कल बरफ़ पड़ेगी।	It will snow tomorrow.
वह बीमार नहीं हो सकता।	He can't be ill.
उसने टोपी पहनी हुई है।	He has a hat on.
मैं अच्छा बावर्ची हूँ।	I'm a good cook.
आज मेरा नसीब अच्छा है।	I'm lucky today.
नहीं, मैं नहीं गया था।	No, I didn't go.
वह बहुत बक-बक करती है।	She talks a lot.
तुम्हारी उम्र क्या है?	What's your age?
ज़िंदगी एक पहेली है ।	Life is a riddle.
वह देशद्रोही बन गया।	He turned traitor.
मैं संगीत सुनता हूँ।	I listen to music.
उसकी नीली आँखें हैं।	She has blue eyes.
वह शादीशुदा नहीं है।	She isn't married.
हमारे पास खुशखबर है।	We have good news.
वह रोया और और रोया।	He cried and cried.
मैं बहुत प्यासा था।	I was very thirsty.
मैं बहुत प्यासा थी।	I was very thirsty.
मैं टीवी देखता हूँ।	I watch television.
बरफ़ जैसा दिखता है।	It looks like snow.
यह मुझे संभालने दो।	Let me handle this.
बॅटर आऊट हो गया था।	The batter was out.
ये कुत्ते बड़े हैं।	These dogs are big.
टॉम वहाँ जा रहा है।	Tom is going there.
हम बहुत थक चुके थे।	We were very tired.
हम अच्छे दोस्त हैं।	We're good friends.
उसकी हालत बुरी है।	He's in a bad state.
मैं शराब लाता हूँ।	I'll bring the wine.
तुम क्यों नहीं आए?	Why didn't you come?
इस घर में भूत है।	The house is haunted.
यह जूते उसके हैं।	These shoes are hers.
कहीं भी बैठ जाओ।	Sit wherever you like.
मुझे चलना चाहिए।	Well, I must be going.
वह कल आएगा क्या?	Will he come tomorrow?
यह लगभग सही है।	That is almost correct.
तापमान क्या है?	What's the temperature?
टिकट भूलना मत।	Don't forget the ticket.
यहां, बैठिये।	Here, please have a seat.
टॉम रो पड़ा।	Tom couldn't help but cry.
मुझे कुत्ते अच्छे लगते हैं।	I like dogs.
मैं अंदर आ सकता हूँ क्या?	May I come in?
मैं तुम्हें फ़ोन करूँगा।	I'll phone you.
तुम थके-हारे से लगते हो।	You look tired.
अभी क्या समय हो रहा है?	What time is it?
यह लो, तुम्हारा बस्ता।	Here is your bag.
यह तुम्हारा कुत्ता है।	This is your dog.
हम खरीदारी करने गए थे।	We went shopping.
मैं उस लिस्ट में हूं?	Am I on that list?
मुझे बहुत भूख लगी है।	I'm really hungry.
यह पाय किसने बनाई है?	Who made this pie?
सभी को बचा लिया गया।	Everyone was saved.
अभी से रात हो गई है।	It is already dark.
मेरा परिवार छोटा है।	My family is small.
कितना बड़ा कद्दू है!	What a big pumpkin!
आप ऐसा कह सकते हैं ।	You could say that.
मेरी टिकट खो गई है।	I've lost my ticket.
तुम क्या कर रहे थे?	What were you doing?
तुम कहाँ जा रहे हो?	Where are you going?
आप कहाँ जा रहे हैं?	Where are you going?
मेरी चिंता मत करो।	Don't worry about me.
आज बारिश नहीं हुई।	It didn't rain today.
शादी एक लॉटरी है।	Marriage is a lottery.
यह क्या बकवास है?	What is this nonsense?
वे कल आएँगे क्या?	Will he come tomorrow?
कर भला तो हो भला।	You reap what you sow.
ऐसी बात मत बोलो।	Don't say such a thing.
उसने तैरना सीखा।	He learned how to swim.
कोईसा भी ले लो।	Take whichever you want.
ऐसा मत बोलो।	Don't say things like that.
क्या तुम्हें समझ में आया ?	Do you get it?
कुछ मछलियाँ उड़ सकतीं हैं।	Some fish fly.
मैंने रात का खाना पकाया।	I cooked dinner.
मुझे कोई आवाज़ सुनाई दी।	I heard a noise.
मुझे बहुत प्यास लगी है।	I'm very thirsty.
किसी ने जवाब नहीं दिया।	No one responded.
उसने तुम्हें धोखा दिया।	She betrayed you.
वह मुझसे मिलने आया था।	He came to see me.
मेरे पास कुछ पैसे हैं।	I have some money.
मेरी आँखें थक गईं हैं।	My eyes are tired.
एक बार और प्रयत्न करो।	Try it once again.
हम उसे नहीं जानते हैं।	We don't know her.
हम जंग के ख़िलाफ़ हैं।	We're against war.
तुम आज बिज़ी हो क्या?	Are you busy today?
उसे सब पसंद करते हैं।	Everyone likes her.
मुझे उसका पता पता है।	I know her address.
मुझे अभी भी नहीं पता।	I still don't know.
मैंने रातभर काम किया।	I worked all night.
रेलगाड़ी से चलते हैं।	Let's take a train.
यह मेरी का कुत्ता है।	This is Mary's dog.
गाड़ी कौन चला रहा है?	Who's at the wheel?
काश मैं मदद कर पाता।	I wish I could help.
अपनी किताब मत खोलो।	Don't open your book.
हमारी चिंता मत करो।	Don't worry about us.
मुझे एक और मौका दो।	Give me another shot.
वह भारत गया हुआ है।	He has been to India.
वह तुमसे नाराज़ है।	He is angry with you.
ग्यारह बज चुके हैं।	It is already eleven.
वह उसकी ख़ासियत है।	That's his specialty.
तुम कब लौट कर आओगे?	When will you return?
तुम आज खुश लगते हो।	You look happy today.
वह पाँच साल की है।	She is five years old.
स्टेशन पास में है।	The station is nearby.
उनकी ट्रेन छूट गई।	They missed the train.
लिफ़्ट कहाँ पर है?	Where is the elevator?
नाराज़ मत हो जाओ।	Don't lose your temper.
ये अजीब है, नहीं?	That's weird, isn't it?
तुम गाड़ी चला सकते हो क्या?	Can you drive?
क्या तुम्हें गोली लग गई थी?	Were you shot?
मुझे एक तो खरीदना ही होगा।	I must buy one.
मैं रोज़ दौड़ने जाता हूँ।	I run every day.
पक्षी घोसले बनातें हैं।	Birds build nests.
मैं गाड़ी चला सकता हूँ।	I can drive a car.
मुझे सिरदर्द हो रहा है।	I have a headache.
एक बार फिरसे कोशिश करो।	Try it once again.
बरफ़ गिरनी शुरू गो गई।	It started to snow.
मेरे पाँव जम चुके हैं।	My toes are frozen.
यह केक किसने बनाया है?	Who made this cake?
मैं भारत से नहीं हूँ।	I am not from India.
मैं दोनो को जानता था।	I know both of them.
मेरे पैसे चोरी हो गए।	My money was stolen.
ये हमारी किताबें हैं।	These are our books.
तुमने क्या जवाब दिया?	What did you answer?
इस डब्बे में क्या है?	What is in this box?
तुम फिरसे चालू हो गए।	You are at it again.
तुमने मेरी जान बचाली।	You're a life saver.
मैं सेव खा रहा हूँ ।	I am eating an apple.
मैं सेव खा रही हूँ ।	I am eating an apple.
मुझे थोड़ा बुखार था।	I had a little fever.
मुझे हल्का बुखार था।	I had a little fever.
फ़ोन बज रहा है क्या?	Is the phone ringing?
उसने उसे एक घड़ी दी।	She gave him a watch.
पानी का पाइप फट गया।	The water pipe burst.
यह घड़ी टूटी हुई है।	This watch is broken.
मैं उनका आभारी हूँ।	I am grateful to them.
मेरी आँख सूज गई है।	My eye has swollen up.
मुझे बताओ क्या हुआ।	Tell me what happened.
पता नहीं क्या हुआ।	I wonder what happened.
मैं फ़ोन करता हूँ।	I'll make a phone call.
हकला क्यों रहे हो?	Why are you stuttering?
छः बजने वाले हैं।	It's almost six o'clock.
दस बजने वाले हैं।	It's almost ten o'clock.
वे तुमसे डरते थे।	They were afraid of you.
कल रात क्या हुआ?	What happened last night?
घटना कब हुई?	When did the accident happen?
खेद की बात है, लेकिन वैसा ही है।	I fear so.
आपकी छुट्टियाँ मंगलमय हों ।	Happy holidays.
गर्मियाँ खतम हों चुकीं हैं।	Summer is over.
हम संगीत की पढ़ाई करते हैं।	We study music.
लोग टॉम को प्यार करते हैं।	People love Tom.
वह तुमसे प्यार करता होगा।	He must love you.
मैं बहुत बूढ़ी नहीं हूँ ।	I'm not very old.
मैं बहुत बूढ़ा नहीं हूँ ।	I'm not very old.
मैं विद्यार्थी नहीं हूँ।	I'm not a student.
तुम अच्छे से सोये क्या?	Did you sleep well?
मुझे विश्वास नहीं होता!	I can't believe it!
मैं किताब पढ़ रही हूँ।	I am reading a book.
मैं उसे देखना चाहूँगा।	I'd like to see her.
मैं दस बजे वापस आऊँगा।	I'll be back at ten.
मैंने फ़ोन कर लिया है।	I've already called.
चलो बेसबॉल खेलतें हैं।	Let's play baseball!
उसने मेरी कमीज़ खींची।	She pulled my shirt.
हवाई अड्डा कहाँ पर है?	Where's the airport?
तुम्हारे टीचर कौन हैं?	Who is your teacher?
मुझे लगता है वह आएगा।	I expect him to come.
मेरा चश्मा खो गया है।	I've lost my glasses.
मेरे चश्मे खो गए हैं।	I've lost my glasses.
ये किताबें मेरीं हैं।	These books are mine.
यह रेशम जैसा लगता है।	This feels like silk.
तुमने उसे कब देखा था?	When did you see her?
आप यहां नहीं पी सकते।	You can't drink here.
वह पुलिसवाला बन गया।	He became a policeman.
वह बहुत पैसेवाला है।	He has a lot of money.
ये क्या किताबें हैं?	Whose books are these?
जैसी करनी वैसी भरनी।	You reap what you sow.
जैसा करना वैसा भरना।	You reap what you sow.
"कौन है?" "मैं हूँ"	"Who is it?" "It's me."
वह काम शुरु मत करो।	Don't start doing that.
कितने बजे खुलता है?	What time does it open?
वह जल्दी नहीं उठा।	He did not get up early.
यह मेरी पत्नी है।	Let me introduce my wife.
टॉम शायद भूल गया।	Tom most probably forgot.
क्या ढूँढ रहे हो?	What are you looking for?
तुम वापस कब आओगे?	When are you coming back?
नौ बज चुकें हैं।	It's already nine o'clock.
हादसा कब हुआ?	When did the accident happen?
तुम्हारे पास चावल है क्या?	Do you have rice?
उसे संत्रे अच्छे लगते हैं।	He likes oranges.
उसे नारंगी अच्छे लगते हैं।	He likes oranges.
मैं आस-पड़ोस में रहता हूँ।	I live near here.
मैं फिर से कोशिश करता हूँ।	Let me try again.
यहाँ अपना हस्ताक्षर कीजिए।	Please sign here.
लड़के तो लड़के ही रहेंगे।	Boys will be boys.
मैं कुछ कर सकता हूँ क्या?	Can I do anything?
आप बाहर नहीं गए थें क्या?	Didn't you go out?
तुम बाहर नहीं गए थे क्या?	Didn't you go out?
तू बाहर नहीं गया था क्या?	Didn't you go out?
मैंने उसे भागते हुए देखा।	I saw him running.
हम बात कर सकते हैं क्या?	Can we have a talk?
वह बैंक में काम करता है।	He works at a bank.
मैंने पूरी रात काम किया।	I worked all night.
मैं एक अच्छा शिक्षक हूँ।	I'm a good teacher.
उसने खुशी से मुस्कुराया।	She smiled happily.
मेरे सवालों का जवाब दो।	Answer my questions.
वह कमरे में दाखिल हुआ ।	He entered the room.
मैं उससे पूछना भूल गया।	I forgot to ask him.
मैं उससे मिलना चाहूँगा।	I'd like to see her.
मैं तुम्हें खुश करूँगा।	I'll make you happy.
हमें टैक्स भरना पड़ेगा।	We must pay the tax.
उसने शान्ति की बात की।	He spoke about peace.
मुझे पीठ की तकलीफ है I	I have back problems.
मुझे ज़ुकाम हो गया है।	I have caught a cold.
हमारी शादी हो चुकी है।	Our marriage is over.
समय तेज़ी से बीतता है।	Time goes by quickly.
अपने हाथ अच्छे से धोओ।	Wash your hands well.
घंटी बज चुकी है क्या?	Has the bell rung yet?
पार्टी शुरू करते हैं।	Let's start the party.
इसको अपना घर ही समझो।	Make yourself at home.
जहाँ भी रखना है रखदो।	Put it where you like.
टॉम और मैं दोस्त हैं।	Tom and I are friends.
टॉम बस नहीं चला सकता।	Tom can't drive a bus.
कितना रोमांचक खेल है!	What an exciting game!
अच्छा करो, अच्छा पाओ।	You reap what you sow.
यह रंग पसंद है क्या?	Do you like this color?
मुझसे पैसे मत माँगो।	Don't ask me for money.
उनका मज़ाक मत उड़ाओ।	Don't make fun of them.
अपने काम से काम रखो!	Mind your own business!
वह नर्म दिल वाली है।	She has a gentle heart.
बाहर बहुत गर्मी है।	It's really hot outside.
कल मेरा जन्मदिन है।	Tomorrow is my birthday.
पानी बहुत जरूरी है।	Water is very important.
होमवर्क किया क्या?	Did you do your homework?
मुझे बैंक जाना है।	I have to go to the bank.
पार्टी कामयाब रही।	The party was successful.
कल उसने क्या किया?	What did he do yesterday?
कारण बहुत सरल है।	The reason is very simple.
मैं निकम्मा हूँ।	I'm a good-for-nothing bum.
मुझे यह कुत्ता अच्छा लगता है।	I like the dog.
मैं भगवान में यकीन नहीं करता।	I'm an atheist.
क्या तुम मुझे सिखा सकते हो?	Can you teach me?
चिड़ियाँ घोसले बनातीं हैं।	Birds build nests.
मैंने उसे दौड़ते हुए देखा।	I saw him running.
मैं बैंक में काम करता हूँ।	I work for a bank.
मेरा बस्ता चोरी हो गया था।	My bag was stolen.
तुम्हें मैं याद हूँ क्या?	Do you remember me?
उसने अपनी आँखें बंद करीं।	He closed his eyes.
मैं अपनी ग़लती मानता हूँ।	I admit my mistake.
मुझे वह अच्छा सा लगता है।	I sort of like him.
मैं १९६० में पैदा हुआ था।	I was born in 1960.
मैं १९७९ में पैदा हुआ था।	I was born in 1979.
टॉम 97 वर्ष तक जीवित रहे।	Tom lived to be 97.
उसकी कहानी सच्ची थी क्या?	Was his story true?
तुम्हारा कुत्ता कौनसा है?	Which dog is yours?
वे जिमखाने में हैं क्या?	Are they in the gym?
मैं दिन के €100 कमाता हूं।	I make €100 a day.
मुझे शहर का नक्शा चाहिए।	I'd like a city map.
ज़बान सम्भाल के बात करो।	Watch your language.
तुम्हारी किताब कौनसी है?	Which book is yours?
तुम हमारे साथ आओगे क्या?	Will you go with us?
उसको अपने-आप जाकर बताओ।	Go tell him yourself.
वह मुझपर गुस्सा हो गया।	He got angry with me.
मेरे पास कुछ दोस्त हैं।	I have a few friends.
मैं बेहोशी में चला गया।	I lost consciousness.
मैं कल मेरी से मिला था।	I met Mary yesterday.
मैं तुम्हारे साथ आऊँगा।	I will come with you.
मुझे मछली से एलर्जी है।	I'm allergic to fish.
मैं फ़ैसला कर चुका हूँ।	I've made a decision.
यह जीत तो बहुत आसान थी।	It's an easy victory.
उसने लाल ड्रेस पहनी थी।	She wore a red dress.
घर आग में लिपटा हुआ था।	The house was ablaze.
चादरें गीलीं लगतीं हैं।	The sheets feel damp.
तुम्हारे पिता कहाँ हैं?	Where is your father?
वह पुलिस अफ़सर बन गया।	He became a policeman.
वह गरीब है, पर खुश है।	He is poor, but happy.
वह लम्बा और ताकतवर है।	He is tall and strong.
मुझे अकेला छोड़ दीजिए।	Please leave me alone.
वह अच्छा कमा लेता है।	He earns a good salary.
उसकी तीन बेटियाँ हैं।	He has three daughters.
यह चाकू तेज़ नहीं है।	The knife is not sharp.
यह शेर बहुत पालतू है।	This lion is very tame.
वह पार्क में खो गया।	He got lost in the park.
तुम यही चाहते थे ना?	Is this what you wanted?
हमने गोल मेज़ खरीदी।	We bought a round table.
हर घर में बगीचा था।	Every house had a garden.
टॉम जेल से छूट गया।	Tom busted out of prison.
यहाँ बहुत गर्म है।	It's terribly hot in here.
दुकान आज बंद है।	The store is not open today.
